MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M401,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.0759
M402,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.07608
M403,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.08842
M404,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.08667
M405,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.07574
M406,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.07935
M407,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.07989
M408,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.08148
M409,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.08979
M410,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.10435
M411,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.11027
M412,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.10514
M413,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.07402
M414,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.07977
M415,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.06515
M416,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.06905
M417,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.08333
M418,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.14357
M419,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.1169
M420,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.0699
M421,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.08005
M422,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.08826
M423,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.08738
M424,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.08745
M425,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.09883
M426,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.09339
M427,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.08718
M428,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.09077
M429,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.0917
M430,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.08971
M431,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.10943
M432,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.12265
M433,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.11621
M434,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.08321
M435,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.08951
M436,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.07191
M437,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.0791
M438,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.14572
M439,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.15413
M440,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.0789
M441,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.0923
M442,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.1122
M443,Unknown,38.906700565493935,-77.19084755035796,D24HourMean,Annually,Mean,0.10971
M444,Unknown,38.9077524017178,-77.13408369851935,D24HourMean,Annually,Mean,0.10381
M445,Unknown,38.90877666226674,-77.07731691907468,D24HourMean,Annually,Mean,0.10192
M446,Unknown,38.909773342919095,-77.02054728964283,D24HourMean,Annually,Mean,0.10196
M447,Unknown,38.91074243956653,-76.9637748878672,D24HourMean,Annually,Mean,0.11219
M448,Unknown,38.91168394821403,-76.9069997914151,D24HourMean,Annually,Mean,0.10087
M449,Unknown,38.91259786497997,-76.85022207797704,D24HourMean,Annually,Mean,0.10167
M450,Unknown,38.91348418609615,-76.79344182526613,D24HourMean,Annually,Mean,0.10778
M451,Unknown,38.914342907907844,-76.73665911101736,D24HourMean,Annually,Mean,0.10021
M452,Unknown,38.91517402687384,-76.67987401298691,D24HourMean,Annually,Mean,0.11577
M453,Unknown,38.9159775395665,-76.62308660895158,D24HourMean,Annually,Mean,0.13786
M454,Unknown,38.91675344267175,-76.56629697670802,D24HourMean,Annually,Mean,0.12867
M455,Unknown,38.917501732989194,-76.5095051940721,D24HourMean,Annually,Mean,0.10426
M456,Unknown,38.91822240743211,-76.45271133887827,D24HourMean,Annually,Mean,0.09378
M457,Unknown,38.91891546302744,-76.39591548897883,D24HourMean,Annually,Mean,0.08735
M458,Unknown,38.91958089691596,-76.33911772224333,D24HourMean,Annually,Mean,0.13362
M459,Unknown,38.92021870635215,-76.28231811655783,D24HourMean,Annually,Mean,0.19794
M460,Unknown,38.92082888870435,-76.22551674982428,D24HourMean,Annually,Mean,0.09246
M461,Unknown,38.921411441454715,-76.16871369995982,D24HourMean,Annually,Mean,0.10811
M462,Unknown,38.921966362199306,-76.11190904489617,D24HourMean,Annually,Mean,0.13402
M463,Unknown,38.92249364864807,-76.05510286257882,D24HourMean,Annually,Mean,0.12383
M464,Unknown,38.951051391780794,-77.19221288443616,D24HourMean,Annually,Mean,0.12786
M465,Unknown,38.95210488429499,-77.13541372381407,D24HourMean,Annually,Mean,0.13121
M466,Unknown,38.95313075775851,-77.07861162853789,D24HourMean,Annually,Mean,0.12431
M467,Unknown,38.954129007939365,-77.02180667641274,D24HourMean,Annually,Mean,0.1207
M468,Unknown,38.955099630719104,-76.96499894526843,D24HourMean,Annually,Mean,0.12224
M469,Unknown,38.956042622092916,-76.90818851295882,D24HourMean,Annually,Mean,0.12647
M470,Unknown,38.956957978169605,-76.85137545736099,D24HourMean,Annually,Mean,0.11342000000000001
M471,Unknown,38.95784569517173,-76.79455985637473,D24HourMean,Annually,Mean,0.12055
M472,Unknown,38.95870576943559,-76.73774178792186,D24HourMean,Annually,Mean,0.11771
M473,Unknown,38.959538197411256,-76.68092132994543,D24HourMean,Annually,Mean,0.13483
M474,Unknown,38.96034297566268,-76.6240985604092,D24HourMean,Annually,Mean,0.15841
M475,Unknown,38.96112010086764,-76.56727355729686,D24HourMean,Annually,Mean,0.14214
M476,Unknown,38.961869569817885,-76.51044639861146,D24HourMean,Annually,Mean,0.12568
M477,Unknown,38.962591379419074,-76.45361716237463,D24HourMean,Annually,Mean,0.10427
M478,Unknown,38.96328552669088,-76.39678592662597,D24HourMean,Annually,Mean,0.10955
M479,Unknown,38.96395200876702,-76.3399527694224,D24HourMean,Annually,Mean,0.23763
M480,Unknown,38.96459082289524,-76.28311776883741,D24HourMean,Annually,Mean,0.1189
M481,Unknown,38.96520196643739,-76.22628100296049,D24HourMean,Annually,Mean,0.12918
M482,Unknown,38.96578543686947,-76.16944254989633,D24HourMean,Annually,Mean,0.16143
M483,Unknown,38.9663412317816,-76.11260248776424,D24HourMean,Annually,Mean,0.12953
M484,Unknown,38.9668693488781,-76.05576089469749,D24HourMean,Annually,Mean,0.10579
M485,Unknown,38.99540183969945,-77.19358123095265,D24HourMean,Annually,Mean,0.10424
M486,Unknown,38.99645699054001,-77.13674668376714,D24HourMean,Annually,Mean,0.14166
M487,Unknown,38.99748447890108,-77.07990919485415,D24HourMean,Annually,Mean,0.1584
M488,Unknown,38.99848430054025,-77.02306884220576,D24HourMean,Annually,Mean,0.15251
M489,Unknown,38.99945645132895,-76.9662257038389,D24HourMean,Annually,Mean,0.14559
M490,Unknown,39.00040092725252,-76.90937985779452,D24HourMean,Annually,Mean,0.14896
M491,Unknown,39.001317724410214,-76.852531382137,D24HourMean,Annually,Mean,0.14174
M492,Unknown,39.00220683901531,-76.79568035495353,D24HourMean,Annually,Mean,0.1378
M493,Unknown,39.00306826739508,-76.73882685435335,D24HourMean,Annually,Mean,0.14436
M494,Unknown,39.00390200599087,-76.68197095846708,D24HourMean,Annually,Mean,0.16222
M495,Unknown,39.004708051358186,-76.62511274544612,D24HourMean,Annually,Mean,0.19078
M496,Unknown,39.00548640016666,-76.56825229346188,D24HourMean,Annually,Mean,0.15525
M497,Unknown,39.00623704920011,-76.51138968070522,D24HourMean,Annually,Mean,0.15136
M498,Unknown,39.00695999535662,-76.45452498538566,D24HourMean,Annually,Mean,0.12287
M499,Unknown,39.00765523564852,-76.39765828573078,D24HourMean,Annually,Mean,0.25137
M500,Unknown,39.00832276720247,-76.34078965998553,D24HourMean,Annually,Mean,0.18213
M501,Unknown,39.00896258725946,-76.28391918641151,D24HourMean,Annually,Mean,0.1585
M502,Unknown,39.00957469317484,-76.22704694328637,D24HourMean,Annually,Mean,0.19469
M503,Unknown,39.01015908241842,-76.17017300890306,D24HourMean,Annually,Mean,0.12873
M504,Unknown,39.01071575257437,-76.11329746156922,D24HourMean,Annually,Mean,0.12393
M505,Unknown,39.01124470134137,-76.05642037960644,D24HourMean,Annually,Mean,0.08922
M506,Unknown,39.03975190902787,-77.19495259716764,D24HourMean,Annually,Mean,0.11278
M507,Unknown,39.04080872023664,-77.13808258545194,D24HourMean,Annually,Mean,0.10298
M508,Unknown,39.04183782548386,-77.08120962490992,D24HourMean,Annually,Mean,0.14774
M509,Unknown,39.04283922051666,-77.02433379372131,D24HourMean,Annually,Mean,0.19085
M510,Unknown,39.04381290119634,-76.96745517009079,D24HourMean,Annually,Mean,0.1935
M511,Unknown,39.044758863498345,-76.91057383224712,D24HourMean,Annually,Mean,0.18019
M512,Unknown,39.04567710351237,-76.85368985844268,D24HourMean,Annually,Mean,0.18414
M513,Unknown,39.04656761744233,-76.79680332695264,D24HourMean,Annually,Mean,0.16172
M514,Unknown,39.04743040160649,-76.73991431607438,D24HourMean,Annually,Mean,0.17109
M515,Unknown,39.04826545243748,-76.68302290412677,D24HourMean,Annually,Mean,0.184
M516,Unknown,39.049072766482276,-76.62612916944953,D24HourMean,Annually,Mean,0.23633
M517,Unknown,39.049852340402325,-76.56923319040246,D24HourMean,Annually,Mean,0.19149
M518,Unknown,39.050604170973564,-76.51233504536488,D24HourMean,Annually,Mean,0.16029
M519,Unknown,39.05132825508642,-76.45543481273492,D24HourMean,Annually,Mean,0.20966
M520,Unknown,39.05202458974588,-76.39853257092877,D24HourMean,Annually,Mean,0.30079
M521,Unknown,39.05269317207153,-76.34162839838008,D24HourMean,Annually,Mean,0.20171
M522,Unknown,39.05333399929756,-76.28472237353928,D24HourMean,Annually,Mean,0.23069
M523,Unknown,39.053947068772835,-76.22781457487284,D24HourMean,Annually,Mean,0.15416
M524,Unknown,39.05453237796091,-76.17090508086267,D24HourMean,Annually,Mean,0.12679
M525,Unknown,39.05508992444004,-76.11399397000535,D24HourMean,Annually,Mean,0.11253
M526,Unknown,39.055619705903226,-76.05708132081153,D24HourMean,Annually,Mean,0.12409
M527,Unknown,39.084101599544425,-77.19632699036754,D24HourMean,Annually,Mean,0.11228
M528,Unknown,39.085160073169114,-77.13942143596731,D24HourMean,Annually,Mean,0.12225
M529,Unknown,39.08619079729675,-77.0825129256164,D24HourMean,Annually,Mean,0.1441
M530,Unknown,39.08719376766404,-77.02560153768285,D24HourMean,Annually,Mean,0.13594
M531,Unknown,39.088168980122084,-76.96868735055972,D24HourMean,Annually,Mean,0.22197
M532,Unknown,39.08911643063642,-76.9117704426643,D24HourMean,Annually,Mean,0.25623
M533,Unknown,39.09003611528715,-76.85485089243761,D24HourMean,Annually,Mean,0.23291
M534,Unknown,39.09092803026883,-76.79792877834353,D24HourMean,Annually,Mean,0.22895
M535,Unknown,39.091792171890674,-76.74100417886822,D24HourMean,Annually,Mean,0.20613
M536,Unknown,39.0926285365765,-76.68407717251948,D24HourMean,Annually,Mean,0.20114
M537,Unknown,39.09343712086482,-76.627147837826,D24HourMean,Annually,Mean,0.28001
M538,Unknown,39.09421792140886,-76.57021625333667,D24HourMean,Annually,Mean,0.24627
M539,Unknown,39.0949709349766,-76.51328249761998,D24HourMean,Annually,Mean,0.21185
M540,Unknown,39.09569615845082,-76.45634664926327,D24HourMean,Annually,Mean,0.49544
M541,Unknown,39.096393588829166,-76.39940878687207,D24HourMean,Annually,Mean,0.27094
M542,Unknown,39.09706322322408,-76.34246898906945,D24HourMean,Annually,Mean,0.25938
M543,Unknown,39.097705058863,-76.28552733449524,D24HourMean,Annually,Mean,0.19296
M544,Unknown,39.098319093088215,-76.22858390180554,D24HourMean,Annually,Mean,0.15295
M545,Unknown,39.098905323357044,-76.17163876967174,D24HourMean,Annually,Mean,0.15948
M546,Unknown,39.09946374724179,-76.1146920167802,D24HourMean,Annually,Mean,0.13967
M547,Unknown,39.09999436242978,-76.05774372183123,D24HourMean,Annually,Mean,0.12212
M548,Unknown,39.12845091102799,-77.19770441786488,D24HourMean,Annually,Mean,0.13158
M549,Unknown,39.12951104912211,-77.14076324243763,D24HourMean,Annually,Mean,0.14717
M550,Unknown,39.13054339413016,-77.08381910390966,D24HourMean,Annually,Mean,0.15226
M551,Unknown,39.13154794177832,-77.02687208083802,D24HourMean,Annually,Mean,0.15565
M552,Unknown,39.13252468790752,-76.96992225180485,D24HourMean,Annually,Mean,0.20062
M553,Unknown,39.133473628473354,-76.91296969541663,D24HourMean,Annually,Mean,0.22759
M554,Unknown,39.13439475954625,-76.85601449030366,D24HourMean,Annually,Mean,0.35248
M555,Unknown,39.135288077311415,-76.79905671511922,D24HourMean,Annually,Mean,0.32534
M556,Unknown,39.13615357806898,-76.742096448539,D24HourMean,Annually,Mean,0.28705
M557,Unknown,39.13699125823395,-76.68513376926032,D24HourMean,Annually,Mean,0.31824
M558,Unknown,39.13780111433631,-76.62816875600156,D24HourMean,Annually,Mean,0.38502
M559,Unknown,39.13858314302106,-76.57120148750138,D24HourMean,Annually,Mean,0.33946
M560,Unknown,39.13933734104821,-76.51423204251812,D24HourMean,Annually,Mean,0.58421
M561,Unknown,39.14006370529286,-76.457260499829,D24HourMean,Annually,Mean,0.39771
M562,Unknown,39.14076223274525,-76.40028693822961,D24HourMean,Annually,Mean,0.30226
M563,Unknown,39.14143292051075,-76.34331143653304,D24HourMean,Annually,Mean,0.23828
M564,Unknown,39.14207576580991,-76.28633407356934,D24HourMean,Annually,Mean,0.21437
M565,Unknown,39.142690765978536,-76.22935492818472,D24HourMean,Annually,Mean,0.17971
M566,Unknown,39.14327791846763,-76.17237407924097,D24HourMean,Annually,Mean,0.16257
M567,Unknown,39.14383722084354,-76.11539160561469,D24HourMean,Annually,Mean,0.13492
M568,Unknown,39.14436867078789,-76.05840758619668,D24HourMean,Annually,Mean,0.13239
M569,Unknown,39.17279984325778,-77.19908488699862,D24HourMean,Annually,Mean,0.11182
M570,Unknown,39.17386164788074,-77.14210801201295,D24HourMean,Annually,Mean,0.11584
M571,Unknown,39.174895615774886,-77.08512816675079,D24HourMean,Annually,Mean,0.14384
M572,Unknown,39.17590174265592,-77.02814542995883,D24HourMean,Annually,Mean,0.18019
M573,Unknown,39.17688002435445,-76.97115988040896,D24HourMean,Annually,Mean,0.21238
M574,Unknown,39.177830456816196,-76.91417159689756,D24HourMean,Annually,Mean,0.21481
M575,Unknown,39.17875303610183,-76.85718065824491,D24HourMean,Annually,Mean,0.3196
M576,Unknown,39.17964775838722,-76.80018714329434,D24HourMean,Annually,Mean,0.46607
M577,Unknown,39.18051461996336,-76.7431911309117,D24HourMean,Annually,Mean,0.5159
M578,Unknown,39.18135361723642,-76.68619269998463,D24HourMean,Annually,Mean,0.39159
M579,Unknown,39.18216474672784,-76.62919192942181,D24HourMean,Annually,Mean,0.58996
M580,Unknown,39.18294800507435,-76.57218889815235,D24HourMean,Annually,Mean,0.53915
M581,Unknown,39.18370338902799,-76.51518368512512,D24HourMean,Annually,Mean,0.68492
M582,Unknown,39.18443089545616,-76.45817636930799,D24HourMean,Annually,Mean,0.40618
M583,Unknown,39.18513052134166,-76.40116702968714,D24HourMean,Annually,Mean,0.32708
M584,Unknown,39.18580226378275,-76.3441557452665,D24HourMean,Annually,Mean,0.26332
M585,Unknown,39.18644611999312,-76.28714259506692,D24HourMean,Annually,Mean,0.21566
M586,Unknown,39.187062087302,-76.23012765812551,D24HourMean,Annually,Mean,0.21128
M587,Unknown,39.187650163154146,-76.17311101349505,D24HourMean,Annually,Mean,0.18831
M588,Unknown,39.18821034510988,-76.11609274024318,D24HourMean,Annually,Mean,0.15892
M589,Unknown,39.18874263084509,-76.05907291745176,D24HourMean,Annually,Mean,0.14795
M590,Unknown,39.21714839601349,-77.20046840513409,D24HourMean,Annually,Mean,0.16153
M591,Unknown,39.21821186923059,-77.14345575186908,D24HourMean,Annually,Mean,0.17486
M592,Unknown,39.21924746202229,-77.08644012112592,D24HourMean,Annually,Mean,0.18836
M593,Unknown,39.220255170093715,-77.02942159184161,D24HourMean,Annually,Mean,0.20036
M594,Unknown,39.22123498926524,-76.97240024297855,D24HourMean,Annually,Mean,0.20758
M595,Unknown,39.22218691547254,-76.91537615352364,D24HourMean,Annually,Mean,0.22045
M596,Unknown,39.223110944766646,-76.8583494024878,D24HourMean,Annually,Mean,0.27885
M597,Unknown,39.224007073313956,-76.80132006890516,D24HourMean,Annually,Mean,0.37537
M598,Unknown,39.22487529739632,-76.74428823183239,D24HourMean,Annually,Mean,0.66777
M599,Unknown,39.22571561341109,-76.68725397034808,D24HourMean,Annually,Mean,0.99725
M600,Unknown,39.226528017871104,-76.63021736355196,D24HourMean,Annually,Mean,0.8786
M601,Unknown,39.227312507404804,-76.57317849056429,D24HourMean,Annually,Mean,0.94413
M602,Unknown,39.22806907875621,-76.51613743052512,D24HourMean,Annually,Mean,0.67262
M603,Unknown,39.22879772878502,-76.45909426259358,D24HourMean,Annually,Mean,0.49404
M604,Unknown,39.229498454466594,-76.40204906594731,D24HourMean,Annually,Mean,0.39111
M605,Unknown,39.23017125289202,-76.34500191978164,D24HourMean,Annually,Mean,0.29318
M606,Unknown,39.230816121268134,-76.28795290330889,D24HourMean,Annually,Mean,0.24914
M607,Unknown,39.23143305691759,-76.23090209575786,D24HourMean,Annually,Mean,0.21874
M608,Unknown,39.232022057278805,-76.17384957637293,D24HourMean,Annually,Mean,0.19561
M609,Unknown,39.23258311990612,-76.11679542441345,D24HourMean,Annually,Mean,0.17684
M610,Unknown,39.23311624246969,-76.0597397191531,D24HourMean,Annually,Mean,0.16099
M611,Unknown,39.26149656907524,-77.20185497966321,D24HourMean,Annually,Mean,0.17888
M612,Unknown,39.26256171295768,-77.1448064692077,D24HourMean,Annually,Mean,0.19954
M613,Unknown,39.263598932664124,-77.08775497404638,D24HourMean,Annually,Mean,0.225
M614,Unknown,39.26460822388909,-77.0307005733073,D24HourMean,Annually,Mean,0.25718
M615,Unknown,39.26558958244269,-76.97364334614394,D24HourMean,Annually,Mean,0.29918
M616,Unknown,39.26654300425054,-76.91658337173452,D24HourMean,Annually,Mean,0.35638
M617,Unknown,39.26746848535395,-76.85952072928124,D24HourMean,Annually,Mean,0.43883
