MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M501,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.00694
M502,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.00743
M503,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.00778
M504,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.00761
M505,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.00739
M506,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.00776
M507,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.00813
M508,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.00817
M509,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.00925
M510,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.00999
M511,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.00933
M512,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.00858
M513,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.00834
M514,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.00859
M515,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.0086
M516,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.00887
M517,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.00921
M518,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.00999
M519,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.0104
M520,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.01037
M521,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.01028
M522,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.0072
M523,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.00777
M524,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.00837
M525,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.00869
M526,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.00836
M527,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.00839
M528,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.009
M529,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.00909
M530,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.01
M531,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.01128
M532,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.0105
M533,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.00964
M534,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.00951
M535,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.00978
M536,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.00984
M537,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.01031
M538,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.01102
M539,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.01185
M540,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.01183
M541,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.01173
M542,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.0115
M543,Unknown,38.906700565493935,-77.19084755035796,D24HourMean,Annually,Mean,0.00741
M544,Unknown,38.9077524017178,-77.13408369851935,D24HourMean,Annually,Mean,0.00811
M545,Unknown,38.90877666226674,-77.07731691907468,D24HourMean,Annually,Mean,0.00884
M546,Unknown,38.909773342919095,-77.02054728964283,D24HourMean,Annually,Mean,0.00955
M547,Unknown,38.91074243956653,-76.9637748878672,D24HourMean,Annually,Mean,0.00978
M548,Unknown,38.91168394821403,-76.9069997914151,D24HourMean,Annually,Mean,0.00936
M549,Unknown,38.91259786497997,-76.85022207797704,D24HourMean,Annually,Mean,0.00988
M550,Unknown,38.91348418609615,-76.79344182526613,D24HourMean,Annually,Mean,0.01035
M551,Unknown,38.914342907907844,-76.73665911101736,D24HourMean,Annually,Mean,0.01085
M552,Unknown,38.91517402687384,-76.67987401298691,D24HourMean,Annually,Mean,0.01289
M553,Unknown,38.9159775395665,-76.62308660895158,D24HourMean,Annually,Mean,0.01194
M554,Unknown,38.91675344267175,-76.56629697670802,D24HourMean,Annually,Mean,0.011
M555,Unknown,38.917501732989194,-76.5095051940721,D24HourMean,Annually,Mean,0.01105
M556,Unknown,38.91822240743211,-76.45271133887827,D24HourMean,Annually,Mean,0.01129
M557,Unknown,38.91891546302744,-76.39591548897883,D24HourMean,Annually,Mean,0.01162
