MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M601,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.07809
M602,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.0874
M603,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.08471
M604,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.09592
M605,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.09593
M606,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.12854
M607,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.10625
M608,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.12194
M609,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.15901
M610,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.1279
M611,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.12574
M612,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.10596
M613,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.08679
M614,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.12691
M615,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.09228
M616,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.10048
M617,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.09861
M618,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.08563
M619,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.09108
M620,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.08268
M621,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.07969
M622,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.08955
M623,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.08635
M624,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.09555
M625,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.09675
M626,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.10061
M627,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.11266
M628,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.13518
M629,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.12244
M630,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.17465
M631,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.14045
M632,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.13639
M633,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.1189
M634,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.11388
M635,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.12644
M636,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.115
M637,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.10563
M638,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.10231
M639,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.09942
M640,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.0908
M641,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.08796
M642,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.09424
M643,Unknown,38.906700565493935,-77.19084755035796,D24HourMean,Annually,Mean,0.09049
M644,Unknown,38.9077524017178,-77.13408369851935,D24HourMean,Annually,Mean,0.09971
M645,Unknown,38.90877666226674,-77.07731691907468,D24HourMean,Annually,Mean,0.09629
M646,Unknown,38.909773342919095,-77.02054728964283,D24HourMean,Annually,Mean,0.10809
M647,Unknown,38.91074243956653,-76.9637748878672,D24HourMean,Annually,Mean,0.11365
