MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M801,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,9.7e-4
M802,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.00104
M803,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.00108
M804,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.00105
M805,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.00102
M806,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.00107
M807,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.00113
M808,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.00112
M809,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.00128
M810,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.00138
M811,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.00126
M812,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.00116
M813,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.00114
M814,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.00118
M815,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.00117
M816,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.00121
M817,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.00126
M818,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.00137
M819,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.00142
M820,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.00142
M821,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.00141
M822,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.001
M823,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.00108
M824,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.00117
M825,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.00121
M826,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.00116
M827,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.00115
M828,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.00124
M829,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.00126
M830,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.00137
M831,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.00156
M832,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.00141
M833,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.00129
M834,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.00129
M835,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.00133
M836,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.00134
M837,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.0014
M838,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.0015
M839,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.00161
M840,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.00162
M841,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.0016
M842,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.00157
M843,Unknown,38.906700565493935,-77.19084755035796,D24HourMean,Annually,Mean,0.00103
M844,Unknown,38.9077524017178,-77.13408369851935,D24HourMean,Annually,Mean,0.00113
M845,Unknown,38.90877666226674,-77.07731691907468,D24HourMean,Annually,Mean,0.00123
M846,Unknown,38.909773342919095,-77.02054728964283,D24HourMean,Annually,Mean,0.00133
M847,Unknown,38.91074243956653,-76.9637748878672,D24HourMean,Annually,Mean,0.00136
M848,Unknown,38.91168394821403,-76.9069997914151,D24HourMean,Annually,Mean,0.00129
M849,Unknown,38.91259786497997,-76.85022207797704,D24HourMean,Annually,Mean,0.00135
M850,Unknown,38.91348418609615,-76.79344182526613,D24HourMean,Annually,Mean,0.00143
M851,Unknown,38.914342907907844,-76.73665911101736,D24HourMean,Annually,Mean,0.00149
M852,Unknown,38.91517402687384,-76.67987401298691,D24HourMean,Annually,Mean,0.00178
M853,Unknown,38.9159775395665,-76.62308660895158,D24HourMean,Annually,Mean,0.00161
M854,Unknown,38.91675344267175,-76.56629697670802,D24HourMean,Annually,Mean,0.00147
M855,Unknown,38.917501732989194,-76.5095051940721,D24HourMean,Annually,Mean,0.0015
M856,Unknown,38.91822240743211,-76.45271133887827,D24HourMean,Annually,Mean,0.00153
M857,Unknown,38.91891546302744,-76.39591548897883,D24HourMean,Annually,Mean,0.00158
M858,Unknown,38.91958089691596,-76.33911772224333,D24HourMean,Annually,Mean,0.00167
M859,Unknown,38.92021870635215,-76.28231811655783,D24HourMean,Annually,Mean,0.00185
M860,Unknown,38.92082888870435,-76.22551674982428,D24HourMean,Annually,Mean,0.00187
M861,Unknown,38.921411441454715,-76.16871369995982,D24HourMean,Annually,Mean,0.00185
M862,Unknown,38.921966362199306,-76.11190904489617,D24HourMean,Annually,Mean,0.00181
M863,Unknown,38.92249364864807,-76.05510286257882,D24HourMean,Annually,Mean,0.00175
M864,Unknown,38.951051391780794,-77.19221288443616,D24HourMean,Annually,Mean,0.00111
M865,Unknown,38.95210488429499,-77.13541372381407,D24HourMean,Annually,Mean,0.00117
M866,Unknown,38.95313075775851,-77.07861162853789,D24HourMean,Annually,Mean,0.00129
M867,Unknown,38.954129007939365,-77.02180667641274,D24HourMean,Annually,Mean,0.00142
M868,Unknown,38.955099630719104,-76.96499894526843,D24HourMean,Annually,Mean,0.00154
M869,Unknown,38.956042622092916,-76.90818851295882,D24HourMean,Annually,Mean,0.00154
M870,Unknown,38.956957978169605,-76.85137545736099,D24HourMean,Annually,Mean,0.00149
M871,Unknown,38.95784569517173,-76.79455985637473,D24HourMean,Annually,Mean,0.00163
M872,Unknown,38.95870576943559,-76.73774178792186,D24HourMean,Annually,Mean,0.00166
M873,Unknown,38.959538197411256,-76.68092132994543,D24HourMean,Annually,Mean,0.00204
M874,Unknown,38.96034297566268,-76.6240985604092,D24HourMean,Annually,Mean,0.0018600000000000001
M875,Unknown,38.96112010086764,-76.56727355729686,D24HourMean,Annually,Mean,0.0017
M876,Unknown,38.961869569817885,-76.51044639861146,D24HourMean,Annually,Mean,0.00177
M877,Unknown,38.962591379419074,-76.45361716237463,D24HourMean,Annually,Mean,0.0018
M878,Unknown,38.96328552669088,-76.39678592662597,D24HourMean,Annually,Mean,0.00191
M879,Unknown,38.96395200876702,-76.3399527694224,D24HourMean,Annually,Mean,0.00213
M880,Unknown,38.96459082289524,-76.28311776883741,D24HourMean,Annually,Mean,0.0022
M881,Unknown,38.96520196643739,-76.22628100296049,D24HourMean,Annually,Mean,0.00218
M882,Unknown,38.96578543686947,-76.16944254989633,D24HourMean,Annually,Mean,0.00213
M883,Unknown,38.9663412317816,-76.11260248776424,D24HourMean,Annually,Mean,0.00204
M884,Unknown,38.9668693488781,-76.05576089469749,D24HourMean,Annually,Mean,0.00187
M885,Unknown,38.99540183969945,-77.19358123095265,D24HourMean,Annually,Mean,0.00123
M886,Unknown,38.99645699054001,-77.13674668376714,D24HourMean,Annually,Mean,0.00129
M887,Unknown,38.99748447890108,-77.07990919485415,D24HourMean,Annually,Mean,0.00136
M888,Unknown,38.99848430054025,-77.02306884220576,D24HourMean,Annually,Mean,0.0015
M889,Unknown,38.99945645132895,-76.9662257038389,D24HourMean,Annually,Mean,0.00167
M890,Unknown,39.00040092725252,-76.90937985779452,D24HourMean,Annually,Mean,0.00183
M891,Unknown,39.001317724410214,-76.852531382137,D24HourMean,Annually,Mean,0.00176
M892,Unknown,39.00220683901531,-76.79568035495353,D24HourMean,Annually,Mean,0.00183
M893,Unknown,39.00306826739508,-76.73882685435335,D24HourMean,Annually,Mean,0.00194
M894,Unknown,39.00390200599087,-76.68197095846708,D24HourMean,Annually,Mean,0.00235
M895,Unknown,39.004708051358186,-76.62511274544612,D24HourMean,Annually,Mean,0.00221
M896,Unknown,39.00548640016666,-76.56825229346188,D24HourMean,Annually,Mean,0.00203
M897,Unknown,39.00623704920011,-76.51138968070522,D24HourMean,Annually,Mean,0.00214
M898,Unknown,39.00695999535662,-76.45452498538566,D24HourMean,Annually,Mean,0.00223
M899,Unknown,39.00765523564852,-76.39765828573078,D24HourMean,Annually,Mean,0.00247
M900,Unknown,39.00832276720247,-76.34078965998553,D24HourMean,Annually,Mean,0.00266
M901,Unknown,39.00896258725946,-76.28391918641151,D24HourMean,Annually,Mean,0.00264
M902,Unknown,39.00957469317484,-76.22704694328637,D24HourMean,Annually,Mean,0.00257
M903,Unknown,39.01015908241842,-76.17017300890306,D24HourMean,Annually,Mean,0.00241
