MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M1001,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.01238
M1002,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.01172
M1003,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.01376
M1004,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.01386
M1005,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.01248
M1006,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.01262
M1007,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.01197
M1008,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.01251
M1009,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.01334
M1010,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.01558
M1011,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.01703
M1012,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.01703
M1013,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.01253
M1014,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.01279
M1015,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.01154
M1016,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.01131
M1017,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.01333
M1018,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.02531
M1019,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.02095
M1020,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.0122
M1021,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.01344
M1022,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.01428
M1023,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.01431
M1024,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.01346
M1025,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.01544
M1026,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.0151
M1027,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.01381
M1028,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.01499
M1029,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.01432
M1030,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.01375
M1031,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.0173
M1032,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.01902
M1033,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.01887
M1034,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.01501
M1035,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.0146
M1036,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.01295
M1037,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.01391
M1038,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.02531
M1039,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.0283
M1040,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.01427
M1041,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.01559
M1042,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.0202
