MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M1101,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.00112
M1102,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.00119
M1103,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.00126
M1104,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.00124
M1105,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.00122
M1106,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.00128
M1107,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.00132
M1108,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.00135
M1109,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.00152
M1110,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.00164
M1111,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.00161
M1112,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.00148
M1113,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.00141
M1114,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.00144
M1115,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.00145
M1116,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.00149
M1117,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.00155
M1118,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.00168
M1119,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.00175
M1120,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.00173
M1121,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.00172
M1122,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.00117
M1123,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.00125
M1124,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.00135
M1125,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.00141
M1126,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.00137
M1127,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.0014
M1128,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.00148
M1129,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.00149
M1130,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.00166
M1131,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.00185
M1132,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.00182
M1133,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.00168
M1134,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.00161
M1135,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.00165
M1136,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.00167
M1137,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.00175
M1138,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.0018600000000000001
M1139,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.00201
M1140,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.00199
M1141,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.00197
M1142,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.00193
M1143,Unknown,38.906700565493935,-77.19084755035796,D24HourMean,Annually,Mean,0.00121
M1144,Unknown,38.9077524017178,-77.13408369851935,D24HourMean,Annually,Mean,0.00132
M1145,Unknown,38.90877666226674,-77.07731691907468,D24HourMean,Annually,Mean,0.00143
M1146,Unknown,38.909773342919095,-77.02054728964283,D24HourMean,Annually,Mean,0.00154
M1147,Unknown,38.91074243956653,-76.9637748878672,D24HourMean,Annually,Mean,0.00159
M1148,Unknown,38.91168394821403,-76.9069997914151,D24HourMean,Annually,Mean,0.00155
M1149,Unknown,38.91259786497997,-76.85022207797704,D24HourMean,Annually,Mean,0.00165
M1150,Unknown,38.91348418609615,-76.79344182526613,D24HourMean,Annually,Mean,0.0017
M1151,Unknown,38.914342907907844,-76.73665911101736,D24HourMean,Annually,Mean,0.0018
M1152,Unknown,38.91517402687384,-76.67987401298691,D24HourMean,Annually,Mean,0.00212
M1153,Unknown,38.9159775395665,-76.62308660895158,D24HourMean,Annually,Mean,0.00206
M1154,Unknown,38.91675344267175,-76.56629697670802,D24HourMean,Annually,Mean,0.00194
M1155,Unknown,38.917501732989194,-76.5095051940721,D24HourMean,Annually,Mean,0.00188
M1156,Unknown,38.91822240743211,-76.45271133887827,D24HourMean,Annually,Mean,0.00194
M1157,Unknown,38.91891546302744,-76.39591548897883,D24HourMean,Annually,Mean,0.00198
M1158,Unknown,38.91958089691596,-76.33911772224333,D24HourMean,Annually,Mean,0.0021
M1159,Unknown,38.92021870635215,-76.28231811655783,D24HourMean,Annually,Mean,0.00233
M1160,Unknown,38.92082888870435,-76.22551674982428,D24HourMean,Annually,Mean,0.00233
M1161,Unknown,38.921411441454715,-76.16871369995982,D24HourMean,Annually,Mean,0.00231
M1162,Unknown,38.921966362199306,-76.11190904489617,D24HourMean,Annually,Mean,0.00225
M1163,Unknown,38.92249364864807,-76.05510286257882,D24HourMean,Annually,Mean,0.00215
M1164,Unknown,38.951051391780794,-77.19221288443616,D24HourMean,Annually,Mean,0.00131
M1165,Unknown,38.95210488429499,-77.13541372381407,D24HourMean,Annually,Mean,0.00139
M1166,Unknown,38.95313075775851,-77.07861162853789,D24HourMean,Annually,Mean,0.00152
M1167,Unknown,38.954129007939365,-77.02180667641274,D24HourMean,Annually,Mean,0.00166
M1168,Unknown,38.955099630719104,-76.96499894526843,D24HourMean,Annually,Mean,0.0018
M1169,Unknown,38.956042622092916,-76.90818851295882,D24HourMean,Annually,Mean,0.00182
M1170,Unknown,38.956957978169605,-76.85137545736099,D24HourMean,Annually,Mean,0.00181
M1171,Unknown,38.95784569517173,-76.79455985637473,D24HourMean,Annually,Mean,0.00199
M1172,Unknown,38.95870576943559,-76.73774178792186,D24HourMean,Annually,Mean,0.00199
M1173,Unknown,38.959538197411256,-76.68092132994543,D24HourMean,Annually,Mean,0.00248
M1174,Unknown,38.96034297566268,-76.6240985604092,D24HourMean,Annually,Mean,0.00235
M1175,Unknown,38.96112010086764,-76.56727355729686,D24HourMean,Annually,Mean,0.00231
M1176,Unknown,38.961869569817885,-76.51044639861146,D24HourMean,Annually,Mean,0.00224
M1177,Unknown,38.962591379419074,-76.45361716237463,D24HourMean,Annually,Mean,0.00233
M1178,Unknown,38.96328552669088,-76.39678592662597,D24HourMean,Annually,Mean,0.00245
M1179,Unknown,38.96395200876702,-76.3399527694224,D24HourMean,Annually,Mean,0.00272
M1180,Unknown,38.96459082289524,-76.28311776883741,D24HourMean,Annually,Mean,0.00279
M1181,Unknown,38.96520196643739,-76.22628100296049,D24HourMean,Annually,Mean,0.00276
M1182,Unknown,38.96578543686947,-76.16944254989633,D24HourMean,Annually,Mean,0.00269
M1183,Unknown,38.9663412317816,-76.11260248776424,D24HourMean,Annually,Mean,0.00252
M1184,Unknown,38.9668693488781,-76.05576089469749,D24HourMean,Annually,Mean,0.00227
M1185,Unknown,38.99540183969945,-77.19358123095265,D24HourMean,Annually,Mean,0.00143
M1186,Unknown,38.99645699054001,-77.13674668376714,D24HourMean,Annually,Mean,0.00152
M1187,Unknown,38.99748447890108,-77.07990919485415,D24HourMean,Annually,Mean,0.00162
M1188,Unknown,38.99848430054025,-77.02306884220576,D24HourMean,Annually,Mean,0.00179
M1189,Unknown,38.99945645132895,-76.9662257038389,D24HourMean,Annually,Mean,0.00198
M1190,Unknown,39.00040092725252,-76.90937985779452,D24HourMean,Annually,Mean,0.00216
M1191,Unknown,39.001317724410214,-76.852531382137,D24HourMean,Annually,Mean,0.00213
M1192,Unknown,39.00220683901531,-76.79568035495353,D24HourMean,Annually,Mean,0.00225
M1193,Unknown,39.00306826739508,-76.73882685435335,D24HourMean,Annually,Mean,0.00239
M1194,Unknown,39.00390200599087,-76.68197095846708,D24HourMean,Annually,Mean,0.00286
M1195,Unknown,39.004708051358186,-76.62511274544612,D24HourMean,Annually,Mean,0.00277
M1196,Unknown,39.00548640016666,-76.56825229346188,D24HourMean,Annually,Mean,0.00286
M1197,Unknown,39.00623704920011,-76.51138968070522,D24HourMean,Annually,Mean,0.00276
M1198,Unknown,39.00695999535662,-76.45452498538566,D24HourMean,Annually,Mean,0.00291
M1199,Unknown,39.00765523564852,-76.39765828573078,D24HourMean,Annually,Mean,0.00322
M1200,Unknown,39.00832276720247,-76.34078965998553,D24HourMean,Annually,Mean,0.00346
M1201,Unknown,39.00896258725946,-76.28391918641151,D24HourMean,Annually,Mean,0.00341
M1202,Unknown,39.00957469317484,-76.22704694328637,D24HourMean,Annually,Mean,0.00329
M1203,Unknown,39.01015908241842,-76.17017300890306,D24HourMean,Annually,Mean,0.003
M1204,Unknown,39.01071575257437,-76.11329746156922,D24HourMean,Annually,Mean,0.00266
M1205,Unknown,39.01124470134137,-76.05642037960644,D24HourMean,Annually,Mean,0.00241
M1206,Unknown,39.03975190902787,-77.19495259716764,D24HourMean,Annually,Mean,0.00159
M1207,Unknown,39.04080872023664,-77.13808258545194,D24HourMean,Annually,Mean,0.00169
M1208,Unknown,39.04183782548386,-77.08120962490992,D24HourMean,Annually,Mean,0.0018
M1209,Unknown,39.04283922051666,-77.02433379372131,D24HourMean,Annually,Mean,0.00194
M1210,Unknown,39.04381290119634,-76.96745517009079,D24HourMean,Annually,Mean,0.00216
M1211,Unknown,39.044758863498345,-76.91057383224712,D24HourMean,Annually,Mean,0.00244
M1212,Unknown,39.04567710351237,-76.85368985844268,D24HourMean,Annually,Mean,0.00267
M1213,Unknown,39.04656761744233,-76.79680332695264,D24HourMean,Annually,Mean,0.0026
M1214,Unknown,39.04743040160649,-76.73991431607438,D24HourMean,Annually,Mean,0.00292
M1215,Unknown,39.04826545243748,-76.68302290412677,D24HourMean,Annually,Mean,0.0033
M1216,Unknown,39.049072766482276,-76.62612916944953,D24HourMean,Annually,Mean,0.00348
M1217,Unknown,39.049852340402325,-76.56923319040246,D24HourMean,Annually,Mean,0.00376
M1218,Unknown,39.050604170973564,-76.51233504536488,D24HourMean,Annually,Mean,0.0036
M1219,Unknown,39.05132825508642,-76.45543481273492,D24HourMean,Annually,Mean,0.00397
M1220,Unknown,39.05202458974588,-76.39853257092877,D24HourMean,Annually,Mean,0.00451
M1221,Unknown,39.05269317207153,-76.34162839838008,D24HourMean,Annually,Mean,0.00443
M1222,Unknown,39.05333399929756,-76.28472237353928,D24HourMean,Annually,Mean,0.00418
M1223,Unknown,39.053947068772835,-76.22781457487284,D24HourMean,Annually,Mean,0.00367
M1224,Unknown,39.05453237796091,-76.17090508086267,D24HourMean,Annually,Mean,0.00323
M1225,Unknown,39.05508992444004,-76.11399397000535,D24HourMean,Annually,Mean,0.00294
M1226,Unknown,39.055619705903226,-76.05708132081153,D24HourMean,Annually,Mean,0.00272
M1227,Unknown,39.084101599544425,-77.19632699036754,D24HourMean,Annually,Mean,0.00174
M1228,Unknown,39.085160073169114,-77.13942143596731,D24HourMean,Annually,Mean,0.0019
M1229,Unknown,39.08619079729675,-77.0825129256164,D24HourMean,Annually,Mean,0.00207
M1230,Unknown,39.08719376766404,-77.02560153768285,D24HourMean,Annually,Mean,0.00223
M1231,Unknown,39.088168980122084,-76.96868735055972,D24HourMean,Annually,Mean,0.00242
M1232,Unknown,39.08911643063642,-76.9117704426643,D24HourMean,Annually,Mean,0.00269
M1233,Unknown,39.09003611528715,-76.85485089243761,D24HourMean,Annually,Mean,0.00315
M1234,Unknown,39.09092803026883,-76.79792877834353,D24HourMean,Annually,Mean,0.00344
M1235,Unknown,39.091792171890674,-76.74100417886822,D24HourMean,Annually,Mean,0.00355
M1236,Unknown,39.0926285365765,-76.68407717251948,D24HourMean,Annually,Mean,0.00408
M1237,Unknown,39.09343712086482,-76.627147837826,D24HourMean,Annually,Mean,0.00453
M1238,Unknown,39.09421792140886,-76.57021625333667,D24HourMean,Annually,Mean,0.0054
M1239,Unknown,39.0949709349766,-76.51328249761998,D24HourMean,Annually,Mean,0.0053
M1240,Unknown,39.09569615845082,-76.45634664926327,D24HourMean,Annually,Mean,0.00625
M1241,Unknown,39.096393588829166,-76.39940878687207,D24HourMean,Annually,Mean,0.00622
M1242,Unknown,39.09706322322408,-76.34246898906945,D24HourMean,Annually,Mean,0.00556
M1243,Unknown,39.097705058863,-76.28552733449524,D24HourMean,Annually,Mean,0.00474
M1244,Unknown,39.098319093088215,-76.22858390180554,D24HourMean,Annually,Mean,0.00412
M1245,Unknown,39.098905323357044,-76.17163876967174,D24HourMean,Annually,Mean,0.00371
M1246,Unknown,39.09946374724179,-76.1146920167802,D24HourMean,Annually,Mean,0.00332
M1247,Unknown,39.09999436242978,-76.05774372183123,D24HourMean,Annually,Mean,0.00296
M1248,Unknown,39.12845091102799,-77.19770441786488,D24HourMean,Annually,Mean,0.0019
M1249,Unknown,39.12951104912211,-77.14076324243763,D24HourMean,Annually,Mean,0.00208
M1250,Unknown,39.13054339413016,-77.08381910390966,D24HourMean,Annually,Mean,0.00231
M1251,Unknown,39.13154794177832,-77.02687208083802,D24HourMean,Annually,Mean,0.00259
M1252,Unknown,39.13252468790752,-76.96992225180485,D24HourMean,Annually,Mean,0.00291
M1253,Unknown,39.133473628473354,-76.91296969541663,D24HourMean,Annually,Mean,0.00324
M1254,Unknown,39.13439475954625,-76.85601449030366,D24HourMean,Annually,Mean,0.00362
M1255,Unknown,39.135288077311415,-76.79905671511922,D24HourMean,Annually,Mean,0.00428
M1256,Unknown,39.13615357806898,-76.742096448539,D24HourMean,Annually,Mean,0.0047
