MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M1201,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.08299
M1202,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.08912
M1203,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.08954
M1204,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.1064
M1205,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.12257
M1206,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.15161
M1207,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.10936
M1208,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.24428
M1209,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.23792
M1210,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.18288
M1211,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.27082
M1212,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.22921
M1213,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.23083
M1214,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.22737
M1215,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.27053
M1216,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.25106
M1217,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.25669
M1218,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.24842
M1219,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.19178
M1220,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.19398
M1221,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.18262
M1222,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.11735
M1223,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.08777
M1224,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.10671
M1225,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.10828
M1226,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.11495
M1227,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.15633
M1228,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.13279
M1229,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.22797
M1230,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.30097
M1231,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.22242
M1232,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.33408
M1233,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.27586
M1234,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.2792
M1235,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.30099
M1236,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.2847
M1237,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.28951
M1238,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.25914
M1239,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.27347
M1240,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.23797
M1241,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.21516
M1242,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.19766
M1243,Unknown,38.906700565493935,-77.19084755035796,D24HourMean,Annually,Mean,0.09682
M1244,Unknown,38.9077524017178,-77.13408369851935,D24HourMean,Annually,Mean,0.13012
M1245,Unknown,38.90877666226674,-77.07731691907468,D24HourMean,Annually,Mean,0.11921
M1246,Unknown,38.909773342919095,-77.02054728964283,D24HourMean,Annually,Mean,0.12003
M1247,Unknown,38.91074243956653,-76.9637748878672,D24HourMean,Annually,Mean,0.13128
M1248,Unknown,38.91168394821403,-76.9069997914151,D24HourMean,Annually,Mean,0.12455
M1249,Unknown,38.91259786497997,-76.85022207797704,D24HourMean,Annually,Mean,0.2151
M1250,Unknown,38.91348418609615,-76.79344182526613,D24HourMean,Annually,Mean,0.13617
M1251,Unknown,38.914342907907844,-76.73665911101736,D24HourMean,Annually,Mean,0.36377
M1252,Unknown,38.91517402687384,-76.67987401298691,D24HourMean,Annually,Mean,0.35298
M1253,Unknown,38.9159775395665,-76.62308660895158,D24HourMean,Annually,Mean,0.35175
M1254,Unknown,38.91675344267175,-76.56629697670802,D24HourMean,Annually,Mean,0.36282
M1255,Unknown,38.917501732989194,-76.5095051940721,D24HourMean,Annually,Mean,0.38725
M1256,Unknown,38.91822240743211,-76.45271133887827,D24HourMean,Annually,Mean,0.3845
M1257,Unknown,38.91891546302744,-76.39591548897883,D24HourMean,Annually,Mean,0.30818
M1258,Unknown,38.91958089691596,-76.33911772224333,D24HourMean,Annually,Mean,0.37714
M1259,Unknown,38.92021870635215,-76.28231811655783,D24HourMean,Annually,Mean,0.3502
M1260,Unknown,38.92082888870435,-76.22551674982428,D24HourMean,Annually,Mean,0.31057
