MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M1501,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.54213
M1502,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.61516
M1503,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.61277
M1504,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.67236
M1505,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.66689
M1506,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.88839
M1507,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.7337
M1508,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.84869000000000006
M1509,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,1.10347
M1510,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.89953
M1511,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.87358
M1512,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.78098
M1513,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.61038
M1514,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.94008
M1515,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.67735
M1516,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.8175
M1517,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.83343
M1518,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.78716
M1519,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.71213
M1520,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.65331
M1521,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.65091
M1522,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.62995
M1523,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.59849
M1524,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.67067
M1525,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.66979
M1526,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.70794
M1527,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.77785
M1528,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.93796
M1529,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.84732
M1530,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,1.20543
M1531,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.97902
M1532,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.94501
M1533,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.84244
M1534,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.79493
M1535,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.96945
M1536,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.87981
M1537,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.95336
M1538,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.89669
M1539,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.85619
M1540,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.79754
M1541,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.74672
M1542,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.73745
M1543,Unknown,38.906700565493935,-77.19084755035796,D24HourMean,Annually,Mean,0.632
M1544,Unknown,38.9077524017178,-77.13408369851935,D24HourMean,Annually,Mean,0.69658
M1545,Unknown,38.90877666226674,-77.07731691907468,D24HourMean,Annually,Mean,0.66644
M1546,Unknown,38.909773342919095,-77.02054728964283,D24HourMean,Annually,Mean,0.75337
M1547,Unknown,38.91074243956653,-76.9637748878672,D24HourMean,Annually,Mean,0.78669
M1548,Unknown,38.91168394821403,-76.9069997914151,D24HourMean,Annually,Mean,0.77884
M1549,Unknown,38.91259786497997,-76.85022207797704,D24HourMean,Annually,Mean,1.08682
M1550,Unknown,38.91348418609615,-76.79344182526613,D24HourMean,Annually,Mean,0.91491
M1551,Unknown,38.914342907907844,-76.73665911101736,D24HourMean,Annually,Mean,1.25593
