MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M1701,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.00731
M1702,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.00783
M1703,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.00822
M1704,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.00809
M1705,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.00793
M1706,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.00832
M1707,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.00863
M1708,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.00875
M1709,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.0099
M1710,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.01065
M1711,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.01027
M1712,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.00942
M1713,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.00906
M1714,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.00928
M1715,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.00934
M1716,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.00959
M1717,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.00998
M1718,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.01081
M1719,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.01125
M1720,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.01119
M1721,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.01109
M1722,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.00763
M1723,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.00821
M1724,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.00883
M1725,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.0092
M1726,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.00893
M1727,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.00902
M1728,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.00962
M1729,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.0097
M1730,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.01075
M1731,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.01202
M1732,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.01157
M1733,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.01065
M1734,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.01036
M1735,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.01063
M1736,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.01071
M1737,Unknown,38.87520943180072,-76.3382845140169,D24HourMean,Annually,Mean,0.01121
M1738,Unknown,38.87584623777811,-76.28152022532882,D24HourMean,Annually,Mean,0.01196
M1739,Unknown,38.87645546012024,-76.22475417982139,D24HourMean,Annually,Mean,0.01288
M1740,Unknown,38.87703709631547,-76.16798645522485,D24HourMean,Annually,Mean,0.01281
M1741,Unknown,38.87759114396574,-76.11121712928396,D24HourMean,Annually,Mean,0.0127
M1742,Unknown,38.87811760078661,-76.0544462797572,D24HourMean,Annually,Mean,0.01244
M1743,Unknown,38.906700565493935,-77.19084755035796,D24HourMean,Annually,Mean,0.00788
M1744,Unknown,38.9077524017178,-77.13408369851935,D24HourMean,Annually,Mean,0.00861
M1745,Unknown,38.90877666226674,-77.07731691907468,D24HourMean,Annually,Mean,0.00935
M1746,Unknown,38.909773342919095,-77.02054728964283,D24HourMean,Annually,Mean,0.0101
M1747,Unknown,38.91074243956653,-76.9637748878672,D24HourMean,Annually,Mean,0.01039
M1748,Unknown,38.91168394821403,-76.9069997914151,D24HourMean,Annually,Mean,0.01003
M1749,Unknown,38.91259786497997,-76.85022207797704,D24HourMean,Annually,Mean,0.01065
M1750,Unknown,38.91348418609615,-76.79344182526613,D24HourMean,Annually,Mean,0.01106
M1751,Unknown,38.914342907907844,-76.73665911101736,D24HourMean,Annually,Mean,0.01167
M1752,Unknown,38.91517402687384,-76.67987401298691,D24HourMean,Annually,Mean,0.01379
M1753,Unknown,38.9159775395665,-76.62308660895158,D24HourMean,Annually,Mean,0.01313
M1754,Unknown,38.91675344267175,-76.56629697670802,D24HourMean,Annually,Mean,0.01226
M1755,Unknown,38.917501732989194,-76.5095051940721,D24HourMean,Annually,Mean,0.01205
M1756,Unknown,38.91822240743211,-76.45271133887827,D24HourMean,Annually,Mean,0.01237
M1757,Unknown,38.91891546302744,-76.39591548897883,D24HourMean,Annually,Mean,0.01267
M1758,Unknown,38.91958089691596,-76.33911772224333,D24HourMean,Annually,Mean,0.01348
M1759,Unknown,38.92021870635215,-76.28231811655783,D24HourMean,Annually,Mean,0.01491
M1760,Unknown,38.92082888870435,-76.22551674982428,D24HourMean,Annually,Mean,0.01494
M1761,Unknown,38.921411441454715,-76.16871369995982,D24HourMean,Annually,Mean,0.0148
M1762,Unknown,38.921966362199306,-76.11190904489617,D24HourMean,Annually,Mean,0.01447
M1763,Unknown,38.92249364864807,-76.05510286257882,D24HourMean,Annually,Mean,0.01388
M1764,Unknown,38.951051391780794,-77.19221288443616,D24HourMean,Annually,Mean,0.00852
M1765,Unknown,38.95210488429499,-77.13541372381407,D24HourMean,Annually,Mean,0.00902
M1766,Unknown,38.95313075775851,-77.07861162853789,D24HourMean,Annually,Mean,0.00988
M1767,Unknown,38.954129007939365,-77.02180667641274,D24HourMean,Annually,Mean,0.01086
M1768,Unknown,38.955099630719104,-76.96499894526843,D24HourMean,Annually,Mean,0.01177
M1769,Unknown,38.956042622092916,-76.90818851295882,D24HourMean,Annually,Mean,0.01185
M1770,Unknown,38.956957978169605,-76.85137545736099,D24HourMean,Annually,Mean,0.01171
M1771,Unknown,38.95784569517173,-76.79455985637473,D24HourMean,Annually,Mean,0.01285
M1772,Unknown,38.95870576943559,-76.73774178792186,D24HourMean,Annually,Mean,0.01292
M1773,Unknown,38.959538197411256,-76.68092132994543,D24HourMean,Annually,Mean,0.01602
M1774,Unknown,38.96034297566268,-76.6240985604092,D24HourMean,Annually,Mean,0.01505
M1775,Unknown,38.96112010086764,-76.56727355729686,D24HourMean,Annually,Mean,0.01448
M1776,Unknown,38.961869569817885,-76.51044639861146,D24HourMean,Annually,Mean,0.01432
M1777,Unknown,38.962591379419074,-76.45361716237463,D24HourMean,Annually,Mean,0.01478
M1778,Unknown,38.96328552669088,-76.39678592662597,D24HourMean,Annually,Mean,0.01558
M1779,Unknown,38.96395200876702,-76.3399527694224,D24HourMean,Annually,Mean,0.01735
M1780,Unknown,38.96459082289524,-76.28311776883741,D24HourMean,Annually,Mean,0.01782
M1781,Unknown,38.96520196643739,-76.22628100296049,D24HourMean,Annually,Mean,0.01764
M1782,Unknown,38.96578543686947,-76.16944254989633,D24HourMean,Annually,Mean,0.01718
M1783,Unknown,38.9663412317816,-76.11260248776424,D24HourMean,Annually,Mean,0.0162
M1784,Unknown,38.9668693488781,-76.05576089469749,D24HourMean,Annually,Mean,0.01466
M1785,Unknown,38.99540183969945,-77.19358123095265,D24HourMean,Annually,Mean,0.00936
M1786,Unknown,38.99645699054001,-77.13674668376714,D24HourMean,Annually,Mean,0.00992
M1787,Unknown,38.99748447890108,-77.07990919485415,D24HourMean,Annually,Mean,0.01055
M1788,Unknown,38.99848430054025,-77.02306884220576,D24HourMean,Annually,Mean,0.0116
M1789,Unknown,38.99945645132895,-76.9662257038389,D24HourMean,Annually,Mean,0.0129
M1790,Unknown,39.00040092725252,-76.90937985779452,D24HourMean,Annually,Mean,0.01406
M1791,Unknown,39.001317724410214,-76.852531382137,D24HourMean,Annually,Mean,0.01377
M1792,Unknown,39.00220683901531,-76.79568035495353,D24HourMean,Annually,Mean,0.01448
M1793,Unknown,39.00306826739508,-76.73882685435335,D24HourMean,Annually,Mean,0.0154
M1794,Unknown,39.00390200599087,-76.68197095846708,D24HourMean,Annually,Mean,0.01846
M1795,Unknown,39.004708051358186,-76.62511274544612,D24HourMean,Annually,Mean,0.01775
M1796,Unknown,39.00548640016666,-76.56825229346188,D24HourMean,Annually,Mean,0.01777
M1797,Unknown,39.00623704920011,-76.51138968070522,D24HourMean,Annually,Mean,0.01753
M1798,Unknown,39.00695999535662,-76.45452498538566,D24HourMean,Annually,Mean,0.01842
M1799,Unknown,39.00765523564852,-76.39765828573078,D24HourMean,Annually,Mean,0.02041
M1800,Unknown,39.00832276720247,-76.34078965998553,D24HourMean,Annually,Mean,0.02196
M1801,Unknown,39.00896258725946,-76.28391918641151,D24HourMean,Annually,Mean,0.02168
M1802,Unknown,39.00957469317484,-76.22704694328637,D24HourMean,Annually,Mean,0.02096
M1803,Unknown,39.01015908241842,-76.17017300890306,D24HourMean,Annually,Mean,0.01923
M1804,Unknown,39.01071575257437,-76.11329746156922,D24HourMean,Annually,Mean,0.0171
M1805,Unknown,39.01124470134137,-76.05642037960644,D24HourMean,Annually,Mean,0.01552
