MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M1801,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.12708
M1802,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.1417
M1803,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.14237
M1804,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.16309
M1805,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.19496
M1806,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.24116
M1807,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.16947
M1808,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.38855
M1809,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.37844
M1810,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.29072
M1811,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.43065
M1812,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.36436
M1813,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.36662
M1814,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.35682
M1815,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.42561
M1816,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.39072
M1817,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.39938
M1818,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.38684
M1819,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.2981
M1820,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.30142
M1821,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.28314
M1822,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.18662
M1823,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.13394
M1824,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.16968
M1825,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.1722
M1826,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.17702
M1827,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.24869
M1828,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.21124
M1829,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.36265
M1830,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.47876
M1831,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.35383
M1832,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.53137
