MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M2001,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.00195
M2002,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.00209
M2003,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.00224
M2004,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.00231
M2005,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.00242
M2006,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.00251
M2007,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.00245
M2008,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.00266
M2009,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.00296
M2010,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.00308
M2011,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.0037
M2012,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.00335
M2013,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.00302
M2014,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.00296
M2015,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.00312
M2016,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.00309
M2017,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.00326
M2018,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.0035
M2019,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.00363
M2020,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.00355
M2021,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.00351
M2022,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.00211
M2023,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.00222
M2024,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.00237
M2025,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.00255
