MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M2301,Unknown,38.817997778706015,-77.18812589060515,D24HourMean,Annually,Mean,0.00142
M2302,Unknown,38.81904630843418,-77.13143242373779,D24HourMean,Annually,Mean,0.00153
M2303,Unknown,38.82006734908018,-77.07473604328494,D24HourMean,Annually,Mean,0.00162
M2304,Unknown,38.82106089644306,-77.01803682649485,D24HourMean,Annually,Mean,0.00164
M2305,Unknown,38.82202694643449,-76.96133485064011,D24HourMean,Annually,Mean,0.00166
M2306,Unknown,38.82296549507908,-76.90463019301706,D24HourMean,Annually,Mean,0.00173
M2307,Unknown,38.823876538514135,-76.84792293094497,D24HourMean,Annually,Mean,0.00174
M2308,Unknown,38.82476007298992,-76.79121314176557,D24HourMean,Annually,Mean,0.00183
M2309,Unknown,38.82561609486959,-76.73450090284226,D24HourMean,Annually,Mean,0.00205
M2310,Unknown,38.82644460062926,-76.67778629155946,D24HourMean,Annually,Mean,0.00217
M2311,Unknown,38.82724558685805,-76.62106938532202,D24HourMean,Annually,Mean,0.00238
M2312,Unknown,38.82801905025812,-76.56435026155448,D24HourMean,Annually,Mean,0.00217
M2313,Unknown,38.828764987644746,-76.50762899770048,D24HourMean,Annually,Mean,0.002
M2314,Unknown,38.829483395946276,-76.45090567122197,D24HourMean,Annually,Mean,0.002
M2315,Unknown,38.83017427220427,-76.39418035959875,D24HourMean,Annually,Mean,0.00207
M2316,Unknown,38.830837613573436,-76.33745314032758,D24HourMean,Annually,Mean,0.00208
M2317,Unknown,38.831473417321725,-76.28072409092168,D24HourMean,Annually,Mean,0.00218
M2318,Unknown,38.83208168083035,-76.22399328891,D24HourMean,Annually,Mean,0.00235
M2319,Unknown,38.8326624015938,-76.16726081183656,D24HourMean,Annually,Mean,0.00244
M2320,Unknown,38.83321557721989,-76.11052673725978,D24HourMean,Annually,Mean,0.0024
M2321,Unknown,38.83374120542981,-76.05379114275185,D24HourMean,Annually,Mean,0.00238
M2322,Unknown,38.86234936106137,-77.18948522148374,D24HourMean,Annually,Mean,0.00151
M2323,Unknown,38.86339954302515,-77.13275660083487,D24HourMean,Annually,Mean,0.00161
M2324,Unknown,38.86442219263678,-77.07602505960277,D24HourMean,Annually,Mean,0.00173
M2325,Unknown,38.865417305684964,-77.0192906752207,D24HourMean,Annually,Mean,0.00183
M2326,Unknown,38.866384878071415,-76.9625535251463,D24HourMean,Annually,Mean,0.00184
M2327,Unknown,38.86732490581091,-76.90581368686108,D24HourMean,Annually,Mean,0.00191
M2328,Unknown,38.8682373850313,-76.8490712378696,D24HourMean,Annually,Mean,0.00199
M2329,Unknown,38.86912231197367,-76.79232625569892,D24HourMean,Annually,Mean,0.00199
M2330,Unknown,38.869979682992195,-76.73557881789793,D24HourMean,Annually,Mean,0.00228
M2331,Unknown,38.87080949455438,-76.6788290020366,D24HourMean,Annually,Mean,0.00245
M2332,Unknown,38.87161174324096,-76.62207688570541,D24HourMean,Annually,Mean,0.0027
M2333,Unknown,38.872386425746,-76.56532254651464,D24HourMean,Annually,Mean,0.0025
M2334,Unknown,38.87313353887695,-76.50856606209365,D24HourMean,Annually,Mean,0.0023
M2335,Unknown,38.87385307955463,-76.4518075100904,D24HourMean,Annually,Mean,0.00235
M2336,Unknown,38.87454504481331,-76.39504696817053,D24HourMean,Annually,Mean,0.00238
