MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M2401,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.12424
M2402,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.17271
M2403,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.27351
M2404,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.20293
M2405,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.19528
M2406,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.45599
M2407,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.45523
M2408,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.35166
M2409,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.35496
M2410,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.54166
M2411,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.39891
M2412,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.39916
M2413,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.34381
M2414,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.43591
M2415,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.341
M2416,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.34936
M2417,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.36694
M2418,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.33354
M2419,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.26067
M2420,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.27934
M2421,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.27422
