MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M2701,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.07511
M2702,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.10441
M2703,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.16535
M2704,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.12269
M2705,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.11806
M2706,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.27567
M2707,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.27521
M2708,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.2126
M2709,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.2146
M2710,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.32747
M2711,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.24117
M2712,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.24131
M2713,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.20785
M2714,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.26354
M2715,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.20616
M2716,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.21121
M2717,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.22184
M2718,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.20164
M2719,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.15759
M2720,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.16888
M2721,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.16578
M2722,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.11467
M2723,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.08501
