MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M3601,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.12424
M3602,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.17271
M3603,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.27351
M3604,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.20293
M3605,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.19528
M3606,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.45599
M3607,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.45523
M3608,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.35166
M3609,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.35496
M3610,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.54166
M3611,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.39891
M3612,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.39916
M3613,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.34381
M3614,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.43591
M3615,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.341
M3616,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.34936
M3617,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.36694
M3618,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.33354
M3619,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.26067
M3620,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.27934
M3621,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.27422
M3622,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.18967
M3623,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.14061
M3624,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.197
M3625,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.36818
M3626,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.2086
M3627,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.44013
M3628,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.52694
M3629,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.54999
M3630,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.42565
M3631,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.58267
M3632,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.4666
M3633,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.51969
M3634,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.48022
M3635,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.5297
M3636,Unknown,38.811155181236344,-76.32670759167117,D24HourMean,Annually,Mean,0.41812
M3637,Unknown,38.811782255916654,-76.27029261954044,D24HourMean,Annually,Mean,0.45312
M3638,Unknown,38.812382098386436,-76.21387592868949,D24HourMean,Annually,Mean,0.41819
M3639,Unknown,38.81295470620179,-76.15745759536449,D24HourMean,Annually,Mean,0.37614
M3640,Unknown,38.81350007702962,-76.10103769582558,D24HourMean,Annually,Mean,0.35269
M3641,Unknown,38.8140182086477,-76.04461630634626,D24HourMean,Annually,Mean,0.32478
M3642,Unknown,38.81450909894468,-75.98819350321263,D24HourMean,Annually,Mean,0.30872
M3643,Unknown,38.84356863183343,-77.11759893499962,D24HourMean,Annually,Mean,0.21835
M3644,Unknown,38.84457821666531,-77.06118131784704,D24HourMean,Annually,Mean,0.21916
M3645,Unknown,38.84556057260918,-77.00476090971739,D24HourMean,Annually,Mean,0.17675
M3646,Unknown,38.846515695663285,-76.94833778677416,D24HourMean,Annually,Mean,0.26828
M3647,Unknown,38.84744358193647,-76.89191202520395,D24HourMean,Annually,Mean,0.44811
M3648,Unknown,38.8483442276482,-76.83548370121582,D24HourMean,Annually,Mean,0.23039
M3649,Unknown,38.849217629128624,-76.77905289104065,D24HourMean,Annually,Mean,0.63778
M3650,Unknown,38.85006378281861,-76.72261967093038,D24HourMean,Annually,Mean,0.62559
M3651,Unknown,38.850882685269774,-76.66618411715757,D24HourMean,Annually,Mean,0.50451
M3652,Unknown,38.851674333144544,-76.60974630601454,D24HourMean,Annually,Mean,0.63886
M3653,Unknown,38.85243872321618,-76.55330631381291,D24HourMean,Annually,Mean,0.55358
M3654,Unknown,38.85317585236882,-76.49686421688283,D24HourMean,Annually,Mean,0.6902
M3655,Unknown,38.85388571759751,-76.44042009157235,D24HourMean,Annually,Mean,0.63843
M3656,Unknown,38.85456831600825,-76.38397401424685,D24HourMean,Annually,Mean,0.58506
M3657,Unknown,38.85522364481801,-76.32752606128825,D24HourMean,Annually,Mean,0.51043
M3658,Unknown,38.85585170135481,-76.27107630909454,D24HourMean,Annually,Mean,0.48836
M3659,Unknown,38.856452483057666,-76.21462483407898,D24HourMean,Annually,Mean,0.47671
M3660,Unknown,38.85702598747669,-76.15817171266947,D24HourMean,Annually,Mean,0.43908
M3661,Unknown,38.857572212273126,-76.10171702130805,D24HourMean,Annually,Mean,0.39095
M3662,Unknown,38.8580911552193,-76.04526083645001,D24HourMean,Annually,Mean,0.36575
M3663,Unknown,38.85858281419873,-75.98880323456348,D24HourMean,Annually,Mean,0.31903
M3664,Unknown,38.887618507774214,-77.11890665123589,D24HourMean,Annually,Mean,0.26767
M3665,Unknown,38.88862967233266,-77.06245425459048,D24HourMean,Annually,Mean,0.22978
M3666,Unknown,38.88961356543991,-77.00599906030571,D24HourMean,Annually,Mean,0.25844
M3667,Unknown,38.890570183084435,-76.94954114472637,D24HourMean,Annually,Mean,0.22739
M3668,Unknown,38.891499521365624,-76.89308058422048,D24HourMean,Annually,Mean,0.36983
M3669,Unknown,38.89240157649369,-76.83661745517855,D24HourMean,Annually,Mean,0.45316
M3670,Unknown,38.89327634478985,-76.78015183401303,D24HourMean,Annually,Mean,0.53857
M3671,Unknown,38.89412382268628,-76.72368379715756,D24HourMean,Annually,Mean,0.80278
M3672,Unknown,38.89494400672622,-76.66721342106644,D24HourMean,Annually,Mean,0.53059
M3673,Unknown,38.89573689356391,-76.61074078221384,D24HourMean,Annually,Mean,0.8711
M3674,Unknown,38.89650247996477,-76.55426595709328,D24HourMean,Annually,Mean,0.66839
M3675,Unknown,38.89724076280531,-76.49778902221692,D24HourMean,Annually,Mean,0.84093
M3676,Unknown,38.89795173907328,-76.44131005411491,D24HourMean,Annually,Mean,0.78332
M3677,Unknown,38.8986354058676,-76.38482912933472,D24HourMean,Annually,Mean,0.49114
M3678,Unknown,38.89929176039847,-76.32834632444056,D24HourMean,Annually,Mean,0.65827
M3679,Unknown,38.89992079998734,-76.27186171601267,D24HourMean,Annually,Mean,0.5852
M3680,Unknown,38.900522522067035,-76.21537538064663,D24HourMean,Annually,Mean,0.53278
M3681,Unknown,38.90109692418167,-76.15888739495284,D24HourMean,Annually,Mean,0.48037
M3682,Unknown,38.901644003986775,-76.10239783555573,D24HourMean,Annually,Mean,0.42711
M3683,Unknown,38.90216375924924,-76.04590677909319,D24HourMean,Annually,Mean,0.40441
M3684,Unknown,38.90265618784742,-75.98941430221588,D24HourMean,Annually,Mean,0.36298
M3685,Unknown,38.93166801333384,-77.12021723232786,D24HourMean,Annually,Mean,0.24196
M3686,Unknown,38.9326807595432,-77.06372998011044,D24HourMean,Annually,Mean,0.40278
M3687,Unknown,38.9336661916865,-77.0072399235676,D24HourMean,Annually,Mean,0.22471
M3688,Unknown,38.93462430574247,-76.95074713922611,D24HourMean,Annually,Mean,0.35946
M3689,Unknown,38.93555509780094,-76.89425170363599,D24HourMean,Annually,Mean,0.30145
M3690,Unknown,38.936458564062924,-76.8377536933699,D24HourMean,Annually,Mean,0.50934
M3691,Unknown,38.93733470084065,-76.7812531850225,D24HourMean,Annually,Mean,0.39065
M3692,Unknown,38.938183504557585,-76.7247502552098,D24HourMean,Annually,Mean,0.96098
M3693,Unknown,38.939004971748496,-76.6682449805684,D24HourMean,Annually,Mean,0.97074
M3694,Unknown,38.939799099059535,-76.61173743775505,D24HourMean,Annually,Mean,1.09526
M3695,Unknown,38.94056588324816,-76.55522770344581,D24HourMean,Annually,Mean,0.8402
M3696,Unknown,38.94130532118331,-76.49871585433547,D24HourMean,Annually,Mean,0.94907
M3697,Unknown,38.942017409845356,-76.44220196713691,D24HourMean,Annually,Mean,0.96206
M3698,Unknown,38.94270214632613,-76.38568611858042,D24HourMean,Annually,Mean,0.81457
M3699,Unknown,38.94335952782903,-76.32916838541307,D24HourMean,Annually,Mean,0.76556
M3700,Unknown,38.943989551668984,-76.272648844398,D24HourMean,Annually,Mean,0.6806
M3701,Unknown,38.944592215272536,-76.21612757231387,D24HourMean,Annually,Mean,0.60623
M3702,Unknown,38.94516751617779,-76.15960464595408,D24HourMean,Annually,Mean,0.5253
M3703,Unknown,38.94571545203456,-76.1030801421262,D24HourMean,Annually,Mean,0.48323
M3704,Unknown,38.94623602060432,-76.0465541376513,D24HourMean,Annually,Mean,0.43206
M3705,Unknown,38.94672921976019,-75.9900267093633,D24HourMean,Annually,Mean,0.34797
M3706,Unknown,38.97571714830128,-77.12153068512166,D24HourMean,Annually,Mean,0.3568
M3707,Unknown,38.97673147809131,-77.06500850107177,D24HourMean,Annually,Mean,0.35407
M3708,Unknown,38.97771845114867,-77.00848350598658,D24HourMean,Annually,Mean,0.40541
M3709,Unknown,38.978678063442246,-76.95195577657539,D24HourMean,Annually,Mean,0.43074
M3710,Unknown,38.979610311052326,-76.89542538957097,D24HourMean,Annually,Mean,0.48565
M3711,Unknown,38.98051519017068,-76.83889242172873,D24HourMean,Annually,Mean,0.41604
M3712,Unknown,38.9813926971005,-76.78235694982621,D24HourMean,Annually,Mean,0.74428
M3713,Unknown,38.982242828256545,-76.72581905066234,D24HourMean,Annually,Mean,0.54219
M3714,Unknown,38.98306558016513,-76.66927880105685,D24HourMean,Annually,Mean,1.21538
M3715,Unknown,38.98386094946419,-76.61273627784958,D24HourMean,Annually,Mean,0.93325
M3716,Unknown,38.98462893290329,-76.55619155789981,D24HourMean,Annually,Mean,1.10788
M3717,Unknown,38.98536952734373,-76.49964471808565,D24HourMean,Annually,Mean,0.93169
M3718,Unknown,38.98608272975846,-76.44309583530334,D24HourMean,Annually,Mean,1.04617
M3719,Unknown,38.98676853723227,-76.38654498646662,D24HourMean,Annually,Mean,1.07678
M3720,Unknown,38.98742694696169,-76.32999224850607,D24HourMean,Annually,Mean,0.83672
M3721,Unknown,38.98805795625511,-76.27343769836847,D24HourMean,Annually,Mean,0.79845
M3722,Unknown,38.98866156253277,-76.21688141301607,D24HourMean,Annually,Mean,0.70392
M3723,Unknown,38.98923776332679,-76.16032346942602,D24HourMean,Annually,Mean,0.60397
M3724,Unknown,38.989786556281224,-76.10376394458969,D24HourMean,Annually,Mean,0.53169
M3725,Unknown,38.99030793915205,-76.04720291551195,D24HourMean,Annually,Mean,0.45158
M3726,Unknown,38.99080190980726,-75.99064045921061,D24HourMean,Annually,Mean,0.38908
M3727,Unknown,39.01976591246592,-77.12284701648787,D24HourMean,Annually,Mean,0.39771
M3728,Unknown,39.02078182777187,-77.06628982416314,D24HourMean,Annually,Mean,0.39179
M3729,Unknown,39.021770343626585,-77.00972981406925,D24HourMean,Annually,Mean,0.49663
M3730,Unknown,39.02273145598912,-76.95316706309877,D24HourMean,Annually,Mean,0.48771
M3731,Unknown,39.02366516093018,-76.89660164816775,D24HourMean,Annually,Mean,0.73745
M3732,Unknown,39.02457145463222,-76.84003364621505,D24HourMean,Annually,Mean,0.6041
M3733,Unknown,39.025450333389436,-76.78346313420175,D24HourMean,Annually,Mean,0.6078
M3734,Unknown,39.02630179360781,-76.72689018911038,D24HourMean,Annually,Mean,1.24852
M3735,Unknown,39.027125831805165,-76.67031488794439,D24HourMean,Annually,Mean,1.63661
M3736,Unknown,39.02792244461124,-76.61373730772739,D24HourMean,Annually,Mean,1.26196
M3737,Unknown,39.02869162876767,-76.55715752550255,D24HourMean,Annually,Mean,1.53779
M3738,Unknown,39.02943338112805,-76.50057561833191,D24HourMean,Annually,Mean,1.65707
M3739,Unknown,39.03014769865798,-76.44399166329576,D24HourMean,Annually,Mean,1.51916
M3740,Unknown,39.03083457843508,-76.38740573749196,D24HourMean,Annually,Mean,1.33902
M3741,Unknown,39.03149401764908,-76.33081791803524,D24HourMean,Annually,Mean,1.11708
M3742,Unknown,39.03212601360177,-76.27422828205661,D24HourMean,Annually,Mean,0.92103
M3743,Unknown,39.032730563707084,-76.21763690670267,D24HourMean,Annually,Mean,0.79951
