MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M3701,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.00155
M3702,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.00169
M3703,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.00184
M3704,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.00178
M3705,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.00169
M3706,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.00192
M3707,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.00213
M3708,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.00206
M3709,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.00256
M3710,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.00306
M3711,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.00258
M3712,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.00231
M3713,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.00217
M3714,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.00241
M3715,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.00229
M3716,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.00242
M3717,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.00243
M3718,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.00267
M3719,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.00269
M3720,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.0026
M3721,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.00258
M3722,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.00163
M3723,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.00176
M3724,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.00193
M3725,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.0021
M3726,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.00196
M3727,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.00198
M3728,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.00237
M3729,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.00237
M3730,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.00269
M3731,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.00355
M3732,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.00298
M3733,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.00262
M3734,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.00259
M3735,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.00277
M3736,Unknown,38.811155181236344,-76.32670759167117,D24HourMean,Annually,Mean,0.00267
M3737,Unknown,38.811782255916654,-76.27029261954044,D24HourMean,Annually,Mean,0.00285
M3738,Unknown,38.812382098386436,-76.21387592868949,D24HourMean,Annually,Mean,0.00296
M3739,Unknown,38.81295470620179,-76.15745759536449,D24HourMean,Annually,Mean,0.00318
M3740,Unknown,38.81350007702962,-76.10103769582558,D24HourMean,Annually,Mean,0.00302
M3741,Unknown,38.8140182086477,-76.04461630634626,D24HourMean,Annually,Mean,0.003
M3742,Unknown,38.81450909894468,-75.98819350321263,D24HourMean,Annually,Mean,0.00293
M3743,Unknown,38.84356863183343,-77.11759893499962,D24HourMean,Annually,Mean,0.00169
M3744,Unknown,38.84457821666531,-77.06118131784704,D24HourMean,Annually,Mean,0.0018600000000000001
M3745,Unknown,38.84556057260918,-77.00476090971739,D24HourMean,Annually,Mean,0.00203
M3746,Unknown,38.846515695663285,-76.94833778677416,D24HourMean,Annually,Mean,0.00226
M3747,Unknown,38.84744358193647,-76.89191202520395,D24HourMean,Annually,Mean,0.00241
M3748,Unknown,38.8483442276482,-76.83548370121582,D24HourMean,Annually,Mean,0.0022
M3749,Unknown,38.849217629128624,-76.77905289104065,D24HourMean,Annually,Mean,0.00252
M3750,Unknown,38.85006378281861,-76.72261967093038,D24HourMean,Annually,Mean,0.00279
M3751,Unknown,38.850882685269774,-76.66618411715757,D24HourMean,Annually,Mean,0.00288
M3752,Unknown,38.851674333144544,-76.60974630601454,D24HourMean,Annually,Mean,0.00416
M3753,Unknown,38.85243872321618,-76.55330631381291,D24HourMean,Annually,Mean,0.00352
M3754,Unknown,38.85317585236882,-76.49686421688283,D24HourMean,Annually,Mean,0.00301
M3755,Unknown,38.85388571759751,-76.44042009157235,D24HourMean,Annually,Mean,0.00317
M3756,Unknown,38.85456831600825,-76.38397401424685,D24HourMean,Annually,Mean,0.00318
M3757,Unknown,38.85522364481801,-76.32752606128825,D24HourMean,Annually,Mean,0.00331
M3758,Unknown,38.85585170135481,-76.27107630909454,D24HourMean,Annually,Mean,0.00338
M3759,Unknown,38.856452483057666,-76.21462483407898,D24HourMean,Annually,Mean,0.0038
M3760,Unknown,38.85702598747669,-76.15817171266947,D24HourMean,Annually,Mean,0.00359
M3761,Unknown,38.857572212273126,-76.10171702130805,D24HourMean,Annually,Mean,0.00356
M3762,Unknown,38.8580911552193,-76.04526083645001,D24HourMean,Annually,Mean,0.00347
M3763,Unknown,38.85858281419873,-75.98880323456348,D24HourMean,Annually,Mean,0.00333
M3764,Unknown,38.887618507774214,-77.11890665123589,D24HourMean,Annually,Mean,0.00188
M3765,Unknown,38.88862967233266,-77.06245425459048,D24HourMean,Annually,Mean,0.00196
M3766,Unknown,38.88961356543991,-77.00599906030571,D24HourMean,Annually,Mean,0.00216
M3767,Unknown,38.890570183084435,-76.94954114472637,D24HourMean,Annually,Mean,0.0024
M3768,Unknown,38.891499521365624,-76.89308058422048,D24HourMean,Annually,Mean,0.0027
M3769,Unknown,38.89240157649369,-76.83661745517855,D24HourMean,Annually,Mean,0.00277
M3770,Unknown,38.89327634478985,-76.78015183401303,D24HourMean,Annually,Mean,0.00264
M3771,Unknown,38.89412382268628,-76.72368379715756,D24HourMean,Annually,Mean,0.00329
M3772,Unknown,38.89494400672622,-76.66721342106644,D24HourMean,Annually,Mean,0.00325
M3773,Unknown,38.89573689356391,-76.61074078221384,D24HourMean,Annually,Mean,0.0049
M3774,Unknown,38.89650247996477,-76.55426595709328,D24HourMean,Annually,Mean,0.00424
M3775,Unknown,38.89724076280531,-76.49778902221692,D24HourMean,Annually,Mean,0.00354
M3776,Unknown,38.89795173907328,-76.44131005411491,D24HourMean,Annually,Mean,0.00395
M3777,Unknown,38.8986354058676,-76.38482912933472,D24HourMean,Annually,Mean,0.00378
M3778,Unknown,38.89929176039847,-76.32834632444056,D24HourMean,Annually,Mean,0.00409
M3779,Unknown,38.89992079998734,-76.27186171601267,D24HourMean,Annually,Mean,0.00453
M3780,Unknown,38.900522522067035,-76.21537538064663,D24HourMean,Annually,Mean,0.00439
M3781,Unknown,38.90109692418167,-76.15888739495284,D24HourMean,Annually,Mean,0.00433
M3782,Unknown,38.901644003986775,-76.10239783555573,D24HourMean,Annually,Mean,0.0042
M3783,Unknown,38.90216375924924,-76.04590677909319,D24HourMean,Annually,Mean,0.00398
M3784,Unknown,38.90265618784742,-75.98941430221588,D24HourMean,Annually,Mean,0.00349
M3785,Unknown,38.93166801333384,-77.12021723232786,D24HourMean,Annually,Mean,0.00212
M3786,Unknown,38.9326807595432,-77.06372998011044,D24HourMean,Annually,Mean,0.00226
M3787,Unknown,38.9336661916865,-77.0072399235676,D24HourMean,Annually,Mean,0.00236
M3788,Unknown,38.93462430574247,-76.95074713922611,D24HourMean,Annually,Mean,0.00259
M3789,Unknown,38.93555509780094,-76.89425170363599,D24HourMean,Annually,Mean,0.00291
M3790,Unknown,38.936458564062924,-76.8377536933699,D24HourMean,Annually,Mean,0.00332
M3791,Unknown,38.93733470084065,-76.7812531850225,D24HourMean,Annually,Mean,0.00321
M3792,Unknown,38.938183504557585,-76.7247502552098,D24HourMean,Annually,Mean,0.0036
M3793,Unknown,38.939004971748496,-76.6682449805684,D24HourMean,Annually,Mean,0.00397
M3794,Unknown,38.939799099059535,-76.61173743775505,D24HourMean,Annually,Mean,0.00568
M3795,Unknown,38.94056588324816,-76.55522770344581,D24HourMean,Annually,Mean,0.0053
M3796,Unknown,38.94130532118331,-76.49871585433547,D24HourMean,Annually,Mean,0.00433
M3797,Unknown,38.942017409845356,-76.44220196713691,D24HourMean,Annually,Mean,0.00491
M3798,Unknown,38.94270214632613,-76.38568611858042,D24HourMean,Annually,Mean,0.00499
M3799,Unknown,38.94335952782903,-76.32916838541307,D24HourMean,Annually,Mean,0.00537
M3800,Unknown,38.943989551668984,-76.272648844398,D24HourMean,Annually,Mean,0.00558
M3801,Unknown,38.944592215272536,-76.21612757231387,D24HourMean,Annually,Mean,0.00543
M3802,Unknown,38.94516751617779,-76.15960464595408,D24HourMean,Annually,Mean,0.00526
M3803,Unknown,38.94571545203456,-76.1030801421262,D24HourMean,Annually,Mean,0.00483
M3804,Unknown,38.94623602060432,-76.0465541376513,D24HourMean,Annually,Mean,0.00406
M3805,Unknown,38.94672921976019,-75.9900267093633,D24HourMean,Annually,Mean,0.00351
M3806,Unknown,38.97571714830128,-77.12153068512166,D24HourMean,Annually,Mean,0.00242
M3807,Unknown,38.97673147809131,-77.06500850107177,D24HourMean,Annually,Mean,0.00259
M3808,Unknown,38.97771845114867,-77.00848350598658,D24HourMean,Annually,Mean,0.00277
M3809,Unknown,38.978678063442246,-76.95195577657539,D24HourMean,Annually,Mean,0.00296
M3810,Unknown,38.979610311052326,-76.89542538957097,D24HourMean,Annually,Mean,0.00321
M3811,Unknown,38.98051519017068,-76.83889242172873,D24HourMean,Annually,Mean,0.00366
M3812,Unknown,38.9813926971005,-76.78235694982621,D24HourMean,Annually,Mean,0.00424
M3813,Unknown,38.982242828256545,-76.72581905066234,D24HourMean,Annually,Mean,0.00394
M3814,Unknown,38.98306558016513,-76.66927880105685,D24HourMean,Annually,Mean,0.00513
M3815,Unknown,38.98386094946419,-76.61273627784958,D24HourMean,Annually,Mean,0.00633
M3816,Unknown,38.98462893290329,-76.55619155789981,D24HourMean,Annually,Mean,0.00691
M3817,Unknown,38.98536952734373,-76.49964471808565,D24HourMean,Annually,Mean,0.00569
M3818,Unknown,38.98608272975846,-76.44309583530334,D24HourMean,Annually,Mean,0.00616
M3819,Unknown,38.98676853723227,-76.38654498646662,D24HourMean,Annually,Mean,0.00674
M3820,Unknown,38.98742694696169,-76.32999224850607,D24HourMean,Annually,Mean,0.00745
M3821,Unknown,38.98805795625511,-76.27343769836847,D24HourMean,Annually,Mean,0.00712
M3822,Unknown,38.98866156253277,-76.21688141301607,D24HourMean,Annually,Mean,0.00684
M3823,Unknown,38.98923776332679,-76.16032346942602,D24HourMean,Annually,Mean,0.00595
M3824,Unknown,38.989786556281224,-76.10376394458969,D24HourMean,Annually,Mean,0.00486
M3825,Unknown,38.99030793915205,-76.04720291551195,D24HourMean,Annually,Mean,0.00437
M3826,Unknown,38.99080190980726,-75.99064045921061,D24HourMean,Annually,Mean,0.00408
M3827,Unknown,39.01976591246592,-77.12284701648787,D24HourMean,Annually,Mean,0.00247
M3828,Unknown,39.02078182777187,-77.06628982416314,D24HourMean,Annually,Mean,0.00284
M3829,Unknown,39.021770343626585,-77.00972981406925,D24HourMean,Annually,Mean,0.00324
M3830,Unknown,39.02273145598912,-76.95316706309877,D24HourMean,Annually,Mean,0.00355
M3831,Unknown,39.02366516093018,-76.89660164816775,D24HourMean,Annually,Mean,0.00388
M3832,Unknown,39.02457145463222,-76.84003364621505,D24HourMean,Annually,Mean,0.00421
M3833,Unknown,39.025450333389436,-76.78346313420175,D24HourMean,Annually,Mean,0.00489
M3834,Unknown,39.02630179360781,-76.72689018911038,D24HourMean,Annually,Mean,0.00566
M3835,Unknown,39.027125831805165,-76.67031488794439,D24HourMean,Annually,Mean,0.00599
M3836,Unknown,39.02792244461124,-76.61373730772739,D24HourMean,Annually,Mean,0.00719
M3837,Unknown,39.02869162876767,-76.55715752550255,D24HourMean,Annually,Mean,0.00962
M3838,Unknown,39.02943338112805,-76.50057561833191,D24HourMean,Annually,Mean,0.00839
M3839,Unknown,39.03014769865798,-76.44399166329576,D24HourMean,Annually,Mean,0.00901
M3840,Unknown,39.03083457843508,-76.38740573749196,D24HourMean,Annually,Mean,0.01046
M3841,Unknown,39.03149401764908,-76.33081791803524,D24HourMean,Annually,Mean,0.00994
M3842,Unknown,39.03212601360177,-76.27422828205661,D24HourMean,Annually,Mean,0.00937
M3843,Unknown,39.032730563707084,-76.21763690670267,D24HourMean,Annually,Mean,0.00751
M3844,Unknown,39.0333076654911,-76.16104386913491,D24HourMean,Annually,Mean,0.00626
M3845,Unknown,39.033857316592126,-76.10444924652917,D24HourMean,Annually,Mean,0.0057
M3846,Unknown,39.03437951476068,-76.0478531160748,D24HourMean,Annually,Mean,0.00509
M3847,Unknown,39.0348742578595,-75.99125555497415,D24HourMean,Annually,Mean,0.00455
M3848,Unknown,39.06381430561761,-77.12416623332155,D24HourMean,Annually,Mean,0.00263
M3849,Unknown,39.064831808380234,-77.06757395609708,D24HourMean,Annually,Mean,0.00288
M3850,Unknown,39.065821868920956,-77.01097885434551,D24HourMean,Annually,Mean,0.00329
M3851,Unknown,39.066784483189,-76.95438100514335,D24HourMean,Annually,Mean,0.00396
M3852,Unknown,39.067719647245426,-76.89778048559059,D24HourMean,Annually,Mean,0.00478
M3853,Unknown,39.068627357263395,-76.84117737281021,D24HourMean,Annually,Mean,0.00543
M3854,Unknown,39.069507609528024,-76.78457174394742,D24HourMean,Annually,Mean,0.00609
M3855,Unknown,39.07036040043654,-76.7279636761691,D24HourMean,Annually,Mean,0.00717
M3856,Unknown,39.07118572649826,-76.67135324666297,D24HourMean,Annually,Mean,0.00792
M3857,Unknown,39.07198358433465,-76.61474053263716,D24HourMean,Annually,Mean,0.01011
M3858,Unknown,39.07275397067941,-76.55812561131931,D24HourMean,Annually,Mean,0.01486
M3859,Unknown,39.07349688237842,-76.50150855995612,D24HourMean,Annually,Mean,0.01353
M3860,Unknown,39.074212316389904,-76.44488945581256,D24HourMean,Annually,Mean,0.01523
M3861,Unknown,39.07490026978431,-76.38826837617118,D24HourMean,Annually,Mean,0.01535
M3862,Unknown,39.0755607397445,-76.33164539833164,D24HourMean,Annually,Mean,0.01369
M3863,Unknown,39.076193723565666,-76.2750205996098,D24HourMean,Annually,Mean,0.01021
M3864,Unknown,39.07679921865543,-76.21839405733725,D24HourMean,Annually,Mean,0.00879
M3865,Unknown,39.077377222533826,-76.16176584886051,D24HourMean,Annually,Mean,0.00755
M3866,Unknown,39.07792773283339,-76.10513605154048,D24HourMean,Annually,Mean,0.00646
M3867,Unknown,39.0784507472991,-76.0485047427517,D24HourMean,Annually,Mean,0.00549
M3868,Unknown,39.07894626378851,-75.99187199988171,D24HourMean,Annually,Mean,0.00471
M3869,Unknown,39.107862327546655,-77.12548834254241,D24HourMean,Annually,Mean,0.00302
M3870,Unknown,39.10888141971219,-77.06886090361009,D24HourMean,Annually,Mean,0.00339
M3871,Unknown,39.10987302683294,-77.01223063336859,D24HourMean,Annually,Mean,0.00382
M3872,Unknown,39.110837144848226,-76.95559760907895,D24HourMean,Annually,Mean,0.00433
M3873,Unknown,39.1117737698095,-76.89896190802583,D24HourMean,Annually,Mean,0.00498
M3874,Unknown,39.112682897880546,-76.84232360751692,D24HourMean,Annually,Mean,0.00621
M3875,Unknown,39.11356452533741,-76.7856827848823,D24HourMean,Annually,Mean,0.00833
M3876,Unknown,39.11441864856851,-76.72903951747374,D24HourMean,Annually,Mean,0.01025
M3877,Unknown,39.11524526407461,-76.672393882664025,D24HourMean,Annually,Mean,0.01252
M3878,Unknown,39.11604436846894,-76.61574595784633,D24HourMean,Annually,Mean,0.01469
M3879,Unknown,39.11681595847721,-76.559095820433555,D24HourMean,Annually,Mean,0.02775
M3880,Unknown,39.117560030937604,-76.50244354785761,D24HourMean,Annually,Mean,0.0254
M3881,Unknown,39.11827658280086,-76.44578921756882,D24HourMean,Annually,Mean,0.02857
M3882,Unknown,39.11896561113031,-76.3891329070352,D24HourMean,Annually,Mean,0.02198
M3883,Unknown,39.1196271131019,-76.33247469374184,D24HourMean,Annually,Mean,0.01633
M3884,Unknown,39.12026108600421,-76.27581465519022,D24HourMean,Annually,Mean,0.01292
M3885,Unknown,39.12086752723852,-76.21915286889752,D24HourMean,Annually,Mean,0.01016
M3886,Unknown,39.1214464343188,-76.16248941239598,D24HourMean,Annually,Mean,0.0081
M3887,Unknown,39.12199780487178,-76.10582436323227,D24HourMean,Annually,Mean,0.00662
M3888,Unknown,39.12252163663697,-76.0491577989667,D24HourMean,Annually,Mean,0.00553
M3889,Unknown,39.12301792746665,-75.99248979717271,D24HourMean,Annually,Mean,0.00475
M3890,Unknown,39.1519099780438,-77.12681335109495,D24HourMean,Annually,Mean,0.00353
M3891,Unknown,39.15293066156401,-77.07015067346278,D24HourMean,Annually,Mean,0.00401
M3892,Unknown,39.1539238171642,-77.01348515771511,D24HourMean,Annually,Mean,0.00461
M3893,Unknown,39.15488944077371,-76.95681688129814,D24HourMean,Annually,Mean,0.00538
M3894,Unknown,39.15582752843438,-76.90014592168185,D24HourMean,Annually,Mean,0.00641
M3895,Unknown,39.15673807630058,-76.84347235635934,D24HourMean,Annually,Mean,0.00784
M3896,Unknown,39.15762108063927,-76.78679626284617,D24HourMean,Annually,Mean,0.00993
M3897,Unknown,39.15847653783001,-76.7301177186797,D24HourMean,Annually,Mean,0.01326
M3898,Unknown,39.15930444436504,-76.67343680141839,D24HourMean,Annually,Mean,0.02199
M3899,Unknown,39.160104796849296,-76.61675358864119,D24HourMean,Annually,Mean,0.03406
M3900,Unknown,39.16087759200045,-76.56006815794683,D24HourMean,Annually,Mean,0.07856
M3901,Unknown,39.16162282664897,-76.50338058695318,D24HourMean,Annually,Mean,0.08405
M3902,Unknown,39.16234049773815,-76.44669095329655,D24HourMean,Annually,Mean,0.04822
M3903,Unknown,39.16303060232411,-76.38999933463107,D24HourMean,Annually,Mean,0.02955
M3904,Unknown,39.16369313757589,-76.33330580862797,D24HourMean,Annually,Mean,0.01919
M3905,Unknown,39.16432810077544,-76.27661045297495,D24HourMean,Annually,Mean,0.01384
M3906,Unknown,39.16493548931768,-76.21991334537549,D24HourMean,Annually,Mean,0.01086
M3907,Unknown,39.16551530071051,-76.1632145635482,D24HourMean,Annually,Mean,0.00892
M3908,Unknown,39.16606753257484,-76.1065141852261,D24HourMean,Annually,Mean,0.00749
M3909,Unknown,39.166592182644635,-76.0498122881561,D24HourMean,Annually,Mean,0.00638
M3910,Unknown,39.167089248766935,-75.99310895009809,D24HourMean,Annually,Mean,0.00551
M3911,Unknown,39.19595725690021,-77.12814126594844,D24HourMean,Annually,Mean,0.00438
M3912,Unknown,39.19697953373244,-77.07144327243996,D24HourMean,Annually,Mean,0.00511
M3913,Unknown,39.19797423971683,-77.01474243398526,D24HourMean,Annually,Mean,0.00607
M3914,Unknown,39.1989413707728,-76.95803882821642,D24HourMean,Annually,Mean,0.00739
M3915,Unknown,39.1998809229325,-76.90133253278934,D24HourMean,Annually,Mean,0.00927
M3916,Unknown,39.2007928923409,-76.84462362538322,D24HourMean,Annually,Mean,0.01214
M3917,Unknown,39.20167727525581,-76.78791218369977,D24HourMean,Annually,Mean,0.0169
M3918,Unknown,39.202534068047946,-76.73119828546261,D24HourMean,Annually,Mean,0.02589
M3919,Unknown,39.20336326720093,-76.67448200841653,D24HourMean,Annually,Mean,0.04711
M3920,Unknown,39.20416486931141,-76.61776343032693,D24HourMean,Annually,Mean,0.12725
M3921,Unknown,39.20493887108905,-76.56104262897904,D24HourMean,Annually,Mean,1.15119
M3922,Unknown,39.205685269356515,-76.50431968217733,D24HourMean,Annually,Mean,0.16796
M3923,Unknown,39.20640406104964,-76.44759466774475,D24HourMean,Annually,Mean,0.05902
M3924,Unknown,39.20709524321735,-76.39086766352222,D24HourMean,Annually,Mean,0.03212
M3925,Unknown,39.20775881302173,-76.33413874736777,D24HourMean,Annually,Mean,0.02094
M3926,Unknown,39.208394767738085,-76.27740799715603,D24HourMean,Annually,Mean,0.01507
M3927,Unknown,39.20900310475497,-76.2206754907774,D24HourMean,Annually,Mean,0.01152
M3928,Unknown,39.20958382157416,-76.16394130613753,D24HourMean,Annually,Mean,0.00919
M3929,Unknown,39.21013691581075,-76.10720552115657,D24HourMean,Annually,Mean,0.00756
M3930,Unknown,39.21066238519317,-76.05046821376851,D24HourMean,Annually,Mean,0.00637
M3931,Unknown,39.21116022756315,-75.99372946192047,D24HourMean,Annually,Mean,0.00546
M3932,Unknown,39.240004163907535,-77.12947209409714,D24HourMean,Annually,Mean,0.0051
M3933,Unknown,39.24102803601465,-77.07273870735071,D24HourMean,Annually,Mean,0.00607
M3934,Unknown,39.24202429429346,-77.01600246880285,D24HourMean,Annually,Mean,0.00737
M3935,Unknown,39.242992934653394,-76.95926345627218,D24HourMean,Annually,Mean,0.00907
M3936,Unknown,39.243933953116894,-76.90252174760124,D24HourMean,Annually,Mean,0.01123
M3937,Unknown,39.24484734581949,-76.84577742065596,D24HourMean,Annually,Mean,0.0139
M3938,Unknown,39.24573310900982,-76.78903055332486,D24HourMean,Annually,Mean,0.01745
M3939,Unknown,39.24659123904972,-76.73228122351848,D24HourMean,Annually,Mean,0.02251
M3940,Unknown,39.24742173241423,-76.67552950916863,D24HourMean,Annually,Mean,0.03349
M3941,Unknown,39.24822458569165,-76.61877548822778,D24HourMean,Annually,Mean,0.08786
M3942,Unknown,39.24899979558355,-76.56201923866838,D24HourMean,Annually,Mean,0.08098
M3943,Unknown,39.24974735890487,-76.50526083848212,D24HourMean,Annually,Mean,0.06839
M3944,Unknown,39.250467272583904,-76.44850036567935,D24HourMean,Annually,Mean,0.03275
M3945,Unknown,39.251159533662346,-76.39173789828837,D24HourMean,Annually,Mean,0.01912
M3946,Unknown,39.25182413929536,-76.3349735143547,D24HourMean,Annually,Mean,0.01469
M3947,Unknown,39.25246108675156,-76.27820729194052,D24HourMean,Annually,Mean,0.01179
M3948,Unknown,39.25307037341308,-76.22143930912391,D24HourMean,Annually,Mean,0.00937
M3949,Unknown,39.25365199677563,-76.16466964399818,D24HourMean,Annually,Mean,0.00753
M3950,Unknown,39.25420595444843,-76.10789837467125,D24HourMean,Annually,Mean,0.00621
M3951,Unknown,39.25473224415433,-76.05112557926489,D24HourMean,Annually,Mean,0.00524
M3952,Unknown,39.2552308637298,-75.99435133591416,D24HourMean,Annually,Mean,0.00453
M3953,Unknown,39.28405069885785,-77.13080584256039,D24HourMean,Annually,Mean,0.00494
M3954,Unknown,39.2850761682083,-77.0740369850285,D24HourMean,Annually,Mean,0.00548
M3955,Unknown,39.28607398069717,-77.01726526881542,D24HourMean,Annually,Mean,0.00617
M3956,Unknown,39.28704413222383,-76.96049077192696,D24HourMean,Annually,Mean,0.00706
M3957,Unknown,39.28798661880103,-76.90371357239293,D24HourMean,Annually,Mean,0.00805
M3958,Unknown,39.28890143655479,-76.8469337482667,D24HourMean,Annually,Mean,0.00944
M3959,Unknown,39.289788581724594,-76.79015137762426,D24HourMean,Annually,Mean,0.01221
M3960,Unknown,39.29064805066336,-76.73336653856369,D24HourMean,Annually,Mean,0.02034
M3961,Unknown,39.29147983983748,-76.67657930920456,D24HourMean,Annually,Mean,0.03266
M3962,Unknown,39.292283945826895,-76.61978976768707,D24HourMean,Annually,Mean,0.03886
M3963,Unknown,39.2930603653251,-76.56299799217149,D24HourMean,Annually,Mean,0.02669
M3964,Unknown,39.29380909513924,-76.5062040608375,D24HourMean,Annually,Mean,0.02357
M3965,Unknown,39.29453013219006,-76.44940805188342,D24HourMean,Annually,Mean,0.02424
M3966,Unknown,39.29522347351204,-76.39261004352566,D24HourMean,Annually,Mean,0.01609
M3967,Unknown,39.29588911625334,-76.33581011399792,D24HourMean,Annually,Mean,0.0115
M3968,Unknown,39.296527057675895,-76.2790083415506,D24HourMean,Annually,Mean,0.0085
M3969,Unknown,39.29713729515543,-76.22220480445006,D24HourMean,Annually,Mean,0.00691
M3970,Unknown,39.297719826181485,-76.165399580978,D24HourMean,Annually,Mean,0.00607
M3971,Unknown,39.29827464835744,-76.10859274943077,D24HourMean,Annually,Mean,0.0055
M3972,Unknown,39.29880175940059,-76.05178438811866,D24HourMean,Annually,Mean,0.00495
M3973,Unknown,39.29930115714207,-75.99497457536523,D24HourMean,Annually,Mean,0.00442
M3974,Unknown,39.32809686154365,-77.13214251838264,D24HourMean,Annually,Mean,0.00405
M3975,Unknown,39.3291239301115,-77.07533811233132,D24HourMean,Annually,Mean,0.00441
M3976,Unknown,39.3301232987315,-77.01853084069437,D24HourMean,Annually,Mean,0.00484
M3977,Unknown,39.331094963293,-76.9617207816654,D24HourMean,Annually,Mean,0.00558
M3978,Unknown,39.33203891979892,-76.90490801346232,D24HourMean,Annually,Mean,0.00677
M3979,Unknown,39.33295516436584,-76.8480926143264,D24HourMean,Annually,Mean,0.00933
M3980,Unknown,39.33384369322402,-76.7912746625219,D24HourMean,Annually,Mean,0.01306
M3981,Unknown,39.334704502717415,-76.73445423633517,D24HourMean,Annually,Mean,0.01783
M3982,Unknown,39.33553758930379,-76.67763141407404,D24HourMean,Annually,Mean,0.02393
M3983,Unknown,39.33634294955467,-76.62080627406722,D24HourMean,Annually,Mean,0.01864
M3984,Unknown,39.33712058015547,-76.56397889466352,D24HourMean,Annually,Mean,0.01395
M3985,Unknown,39.33787047790549,-76.50714935423116,D24HourMean,Annually,Mean,0.01238
M3986,Unknown,39.33859263971795,-76.45031773115718,D24HourMean,Annually,Mean,0.01586
M3987,Unknown,39.33928706262003,-76.39348410384679,D24HourMean,Annually,Mean,0.01327
M3988,Unknown,39.339953743752915,-76.33664855072246,D24HourMean,Annually,Mean,0.00976
M3989,Unknown,39.340592680371834,-76.27981115022354,D24HourMean,Annually,Mean,0.00819
M3990,Unknown,39.34120386984606,-76.22297198080537,D24HourMean,Annually,Mean,0.00633
M3991,Unknown,39.341787309659004,-76.16613112093872,D24HourMean,Annually,Mean,0.00515
M3992,Unknown,39.34234299740814,-76.10928864910898,D24HourMean,Annually,Mean,0.0044
M3993,Unknown,39.34287093080514,-76.05244464381566,D24HourMean,Annually,Mean,0.00387
