MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M3901,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.01556
M3902,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.02134
M3903,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.03016
M3904,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.02354
M3905,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.01943
M3906,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.03219
M3907,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.0305
M3908,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.0243
M3909,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.03044
M3910,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.05416
M3911,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.04934
M3912,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.04542
M3913,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.03286
M3914,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.03339
M3915,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.02499
M3916,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.03162
M3917,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.0354
M3918,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.06746
M3919,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.05362
M3920,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.03285
M3921,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.02903
M3922,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.01816
M3923,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.01826
M3924,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.02505
M3925,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.03408
M3926,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.02434
M3927,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.03024
M3928,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.04262
M3929,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.0377
M3930,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.02995
M3931,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.05202
M3932,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.05734
M3933,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.05495
M3934,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.04531
M3935,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.03626
M3936,Unknown,38.811155181236344,-76.32670759167117,D24HourMean,Annually,Mean,0.03053
M3937,Unknown,38.811782255916654,-76.27029261954044,D24HourMean,Annually,Mean,0.04278
M3938,Unknown,38.812382098386436,-76.21387592868949,D24HourMean,Annually,Mean,0.06592
M3939,Unknown,38.81295470620179,-76.15745759536449,D24HourMean,Annually,Mean,0.07735
M3940,Unknown,38.81350007702962,-76.10103769582558,D24HourMean,Annually,Mean,0.03874
M3941,Unknown,38.8140182086477,-76.04461630634626,D24HourMean,Annually,Mean,0.03457
M3942,Unknown,38.81450909894468,-75.98819350321263,D24HourMean,Annually,Mean,0.04322
M3943,Unknown,38.84356863183343,-77.11759893499962,D24HourMean,Annually,Mean,0.0245
M3944,Unknown,38.84457821666531,-77.06118131784704,D24HourMean,Annually,Mean,0.02216
M3945,Unknown,38.84556057260918,-77.00476090971739,D24HourMean,Annually,Mean,0.02185
M3946,Unknown,38.846515695663285,-76.94833778677416,D24HourMean,Annually,Mean,0.03104
M3947,Unknown,38.84744358193647,-76.89191202520395,D24HourMean,Annually,Mean,0.03737
M3948,Unknown,38.8483442276482,-76.83548370121582,D24HourMean,Annually,Mean,0.02684
M3949,Unknown,38.849217629128624,-76.77905289104065,D24HourMean,Annually,Mean,0.04468
M3950,Unknown,38.85006378281861,-76.72261967093038,D24HourMean,Annually,Mean,0.03922
M3951,Unknown,38.850882685269774,-76.66618411715757,D24HourMean,Annually,Mean,0.03094
M3952,Unknown,38.851674333144544,-76.60974630601454,D24HourMean,Annually,Mean,0.05839
M3953,Unknown,38.85243872321618,-76.55330631381291,D24HourMean,Annually,Mean,0.06775
M3954,Unknown,38.85317585236882,-76.49686421688283,D24HourMean,Annually,Mean,0.06457
M3955,Unknown,38.85388571759751,-76.44042009157235,D24HourMean,Annually,Mean,0.0534
