MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M4301,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.00246
M4302,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.00268
M4303,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.00292
M4304,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.00283
M4305,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.00267
M4306,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.00305
M4307,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.00337
M4308,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.00327
M4309,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.00406
M4310,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.00485
M4311,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.00409
M4312,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.00366
M4313,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.00345
M4314,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.00381
M4315,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.00363
M4316,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.00384
M4317,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.00385
M4318,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.00423
M4319,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.00426
M4320,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.00411
M4321,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.00409
M4322,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.00258
M4323,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.00279
M4324,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.00307
M4325,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.00333
M4326,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.00311
M4327,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.00315
M4328,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.00376
M4329,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.00375
M4330,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.00426
M4331,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.00562
M4332,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.00473
M4333,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.00415
M4334,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.0041
M4335,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.00438
M4336,Unknown,38.811155181236344,-76.32670759167117,D24HourMean,Annually,Mean,0.00423
M4337,Unknown,38.811782255916654,-76.27029261954044,D24HourMean,Annually,Mean,0.00452
M4338,Unknown,38.812382098386436,-76.21387592868949,D24HourMean,Annually,Mean,0.0047
M4339,Unknown,38.81295470620179,-76.15745759536449,D24HourMean,Annually,Mean,0.00504
M4340,Unknown,38.81350007702962,-76.10103769582558,D24HourMean,Annually,Mean,0.00479
M4341,Unknown,38.8140182086477,-76.04461630634626,D24HourMean,Annually,Mean,0.00476
M4342,Unknown,38.81450909894468,-75.98819350321263,D24HourMean,Annually,Mean,0.00464
M4343,Unknown,38.84356863183343,-77.11759893499962,D24HourMean,Annually,Mean,0.00267
M4344,Unknown,38.84457821666531,-77.06118131784704,D24HourMean,Annually,Mean,0.00295
M4345,Unknown,38.84556057260918,-77.00476090971739,D24HourMean,Annually,Mean,0.00322
M4346,Unknown,38.846515695663285,-76.94833778677416,D24HourMean,Annually,Mean,0.00358
M4347,Unknown,38.84744358193647,-76.89191202520395,D24HourMean,Annually,Mean,0.00381
M4348,Unknown,38.8483442276482,-76.83548370121582,D24HourMean,Annually,Mean,0.00348
M4349,Unknown,38.849217629128624,-76.77905289104065,D24HourMean,Annually,Mean,0.004
M4350,Unknown,38.85006378281861,-76.72261967093038,D24HourMean,Annually,Mean,0.00443
M4351,Unknown,38.850882685269774,-76.66618411715757,D24HourMean,Annually,Mean,0.00456
M4352,Unknown,38.851674333144544,-76.60974630601454,D24HourMean,Annually,Mean,0.00659
M4353,Unknown,38.85243872321618,-76.55330631381291,D24HourMean,Annually,Mean,0.00557
M4354,Unknown,38.85317585236882,-76.49686421688283,D24HourMean,Annually,Mean,0.00477
M4355,Unknown,38.85388571759751,-76.44042009157235,D24HourMean,Annually,Mean,0.00503
M4356,Unknown,38.85456831600825,-76.38397401424685,D24HourMean,Annually,Mean,0.00504
M4357,Unknown,38.85522364481801,-76.32752606128825,D24HourMean,Annually,Mean,0.00525
M4358,Unknown,38.85585170135481,-76.27107630909454,D24HourMean,Annually,Mean,0.00535
M4359,Unknown,38.856452483057666,-76.21462483407898,D24HourMean,Annually,Mean,0.00602
M4360,Unknown,38.85702598747669,-76.15817171266947,D24HourMean,Annually,Mean,0.0057
M4361,Unknown,38.857572212273126,-76.10171702130805,D24HourMean,Annually,Mean,0.00565
M4362,Unknown,38.8580911552193,-76.04526083645001,D24HourMean,Annually,Mean,0.0055
M4363,Unknown,38.85858281419873,-75.98880323456348,D24HourMean,Annually,Mean,0.00528
M4364,Unknown,38.887618507774214,-77.11890665123589,D24HourMean,Annually,Mean,0.00299
M4365,Unknown,38.88862967233266,-77.06245425459048,D24HourMean,Annually,Mean,0.00311
M4366,Unknown,38.88961356543991,-77.00599906030571,D24HourMean,Annually,Mean,0.00343
M4367,Unknown,38.890570183084435,-76.94954114472637,D24HourMean,Annually,Mean,0.0038
M4368,Unknown,38.891499521365624,-76.89308058422048,D24HourMean,Annually,Mean,0.00428
M4369,Unknown,38.89240157649369,-76.83661745517855,D24HourMean,Annually,Mean,0.00439
M4370,Unknown,38.89327634478985,-76.78015183401303,D24HourMean,Annually,Mean,0.00418
M4371,Unknown,38.89412382268628,-76.72368379715756,D24HourMean,Annually,Mean,0.00521
M4372,Unknown,38.89494400672622,-76.66721342106644,D24HourMean,Annually,Mean,0.00516
M4373,Unknown,38.89573689356391,-76.61074078221384,D24HourMean,Annually,Mean,0.00777
M4374,Unknown,38.89650247996477,-76.55426595709328,D24HourMean,Annually,Mean,0.00673
M4375,Unknown,38.89724076280531,-76.49778902221692,D24HourMean,Annually,Mean,0.00562
M4376,Unknown,38.89795173907328,-76.44131005411491,D24HourMean,Annually,Mean,0.00626
M4377,Unknown,38.8986354058676,-76.38482912933472,D24HourMean,Annually,Mean,0.00599
M4378,Unknown,38.89929176039847,-76.32834632444056,D24HourMean,Annually,Mean,0.00648
M4379,Unknown,38.89992079998734,-76.27186171601267,D24HourMean,Annually,Mean,0.00718
M4380,Unknown,38.900522522067035,-76.21537538064663,D24HourMean,Annually,Mean,0.00696
M4381,Unknown,38.90109692418167,-76.15888739495284,D24HourMean,Annually,Mean,0.00687
M4382,Unknown,38.901644003986775,-76.10239783555573,D24HourMean,Annually,Mean,0.00667
M4383,Unknown,38.90216375924924,-76.04590677909319,D24HourMean,Annually,Mean,0.00631
M4384,Unknown,38.90265618784742,-75.98941430221588,D24HourMean,Annually,Mean,0.00554
M4385,Unknown,38.93166801333384,-77.12021723232786,D24HourMean,Annually,Mean,0.00336
M4386,Unknown,38.9326807595432,-77.06372998011044,D24HourMean,Annually,Mean,0.00359
M4387,Unknown,38.9336661916865,-77.0072399235676,D24HourMean,Annually,Mean,0.00374
M4388,Unknown,38.93462430574247,-76.95074713922611,D24HourMean,Annually,Mean,0.0041
M4389,Unknown,38.93555509780094,-76.89425170363599,D24HourMean,Annually,Mean,0.00461
M4390,Unknown,38.936458564062924,-76.8377536933699,D24HourMean,Annually,Mean,0.00527
M4391,Unknown,38.93733470084065,-76.7812531850225,D24HourMean,Annually,Mean,0.00509
M4392,Unknown,38.938183504557585,-76.7247502552098,D24HourMean,Annually,Mean,0.0057
M4393,Unknown,38.939004971748496,-76.6682449805684,D24HourMean,Annually,Mean,0.0063
M4394,Unknown,38.939799099059535,-76.61173743775505,D24HourMean,Annually,Mean,0.009
M4395,Unknown,38.94056588324816,-76.55522770344581,D24HourMean,Annually,Mean,0.0084
M4396,Unknown,38.94130532118331,-76.49871585433547,D24HourMean,Annually,Mean,0.00686
M4397,Unknown,38.942017409845356,-76.44220196713691,D24HourMean,Annually,Mean,0.00778
M4398,Unknown,38.94270214632613,-76.38568611858042,D24HourMean,Annually,Mean,0.00791
M4399,Unknown,38.94335952782903,-76.32916838541307,D24HourMean,Annually,Mean,0.00852
M4400,Unknown,38.943989551668984,-76.272648844398,D24HourMean,Annually,Mean,0.00884
M4401,Unknown,38.944592215272536,-76.21612757231387,D24HourMean,Annually,Mean,0.00861
M4402,Unknown,38.94516751617779,-76.15960464595408,D24HourMean,Annually,Mean,0.00834
M4403,Unknown,38.94571545203456,-76.1030801421262,D24HourMean,Annually,Mean,0.00766
M4404,Unknown,38.94623602060432,-76.0465541376513,D24HourMean,Annually,Mean,0.00643
M4405,Unknown,38.94672921976019,-75.9900267093633,D24HourMean,Annually,Mean,0.00556
M4406,Unknown,38.97571714830128,-77.12153068512166,D24HourMean,Annually,Mean,0.00383
M4407,Unknown,38.97673147809131,-77.06500850107177,D24HourMean,Annually,Mean,0.0041
M4408,Unknown,38.97771845114867,-77.00848350598658,D24HourMean,Annually,Mean,0.00439
M4409,Unknown,38.978678063442246,-76.95195577657539,D24HourMean,Annually,Mean,0.00469
M4410,Unknown,38.979610311052326,-76.89542538957097,D24HourMean,Annually,Mean,0.00509
M4411,Unknown,38.98051519017068,-76.83889242172873,D24HourMean,Annually,Mean,0.00581
M4412,Unknown,38.9813926971005,-76.78235694982621,D24HourMean,Annually,Mean,0.00673
M4413,Unknown,38.982242828256545,-76.72581905066234,D24HourMean,Annually,Mean,0.00624
M4414,Unknown,38.98306558016513,-76.66927880105685,D24HourMean,Annually,Mean,0.00813
M4415,Unknown,38.98386094946419,-76.61273627784958,D24HourMean,Annually,Mean,0.01004
M4416,Unknown,38.98462893290329,-76.55619155789981,D24HourMean,Annually,Mean,0.01095
M4417,Unknown,38.98536952734373,-76.49964471808565,D24HourMean,Annually,Mean,0.00901
M4418,Unknown,38.98608272975846,-76.44309583530334,D24HourMean,Annually,Mean,0.00976
M4419,Unknown,38.98676853723227,-76.38654498646662,D24HourMean,Annually,Mean,0.01068
M4420,Unknown,38.98742694696169,-76.32999224850607,D24HourMean,Annually,Mean,0.01181
M4421,Unknown,38.98805795625511,-76.27343769836847,D24HourMean,Annually,Mean,0.01129
M4422,Unknown,38.98866156253277,-76.21688141301607,D24HourMean,Annually,Mean,0.01084
M4423,Unknown,38.98923776332679,-76.16032346942602,D24HourMean,Annually,Mean,0.00943
M4424,Unknown,38.989786556281224,-76.10376394458969,D24HourMean,Annually,Mean,0.0077
