MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M4701,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.05196
M4702,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.07224
M4703,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.1144
M4704,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.08488
M4705,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.08168
M4706,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.19072
M4707,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.1904
M4708,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.14708
M4709,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.14846
M4710,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.22655
M4711,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.16685
M4712,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.16695
M4713,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.1438
M4714,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.18232
M4715,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.14262
M4716,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.14612
M4717,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.15347
M4718,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.1395
M4719,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.10902
M4720,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.11684
M4721,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.11469
