MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M5001,Unknown,38.75444667019231,-77.11713859770914,D24HourMean,Annually,Mean,0.0315
M5002,Unknown,38.75546343239204,-77.06026281395636,D24HourMean,Annually,Mean,0.04433
M5003,Unknown,38.75645254032109,-77.00338419803576,D24HourMean,Annually,Mean,0.068
M5004,Unknown,38.75741398988154,-76.94650282789799,D24HourMean,Annually,Mean,0.06101
M5005,Unknown,38.758347777089654,-76.88961878151738,D24HourMean,Annually,Mean,0.04759
M5006,Unknown,38.759253898075976,-76.83273213689142,D24HourMean,Annually,Mean,0.15181
M5007,Unknown,38.76013234908539,-76.77584297204004,D24HourMean,Annually,Mean,0.14147
M5008,Unknown,38.760983126477136,-76.71895136500487,D24HourMean,Annually,Mean,0.08444
M5009,Unknown,38.76180622672487,-76.66205739384871,D24HourMean,Annually,Mean,0.0972
M5010,Unknown,38.7626016464167,-76.60516113665476,D24HourMean,Annually,Mean,0.16194
M5011,Unknown,38.763369382255206,-76.54826267152596,D24HourMean,Annually,Mean,0.10738
M5012,Unknown,38.76410943105752,-76.49136207658435,D24HourMean,Annually,Mean,0.10333
M5013,Unknown,38.76482178975535,-76.43445942997033,D24HourMean,Annually,Mean,0.08818
M5014,Unknown,38.765506455394984,-76.37755480984211,D24HourMean,Annually,Mean,0.11132
M5015,Unknown,38.76616342513737,-76.32064829437488,D24HourMean,Annually,Mean,0.07857
M5016,Unknown,38.76679269625813,-76.2637399617603,D24HourMean,Annually,Mean,0.08823
M5017,Unknown,38.767394266147576,-76.20682989020563,D24HourMean,Annually,Mean,0.08705
M5018,Unknown,38.76796813231078,-76.14991815793327,D24HourMean,Annually,Mean,0.08225
M5019,Unknown,38.76851429236756,-76.09300484317994,D24HourMean,Annually,Mean,0.07033
M5020,Unknown,38.76903274405256,-76.03609002419606,D24HourMean,Annually,Mean,0.07287
M5021,Unknown,38.769523485215196,-75.97917377924504,D24HourMean,Annually,Mean,0.06641
M5022,Unknown,38.79856765577681,-77.11844396381369,D24HourMean,Annually,Mean,0.062330000000000003
M5023,Unknown,38.79958601260516,-77.06153317347743,D24HourMean,Annually,Mean,0.03553
M5024,Unknown,38.80057667183475,-77.00461954421802,D24HourMean,Annually,Mean,0.0508
M5025,Unknown,38.801539629357606,-76.94770315417149,D24HourMean,Annually,Mean,0.11023
M5026,Unknown,38.8024748811803,-76.89078408149771,D24HourMean,Annually,Mean,0.05442
M5027,Unknown,38.80338242342397,-76.83386240437976,D24HourMean,Annually,Mean,0.14238
M5028,Unknown,38.804262252324285,-76.77693820102324,D24HourMean,Annually,Mean,0.16763
M5029,Unknown,38.80511436423163,-76.72001154965561,D24HourMean,Annually,Mean,0.16298
M5030,Unknown,38.805938755611045,-76.66308252852554,D24HourMean,Annually,Mean,0.12205
M5031,Unknown,38.80673542304231,-76.60615121590216,D24HourMean,Annually,Mean,0.18484
M5032,Unknown,38.80750436321994,-76.5492176900745,D24HourMean,Annually,Mean,0.12618
M5033,Unknown,38.808245572953346,-76.49228202935069,D24HourMean,Annually,Mean,0.13769
M5034,Unknown,38.80895904916671,-76.4353443120574,D24HourMean,Annually,Mean,0.12408
M5035,Unknown,38.809644788899114,-76.37840461653904,D24HourMean,Annually,Mean,0.12788
M5036,Unknown,38.81030278930458,-76.32146302115723,D24HourMean,Annually,Mean,0.11314
M5037,Unknown,38.810933047652064,-76.26451960428999,D24HourMean,Annually,Mean,0.10886
M5038,Unknown,38.811535561325535,-76.20757444433114,D24HourMean,Annually,Mean,0.1051
M5039,Unknown,38.81211032782395,-76.1506276196896,D24HourMean,Annually,Mean,0.086
M5040,Unknown,38.81265734476133,-76.09367920878871,D24HourMean,Annually,Mean,0.08177
M5041,Unknown,38.81317660986675,-76.03672929006555,D24HourMean,Annually,Mean,0.08417
M5042,Unknown,38.813668120984445,-75.97977794197028,D24HourMean,Annually,Mean,0.07489
M5043,Unknown,38.842688270149026,-77.11975219306976,D24HourMean,Annually,Mean,0.07864
M5044,Unknown,38.84370822354525,-77.06280631948141,D24HourMean,Annually,Mean,0.05401
M5045,Unknown,38.84470043596211,-77.00585760019052,D24HourMean,Annually,Mean,0.04673
M5046,Unknown,38.84566490328164,-76.94890611351914,D24HourMean,Annually,Mean,0.07428
M5047,Unknown,38.84660162150064,-76.8919519378133,D24HourMean,Annually,Mean,0.1498
M5048,Unknown,38.847510586730756,-76.83499515144236,D24HourMean,Annually,Mean,0.06396
M5049,Unknown,38.848391795198516,-76.77803583279822,D24HourMean,Annually,Mean,0.15961
M5050,Unknown,38.84924524324536,-76.7210740602949,D24HourMean,Annually,Mean,0.17296
M5051,Unknown,38.85007092732772,-76.6641099123675,D24HourMean,Annually,Mean,0.14798
M5052,Unknown,38.850868844017,-76.60714346747186,D24HourMean,Annually,Mean,0.1807
M5053,Unknown,38.85163898999967,-76.55017480408365,D24HourMean,Annually,Mean,0.15142
M5054,Unknown,38.85238136207733,-76.49320400069786,D24HourMean,Annually,Mean,0.17316
M5055,Unknown,38.85309595716665,-76.436231135828,D24HourMean,Annually,Mean,0.15987
M5056,Unknown,38.8537827722995,-76.37925628800542,D24HourMean,Annually,Mean,0.13974
M5057,Unknown,38.85444180462292,-76.32227953577878,D24HourMean,Annually,Mean,0.12554
M5058,Unknown,38.85507305139923,-76.26530095771317,D24HourMean,Annually,Mean,0.11995
M5059,Unknown,38.85567651000597,-76.20832063238957,D24HourMean,Annually,Mean,0.11767
M5060,Unknown,38.85625217793603,-76.15133863840414,D24HourMean,Annually,Mean,0.10557
M5061,Unknown,38.85680005279756,-76.09435505436747,D24HourMean,Annually,Mean,0.09513
M5062,Unknown,38.857320132314136,-76.037369958904,D24HourMean,Annually,Mean,0.09163
M5063,Unknown,38.85781241432468,-75.98038343065129,D24HourMean,Annually,Mean,0.09219
M5064,Unknown,38.88680851309576,-77.12106329231408,D24HourMean,Annually,Mean,0.08203
M5065,Unknown,38.8878300650046,-77.06408225862256,D24HourMean,Annually,Mean,0.057
M5066,Unknown,38.888823832500854,-77.00709837242486,D24HourMean,Annually,Mean,0.07247
M5067,Unknown,38.889789811456495,-76.9501117122298,D24HourMean,Annually,Mean,0.05894
M5068,Unknown,38.89072799785855,-76.89312235657019,D24HourMean,Annually,Mean,0.10751
M5069,Unknown,38.891638387809174,-76.83613038400229,D24HourMean,Annually,Mean,0.12138
M5070,Unknown,38.892520977525656,-76.77913587310513,D24HourMean,Annually,Mean,0.15447
M5071,Unknown,38.89337576334052,-76.72213890247973,D24HourMean,Annually,Mean,0.2469
M5072,Unknown,38.89420274170155,-76.66513955074845,D24HourMean,Annually,Mean,0.11775
M5073,Unknown,38.89500190917173,-76.60813789655442,D24HourMean,Annually,Mean,0.25108
M5074,Unknown,38.89577326242951,-76.5511340185607,D24HourMean,Annually,Mean,0.20291
M5075,Unknown,38.8965167982686,-76.49412799544969,D24HourMean,Annually,Mean,0.19711
M5076,Unknown,38.89723251359816,-76.43711990592246,D24HourMean,Annually,Mean,0.18334
M5077,Unknown,38.897920405442825,-76.38010982869802,D24HourMean,Annually,Mean,0.14292
