MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M5201,Unknown,38.75444667019231,-77.11713859770914,D24HourMean,Annually,Mean,3.8e-4
M5202,Unknown,38.75546343239204,-77.06026281395636,D24HourMean,Annually,Mean,4e-4
M5203,Unknown,38.75645254032109,-77.00338419803576,D24HourMean,Annually,Mean,4.7e-4
M5204,Unknown,38.75741398988154,-76.94650282789799,D24HourMean,Annually,Mean,4.1e-4
M5205,Unknown,38.758347777089654,-76.88961878151738,D24HourMean,Annually,Mean,3.6e-4
M5206,Unknown,38.759253898075976,-76.83273213689142,D24HourMean,Annually,Mean,4.4e-4
M5207,Unknown,38.76013234908539,-76.77584297204004,D24HourMean,Annually,Mean,5e-4
M5208,Unknown,38.760983126477136,-76.71895136500487,D24HourMean,Annually,Mean,5e-4
M5209,Unknown,38.76180622672487,-76.66205739384871,D24HourMean,Annually,Mean,6.7e-4
M5210,Unknown,38.7626016464167,-76.60516113665476,D24HourMean,Annually,Mean,7.5e-4
M5211,Unknown,38.763369382255206,-76.54826267152596,D24HourMean,Annually,Mean,6.5e-4
M5212,Unknown,38.76410943105752,-76.49136207658435,D24HourMean,Annually,Mean,5.8e-4
M5213,Unknown,38.76482178975535,-76.43445942997033,D24HourMean,Annually,Mean,5.6e-4
M5214,Unknown,38.765506455394984,-76.37755480984211,D24HourMean,Annually,Mean,6.1e-4
M5215,Unknown,38.76616342513737,-76.32064829437488,D24HourMean,Annually,Mean,5.8e-4
M5216,Unknown,38.76679269625813,-76.2637399617603,D24HourMean,Annually,Mean,6.2e-4
M5217,Unknown,38.767394266147576,-76.20682989020563,D24HourMean,Annually,Mean,6.2e-4
M5218,Unknown,38.76796813231078,-76.14991815793327,D24HourMean,Annually,Mean,6.8e-4
M5219,Unknown,38.76851429236756,-76.09300484317994,D24HourMean,Annually,Mean,6.8e-4
M5220,Unknown,38.76903274405256,-76.03609002419606,D24HourMean,Annually,Mean,6.5e-4
M5221,Unknown,38.769523485215196,-75.97917377924504,D24HourMean,Annually,Mean,6.5e-4
M5222,Unknown,38.79856765577681,-77.11844396381369,D24HourMean,Annually,Mean,3.9e-4
M5223,Unknown,38.79958601260516,-77.06153317347743,D24HourMean,Annually,Mean,4.5e-4
M5224,Unknown,38.80057667183475,-77.00461954421802,D24HourMean,Annually,Mean,4.5e-4
M5225,Unknown,38.801539629357606,-76.94770315417149,D24HourMean,Annually,Mean,5.1e-4
M5226,Unknown,38.8024748811803,-76.89078408149771,D24HourMean,Annually,Mean,4.2e-4
M5227,Unknown,38.80338242342397,-76.83386240437976,D24HourMean,Annually,Mean,4.3e-4
M5228,Unknown,38.804262252324285,-76.77693820102324,D24HourMean,Annually,Mean,5.5e-4
M5229,Unknown,38.80511436423163,-76.72001154965561,D24HourMean,Annually,Mean,5.6e-4
