MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M5301,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.00142
M5302,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.00198
M5303,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.00306
M5304,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.00279
M5305,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.00215
M5306,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.00681
M5307,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.00645
M5308,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.00405
M5309,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.00401
M5310,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.00722
M5311,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.00446
M5312,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.00445
M5313,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.00382
M5314,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.00484
M5315,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.00381
M5316,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.00391
M5317,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.00408
M5318,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.0037
M5319,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.00292
M5320,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.0033
M5321,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.00305
M5322,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.00273
M5323,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.00159
M5324,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.00228
M5325,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.00487
M5326,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.00244
M5327,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.00623
M5328,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.0073
M5329,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.00757
M5330,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.00577
M5331,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.00764
M5332,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.00522
M5333,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.00579
M5334,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.00534
M5335,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.00587
M5336,Unknown,38.811155181236344,-76.32670759167117,D24HourMean,Annually,Mean,0.00467
M5337,Unknown,38.811782255916654,-76.27029261954044,D24HourMean,Annually,Mean,0.00504
M5338,Unknown,38.812382098386436,-76.21387592868949,D24HourMean,Annually,Mean,0.00464
M5339,Unknown,38.81295470620179,-76.15745759536449,D24HourMean,Annually,Mean,0.00419
M5340,Unknown,38.81350007702962,-76.10103769582558,D24HourMean,Annually,Mean,0.00392
M5341,Unknown,38.8140182086477,-76.04461630634626,D24HourMean,Annually,Mean,0.00379
M5342,Unknown,38.81450909894468,-75.98819350321263,D24HourMean,Annually,Mean,0.00368
M5343,Unknown,38.84356863183343,-77.11759893499962,D24HourMean,Annually,Mean,0.00354
M5344,Unknown,38.84457821666531,-77.06118131784704,D24HourMean,Annually,Mean,0.00244
M5345,Unknown,38.84556057260918,-77.00476090971739,D24HourMean,Annually,Mean,0.00211
M5346,Unknown,38.846515695663285,-76.94833778677416,D24HourMean,Annually,Mean,0.00327
M5347,Unknown,38.84744358193647,-76.89191202520395,D24HourMean,Annually,Mean,0.00679
M5348,Unknown,38.8483442276482,-76.83548370121582,D24HourMean,Annually,Mean,0.00287
M5349,Unknown,38.849217629128624,-76.77905289104065,D24HourMean,Annually,Mean,0.00769
M5350,Unknown,38.85006378281861,-76.72261967093038,D24HourMean,Annually,Mean,0.00808
M5351,Unknown,38.850882685269774,-76.66618411715757,D24HourMean,Annually,Mean,0.00665
M5352,Unknown,38.851674333144544,-76.60974630601454,D24HourMean,Annually,Mean,0.00833
M5353,Unknown,38.85243872321618,-76.55330631381291,D24HourMean,Annually,Mean,0.00626
M5354,Unknown,38.85317585236882,-76.49686421688283,D24HourMean,Annually,Mean,0.00765
M5355,Unknown,38.85388571759751,-76.44042009157235,D24HourMean,Annually,Mean,0.00708
M5356,Unknown,38.85456831600825,-76.38397401424685,D24HourMean,Annually,Mean,0.00647
M5357,Unknown,38.85522364481801,-76.32752606128825,D24HourMean,Annually,Mean,0.00569
M5358,Unknown,38.85585170135481,-76.27107630909454,D24HourMean,Annually,Mean,0.00541
M5359,Unknown,38.856452483057666,-76.21462483407898,D24HourMean,Annually,Mean,0.00528
M5360,Unknown,38.85702598747669,-76.15817171266947,D24HourMean,Annually,Mean,0.00487
M5361,Unknown,38.857572212273126,-76.10171702130805,D24HourMean,Annually,Mean,0.00435
M5362,Unknown,38.8580911552193,-76.04526083645001,D24HourMean,Annually,Mean,0.00465
M5363,Unknown,38.85858281419873,-75.98880323456348,D24HourMean,Annually,Mean,0.00388
M5364,Unknown,38.887618507774214,-77.11890665123589,D24HourMean,Annually,Mean,0.00369
M5365,Unknown,38.88862967233266,-77.06245425459048,D24HourMean,Annually,Mean,0.00256
M5366,Unknown,38.88961356543991,-77.00599906030571,D24HourMean,Annually,Mean,0.00328
M5367,Unknown,38.890570183084435,-76.94954114472637,D24HourMean,Annually,Mean,0.00272
