MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M5901,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.05196
M5902,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.07224
M5903,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.1144
M5904,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.08488
M5905,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.08168
M5906,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.19072
M5907,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.1904
M5908,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.14708
M5909,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.14846
M5910,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.22655
M5911,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.16685
M5912,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.16695
M5913,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.1438
M5914,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.18232
M5915,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.14262
M5916,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.14612
M5917,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.15347
M5918,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.1395
M5919,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.10902
M5920,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.11684
M5921,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.11469
M5922,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.07933
M5923,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.05881
M5924,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.08239
M5925,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.15399
M5926,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.08725
M5927,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.18408
M5928,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.22039
M5929,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.23003
M5930,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.17803
M5931,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.2437
M5932,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.19516
M5933,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.21736
M5934,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.20085
M5935,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.22155
