MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M6201,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.06283
M6202,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.08734
M6203,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.13832
M6204,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.10262
M6205,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.09875
M6206,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.23059
M6207,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.23021
M6208,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.17784
M6209,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.17951
M6210,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.27392
M6211,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.20173
M6212,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.20185
M6213,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.17387
M6214,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.22044
M6215,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.17245
M6216,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.17667
M6217,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.18556
M6218,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.16867
M6219,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.13182
M6220,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.14126
M6221,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.13867
M6222,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.09592
M6223,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.07111
M6224,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.09962
M6225,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.18619
M6226,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.10549
M6227,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.22257
M6228,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.26647
M6229,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.27813
M6230,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.21525
M6231,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.29466
M6232,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.23596
M6233,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.26281
M6234,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.24285
M6235,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.26787
M6236,Unknown,38.811155181236344,-76.32670759167117,D24HourMean,Annually,Mean,0.21144
M6237,Unknown,38.811782255916654,-76.27029261954044,D24HourMean,Annually,Mean,0.22915
M6238,Unknown,38.812382098386436,-76.21387592868949,D24HourMean,Annually,Mean,0.21148
M6239,Unknown,38.81295470620179,-76.15745759536449,D24HourMean,Annually,Mean,0.19022
M6240,Unknown,38.81350007702962,-76.10103769582558,D24HourMean,Annually,Mean,0.17836
M6241,Unknown,38.8140182086477,-76.04461630634626,D24HourMean,Annually,Mean,0.16424
M6242,Unknown,38.81450909894468,-75.98819350321263,D24HourMean,Annually,Mean,0.15612
M6243,Unknown,38.84356863183343,-77.11759893499962,D24HourMean,Annually,Mean,0.11042
M6244,Unknown,38.84457821666531,-77.06118131784704,D24HourMean,Annually,Mean,0.11083
M6245,Unknown,38.84556057260918,-77.00476090971739,D24HourMean,Annually,Mean,0.08938
M6246,Unknown,38.846515695663285,-76.94833778677416,D24HourMean,Annually,Mean,0.13567
M6247,Unknown,38.84744358193647,-76.89191202520395,D24HourMean,Annually,Mean,0.22661
M6248,Unknown,38.8483442276482,-76.83548370121582,D24HourMean,Annually,Mean,0.11651
M6249,Unknown,38.849217629128624,-76.77905289104065,D24HourMean,Annually,Mean,0.32253
M6250,Unknown,38.85006378281861,-76.72261967093038,D24HourMean,Annually,Mean,0.31637
M6251,Unknown,38.850882685269774,-76.66618411715757,D24HourMean,Annually,Mean,0.25513
M6252,Unknown,38.851674333144544,-76.60974630601454,D24HourMean,Annually,Mean,0.32307
M6253,Unknown,38.85243872321618,-76.55330631381291,D24HourMean,Annually,Mean,0.27995
M6254,Unknown,38.85317585236882,-76.49686421688283,D24HourMean,Annually,Mean,0.34903
M6255,Unknown,38.85388571759751,-76.44042009157235,D24HourMean,Annually,Mean,0.32286
M6256,Unknown,38.85456831600825,-76.38397401424685,D24HourMean,Annually,Mean,0.29587
M6257,Unknown,38.85522364481801,-76.32752606128825,D24HourMean,Annually,Mean,0.25812
M6258,Unknown,38.85585170135481,-76.27107630909454,D24HourMean,Annually,Mean,0.24696
M6259,Unknown,38.856452483057666,-76.21462483407898,D24HourMean,Annually,Mean,0.24108
M6260,Unknown,38.85702598747669,-76.15817171266947,D24HourMean,Annually,Mean,0.22204
M6261,Unknown,38.857572212273126,-76.10171702130805,D24HourMean,Annually,Mean,0.19771
M6262,Unknown,38.8580911552193,-76.04526083645001,D24HourMean,Annually,Mean,0.18496
M6263,Unknown,38.85858281419873,-75.98880323456348,D24HourMean,Annually,Mean,0.16134
M6264,Unknown,38.887618507774214,-77.11890665123589,D24HourMean,Annually,Mean,0.13536
M6265,Unknown,38.88862967233266,-77.06245425459048,D24HourMean,Annually,Mean,0.1162
M6266,Unknown,38.88961356543991,-77.00599906030571,D24HourMean,Annually,Mean,0.13069
M6267,Unknown,38.890570183084435,-76.94954114472637,D24HourMean,Annually,Mean,0.11499
M6268,Unknown,38.891499521365624,-76.89308058422048,D24HourMean,Annually,Mean,0.18703
M6269,Unknown,38.89240157649369,-76.83661745517855,D24HourMean,Annually,Mean,0.22917
M6270,Unknown,38.89327634478985,-76.78015183401303,D24HourMean,Annually,Mean,0.27235
M6271,Unknown,38.89412382268628,-76.72368379715756,D24HourMean,Annually,Mean,0.40597
M6272,Unknown,38.89494400672622,-76.66721342106644,D24HourMean,Annually,Mean,0.26832
M6273,Unknown,38.89573689356391,-76.61074078221384,D24HourMean,Annually,Mean,0.44052
M6274,Unknown,38.89650247996477,-76.55426595709328,D24HourMean,Annually,Mean,0.33801
M6275,Unknown,38.89724076280531,-76.49778902221692,D24HourMean,Annually,Mean,0.42526
M6276,Unknown,38.89795173907328,-76.44131005411491,D24HourMean,Annually,Mean,0.39613
M6277,Unknown,38.8986354058676,-76.38482912933472,D24HourMean,Annually,Mean,0.24837
M6278,Unknown,38.89929176039847,-76.32834632444056,D24HourMean,Annually,Mean,0.33289
M6279,Unknown,38.89992079998734,-76.27186171601267,D24HourMean,Annually,Mean,0.29594
M6280,Unknown,38.900522522067035,-76.21537538064663,D24HourMean,Annually,Mean,0.26943
M6281,Unknown,38.90109692418167,-76.15888739495284,D24HourMean,Annually,Mean,0.24292
M6282,Unknown,38.901644003986775,-76.10239783555573,D24HourMean,Annually,Mean,0.21599
M6283,Unknown,38.90216375924924,-76.04590677909319,D24HourMean,Annually,Mean,0.20451
M6284,Unknown,38.90265618784742,-75.98941430221588,D24HourMean,Annually,Mean,0.18356
M6285,Unknown,38.93166801333384,-77.12021723232786,D24HourMean,Annually,Mean,0.12236
M6286,Unknown,38.9326807595432,-77.06372998011044,D24HourMean,Annually,Mean,0.20369
M6287,Unknown,38.9336661916865,-77.0072399235676,D24HourMean,Annually,Mean,0.11364
M6288,Unknown,38.93462430574247,-76.95074713922611,D24HourMean,Annually,Mean,0.18178
M6289,Unknown,38.93555509780094,-76.89425170363599,D24HourMean,Annually,Mean,0.15244
M6290,Unknown,38.936458564062924,-76.8377536933699,D24HourMean,Annually,Mean,0.25758
M6291,Unknown,38.93733470084065,-76.7812531850225,D24HourMean,Annually,Mean,0.19755
M6292,Unknown,38.938183504557585,-76.7247502552098,D24HourMean,Annually,Mean,0.48597
M6293,Unknown,38.939004971748496,-76.6682449805684,D24HourMean,Annually,Mean,0.49091
M6294,Unknown,38.939799099059535,-76.61173743775505,D24HourMean,Annually,Mean,0.55388
M6295,Unknown,38.94056588324816,-76.55522770344581,D24HourMean,Annually,Mean,0.42489
M6296,Unknown,38.94130532118331,-76.49871585433547,D24HourMean,Annually,Mean,0.47995
M6297,Unknown,38.942017409845356,-76.44220196713691,D24HourMean,Annually,Mean,0.48652
M6298,Unknown,38.94270214632613,-76.38568611858042,D24HourMean,Annually,Mean,0.41193
M6299,Unknown,38.94335952782903,-76.32916838541307,D24HourMean,Annually,Mean,0.38715
M6300,Unknown,38.943989551668984,-76.272648844398,D24HourMean,Annually,Mean,0.34418
M6301,Unknown,38.944592215272536,-76.21612757231387,D24HourMean,Annually,Mean,0.30657
M6302,Unknown,38.94516751617779,-76.15960464595408,D24HourMean,Annually,Mean,0.26564
M6303,Unknown,38.94571545203456,-76.1030801421262,D24HourMean,Annually,Mean,0.24437
M6304,Unknown,38.94623602060432,-76.0465541376513,D24HourMean,Annually,Mean,0.2185
M6305,Unknown,38.94672921976019,-75.9900267093633,D24HourMean,Annually,Mean,0.17597
M6306,Unknown,38.97571714830128,-77.12153068512166,D24HourMean,Annually,Mean,0.18044
M6307,Unknown,38.97673147809131,-77.06500850107177,D24HourMean,Annually,Mean,0.17906
M6308,Unknown,38.97771845114867,-77.00848350598658,D24HourMean,Annually,Mean,0.20502
M6309,Unknown,38.978678063442246,-76.95195577657539,D24HourMean,Annually,Mean,0.21782
M6310,Unknown,38.979610311052326,-76.89542538957097,D24HourMean,Annually,Mean,0.2456
M6311,Unknown,38.98051519017068,-76.83889242172873,D24HourMean,Annually,Mean,0.21039
M6312,Unknown,38.9813926971005,-76.78235694982621,D24HourMean,Annually,Mean,0.37638
M6313,Unknown,38.982242828256545,-76.72581905066234,D24HourMean,Annually,Mean,0.27419
M6314,Unknown,38.98306558016513,-76.66927880105685,D24HourMean,Annually,Mean,0.61462
M6315,Unknown,38.98386094946419,-76.61273627784958,D24HourMean,Annually,Mean,0.47195
M6316,Unknown,38.98462893290329,-76.55619155789981,D24HourMean,Annually,Mean,0.56026
M6317,Unknown,38.98536952734373,-76.49964471808565,D24HourMean,Annually,Mean,0.47116
M6318,Unknown,38.98608272975846,-76.44309583530334,D24HourMean,Annually,Mean,0.52905
M6319,Unknown,38.98676853723227,-76.38654498646662,D24HourMean,Annually,Mean,0.54453
M6320,Unknown,38.98742694696169,-76.32999224850607,D24HourMean,Annually,Mean,0.42313
M6321,Unknown,38.98805795625511,-76.27343769836847,D24HourMean,Annually,Mean,0.40377999999999997
M6322,Unknown,38.98866156253277,-76.21688141301607,D24HourMean,Annually,Mean,0.35597
M6323,Unknown,38.98923776332679,-76.16032346942602,D24HourMean,Annually,Mean,0.30543
M6324,Unknown,38.989786556281224,-76.10376394458969,D24HourMean,Annually,Mean,0.26888
M6325,Unknown,38.99030793915205,-76.04720291551195,D24HourMean,Annually,Mean,0.22836
M6326,Unknown,38.99080190980726,-75.99064045921061,D24HourMean,Annually,Mean,0.19676
M6327,Unknown,39.01976591246592,-77.12284701648787,D24HourMean,Annually,Mean,0.20112
M6328,Unknown,39.02078182777187,-77.06628982416314,D24HourMean,Annually,Mean,0.19813
M6329,Unknown,39.021770343626585,-77.00972981406925,D24HourMean,Annually,Mean,0.25115
M6330,Unknown,39.02273145598912,-76.95316706309877,D24HourMean,Annually,Mean,0.24663
M6331,Unknown,39.02366516093018,-76.89660164816775,D24HourMean,Annually,Mean,0.37293
M6332,Unknown,39.02457145463222,-76.84003364621505,D24HourMean,Annually,Mean,0.30549
M6333,Unknown,39.025450333389436,-76.78346313420175,D24HourMean,Annually,Mean,0.30737
M6334,Unknown,39.02630179360781,-76.72689018911038,D24HourMean,Annually,Mean,0.63138
M6335,Unknown,39.027125831805165,-76.67031488794439,D24HourMean,Annually,Mean,0.82764
M6336,Unknown,39.02792244461124,-76.61373730772739,D24HourMean,Annually,Mean,0.63818
M6337,Unknown,39.02869162876767,-76.55715752550255,D24HourMean,Annually,Mean,0.77766
M6338,Unknown,39.02943338112805,-76.50057561833191,D24HourMean,Annually,Mean,0.83799
M6339,Unknown,39.03014769865798,-76.44399166329576,D24HourMean,Annually,Mean,0.76824
M6340,Unknown,39.03083457843508,-76.38740573749196,D24HourMean,Annually,Mean,0.67715
M6341,Unknown,39.03149401764908,-76.33081791803524,D24HourMean,Annually,Mean,0.56491
