MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M6601,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.00856
M6602,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.01175
M6603,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.0166
M6604,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.01295
M6605,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.01069
M6606,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.01772
M6607,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.01678
M6608,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.01337
M6609,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.01675
M6610,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.0298
M6611,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.02715
M6612,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.02499
M6613,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.01808
M6614,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.01837
M6615,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.01375
M6616,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.0174
M6617,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.01948
M6618,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.03712
M6619,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.02951
M6620,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.01808
M6621,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.01597
M6622,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.00999
M6623,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.01005
M6624,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.01379
M6625,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.01875
M6626,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.0134
M6627,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.01664
M6628,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.02346
M6629,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.02075
M6630,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.01648
M6631,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.02863
M6632,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.03156
M6633,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.03024
M6634,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.02494
M6635,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.01995
M6636,Unknown,38.811155181236344,-76.32670759167117,D24HourMean,Annually,Mean,0.0168
M6637,Unknown,38.811782255916654,-76.27029261954044,D24HourMean,Annually,Mean,0.02354
M6638,Unknown,38.812382098386436,-76.21387592868949,D24HourMean,Annually,Mean,0.03628
M6639,Unknown,38.81295470620179,-76.15745759536449,D24HourMean,Annually,Mean,0.04257
M6640,Unknown,38.81350007702962,-76.10103769582558,D24HourMean,Annually,Mean,0.02132
M6641,Unknown,38.8140182086477,-76.04461630634626,D24HourMean,Annually,Mean,0.01903
M6642,Unknown,38.81450909894468,-75.98819350321263,D24HourMean,Annually,Mean,0.02379
M6643,Unknown,38.84356863183343,-77.11759893499962,D24HourMean,Annually,Mean,0.01348
M6644,Unknown,38.84457821666531,-77.06118131784704,D24HourMean,Annually,Mean,0.01219
M6645,Unknown,38.84556057260918,-77.00476090971739,D24HourMean,Annually,Mean,0.01202
M6646,Unknown,38.846515695663285,-76.94833778677416,D24HourMean,Annually,Mean,0.01708
M6647,Unknown,38.84744358193647,-76.89191202520395,D24HourMean,Annually,Mean,0.02056
M6648,Unknown,38.8483442276482,-76.83548370121582,D24HourMean,Annually,Mean,0.01477
M6649,Unknown,38.849217629128624,-76.77905289104065,D24HourMean,Annually,Mean,0.02459
M6650,Unknown,38.85006378281861,-76.72261967093038,D24HourMean,Annually,Mean,0.02159
M6651,Unknown,38.850882685269774,-76.66618411715757,D24HourMean,Annually,Mean,0.01703
M6652,Unknown,38.851674333144544,-76.60974630601454,D24HourMean,Annually,Mean,0.03213
M6653,Unknown,38.85243872321618,-76.55330631381291,D24HourMean,Annually,Mean,0.03729
M6654,Unknown,38.85317585236882,-76.49686421688283,D24HourMean,Annually,Mean,0.03553
M6655,Unknown,38.85388571759751,-76.44042009157235,D24HourMean,Annually,Mean,0.02939
