MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M6801,Unknown,38.7554677696548,-77.11499206983126,D24HourMean,Annually,Mean,0.01407
M6802,Unknown,38.75647420078481,-77.0586437841486,D24HourMean,Annually,Mean,0.01755
M6803,Unknown,38.75745348799882,-77.00229272074255,D24HourMean,Annually,Mean,0.02999
M6804,Unknown,38.75840562731454,-76.94593895541594,D24HourMean,Annually,Mean,0.02152
M6805,Unknown,38.759330614859685,-76.88958256399455,D24HourMean,Annually,Mean,0.02652
M6806,Unknown,38.760228446872084,-76.83322362232636,D24HourMean,Annually,Mean,0.0499
M6807,Unknown,38.7610991196997,-76.776862206281,D24HourMean,Annually,Mean,0.05226
M6808,Unknown,38.76194262980068,-76.72049839174905,D24HourMean,Annually,Mean,0.05176
M6809,Unknown,38.7627589737434,-76.66413225464142,D24HourMean,Annually,Mean,0.04348
M6810,Unknown,38.763548148206496,-76.60776387088877,D24HourMean,Annually,Mean,0.06558
M6811,Unknown,38.7643101499789,-76.55139331644077,D24HourMean,Annually,Mean,0.05614
M6812,Unknown,38.765044975959874,-76.49502066726546,D24HourMean,Annually,Mean,0.06131
M6813,Unknown,38.765752623159074,-76.43864599934875,D24HourMean,Annually,Mean,0.04498
M6814,Unknown,38.76643308869655,-76.38226938869362,D24HourMean,Annually,Mean,0.05234
M6815,Unknown,38.76708636980282,-76.32589091131948,D24HourMean,Annually,Mean,0.0498
M6816,Unknown,38.76771246381884,-76.26951064326168,D24HourMean,Annually,Mean,0.04837
M6817,Unknown,38.768311368196095,-76.21312866057073,D24HourMean,Annually,Mean,0.04868
M6818,Unknown,38.768883080496614,-76.15674503931169,D24HourMean,Annually,Mean,0.03865
M6819,Unknown,38.76942759839298,-76.10035985556348,D24HourMean,Annually,Mean,0.03166
M6820,Unknown,38.76994491966836,-76.04397318541837,D24HourMean,Annually,Mean,0.03212
M6821,Unknown,38.77043504221654,-75.98758510498119,D24HourMean,Annually,Mean,0.02856
M6822,Unknown,38.79951838572297,-77.11629407679727,D24HourMean,Annually,Mean,0.01898
M6823,Unknown,38.80052639274718,-77.05991116323895,D24HourMean,Annually,Mean,0.01676
M6824,Unknown,38.801507213395055,-77.00352546534218,D24HourMean,Annually,Mean,0.02613
M6825,Unknown,38.8024608436746,-76.94713705908978,D24HourMean,Annually,Mean,0.04063
M6826,Unknown,38.803387279704104,-76.89074602048767,D24HourMean,Annually,Mean,0.02827
M6827,Unknown,38.80428651771222,-76.834352425564,D24HourMean,Annually,Mean,0.06575
M6828,Unknown,38.80515855403803,-76.77795635036873,D24HourMean,Annually,Mean,0.07569
M6829,Unknown,38.80600338513104,-76.72155787097279,D24HourMean,Annually,Mean,0.08656
M6830,Unknown,38.80682100755128,-76.66515706346759,D24HourMean,Annually,Mean,0.06848
M6831,Unknown,38.807611417969255,-76.60875400396432,D24HourMean,Annually,Mean,0.08348
M6832,Unknown,38.808374613166116,-76.55234876859329,D24HourMean,Annually,Mean,0.07189
M6833,Unknown,38.809110590033555,-76.49594143350326,D24HourMean,Annually,Mean,0.0704
M6834,Unknown,38.80981934557393,-76.43953207486092,D24HourMean,Annually,Mean,0.07785
M6835,Unknown,38.81050087690027,-76.38312076885009,D24HourMean,Annually,Mean,0.07296
M6836,Unknown,38.811155181236344,-76.32670759167117,D24HourMean,Annually,Mean,0.06314
M6837,Unknown,38.811782255916654,-76.27029261954044,D24HourMean,Annually,Mean,0.05494
M6838,Unknown,38.812382098386436,-76.21387592868949,D24HourMean,Annually,Mean,0.05139
M6839,Unknown,38.81295470620179,-76.15745759536449,D24HourMean,Annually,Mean,0.04993
M6840,Unknown,38.81350007702962,-76.10103769582558,D24HourMean,Annually,Mean,0.04122
M6841,Unknown,38.8140182086477,-76.04461630634626,D24HourMean,Annually,Mean,0.03739
M6842,Unknown,38.81450909894468,-75.98819350321263,D24HourMean,Annually,Mean,0.03184
M6843,Unknown,38.84356863183343,-77.11759893499962,D24HourMean,Annually,Mean,0.02098
M6844,Unknown,38.84457821666531,-77.06118131784704,D24HourMean,Annually,Mean,0.02525
M6845,Unknown,38.84556057260918,-77.00476090971739,D24HourMean,Annually,Mean,0.02059
M6846,Unknown,38.846515695663285,-76.94833778677416,D24HourMean,Annually,Mean,0.03938
M6847,Unknown,38.84744358193647,-76.89191202520395,D24HourMean,Annually,Mean,0.0561
M6848,Unknown,38.8483442276482,-76.83548370121582,D24HourMean,Annually,Mean,0.03325
M6849,Unknown,38.849217629128624,-76.77905289104065,D24HourMean,Annually,Mean,0.08585
M6850,Unknown,38.85006378281861,-76.72261967093038,D24HourMean,Annually,Mean,0.08811
M6851,Unknown,38.850882685269774,-76.66618411715757,D24HourMean,Annually,Mean,0.08692
M6852,Unknown,38.851674333144544,-76.60974630601454,D24HourMean,Annually,Mean,0.10083
M6853,Unknown,38.85243872321618,-76.55330631381291,D24HourMean,Annually,Mean,0.09362
M6854,Unknown,38.85317585236882,-76.49686421688283,D24HourMean,Annually,Mean,0.10237
M6855,Unknown,38.85388571759751,-76.44042009157235,D24HourMean,Annually,Mean,0.1038
M6856,Unknown,38.85456831600825,-76.38397401424685,D24HourMean,Annually,Mean,0.09978
M6857,Unknown,38.85522364481801,-76.32752606128825,D24HourMean,Annually,Mean,0.08168
M6858,Unknown,38.85585170135481,-76.27107630909454,D24HourMean,Annually,Mean,0.07859
M6859,Unknown,38.856452483057666,-76.21462483407898,D24HourMean,Annually,Mean,0.06922
M6860,Unknown,38.85702598747669,-76.15817171266947,D24HourMean,Annually,Mean,0.05218
M6861,Unknown,38.857572212273126,-76.10171702130805,D24HourMean,Annually,Mean,0.04978
M6862,Unknown,38.8580911552193,-76.04526083645001,D24HourMean,Annually,Mean,0.04408
M6863,Unknown,38.85858281419873,-75.98880323456348,D24HourMean,Annually,Mean,0.03963
M6864,Unknown,38.887618507774214,-77.11890665123589,D24HourMean,Annually,Mean,0.02749
M6865,Unknown,38.88862967233266,-77.06245425459048,D24HourMean,Annually,Mean,0.02508
M6866,Unknown,38.88961356543991,-77.00599906030571,D24HourMean,Annually,Mean,0.03348
M6867,Unknown,38.890570183084435,-76.94954114472637,D24HourMean,Annually,Mean,0.02816
M6868,Unknown,38.891499521365624,-76.89308058422048,D24HourMean,Annually,Mean,0.05988
