MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M7601,Unknown,38.81888300855237,-77.19531860340429,D24HourMean,Annually,Mean,0.01324
M7602,Unknown,38.81994643707235,-77.13800274920709,D24HourMean,Annually,Mean,0.01367
M7603,Unknown,38.82098176957344,-77.08068390787895,D24HourMean,Annually,Mean,0.01379
M7604,Unknown,38.8219890017018,-77.02336215923992,D24HourMean,Annually,Mean,0.01406
M7605,Unknown,38.82296812922143,-76.96603758313564,D24HourMean,Annually,Mean,0.01307
M7606,Unknown,38.82391914801407,-76.9087102594365,D24HourMean,Annually,Mean,0.01429
M7607,Unknown,38.82484205407937,-76.85138026803703,D24HourMean,Annually,Mean,0.01534
M7608,Unknown,38.825736843534884,-76.79404768885517,D24HourMean,Annually,Mean,0.01654
M7609,Unknown,38.826603512616146,-76.73671260183158,D24HourMean,Annually,Mean,0.01685
M7610,Unknown,38.82744205767668,-76.67937508692897,D24HourMean,Annually,Mean,0.01604
M7611,Unknown,38.82825247518804,-76.62203522413131,D24HourMean,Annually,Mean,0.01599
M7612,Unknown,38.82903476173989,-76.56469309344324,D24HourMean,Annually,Mean,0.01627
M7613,Unknown,38.829788914040066,-76.50734877488931,D24HourMean,Annually,Mean,0.01655
M7614,Unknown,38.830514928914496,-76.4500023485133,D24HourMean,Annually,Mean,0.01659
M7615,Unknown,38.83121280330741,-76.3926538943775,D24HourMean,Annually,Mean,0.01666
M7616,Unknown,38.831882534281206,-76.33530349256202,D24HourMean,Annually,Mean,0.01812
M7617,Unknown,38.83252411901664,-76.2779512231641,D24HourMean,Annually,Mean,0.01925
M7618,Unknown,38.83313755481272,-76.22059716629737,D24HourMean,Annually,Mean,0.01974
M7619,Unknown,38.833722839086846,-76.16324140209119,D24HourMean,Annually,Mean,0.01956
M7620,Unknown,38.834279969374805,-76.10588401068995,D24HourMean,Annually,Mean,0.01906
M7621,Unknown,38.83480894333078,-76.04852507225229,D24HourMean,Annually,Mean,0.01842
M7622,Unknown,38.86342833662058,-77.19668841476539,D24HourMean,Annually,Mean,0.01377
M7623,Unknown,38.864493448166726,-77.1393368646127,D24HourMean,Annually,Mean,0.0149
M7624,Unknown,38.86553041927587,-77.08198232012315,D24HourMean,Annually,Mean,0.01545
M7625,Unknown,38.86653924558352,-77.02462486130878,D24HourMean,Annually,Mean,0.01609
M7626,Unknown,38.86751992284313,-76.96726456820726,D24HourMean,Annually,Mean,0.01511
M7627,Unknown,38.868472446926376,-76.90990152088119,D24HourMean,Annually,Mean,0.01515
M7628,Unknown,38.86939681382301,-76.85253579941735,D24HourMean,Annually,Mean,0.01697
M7629,Unknown,38.87029301964102,-76.79516748392611,D24HourMean,Annually,Mean,0.01872
M7630,Unknown,38.87116106060665,-76.73779665454059,D24HourMean,Annually,Mean,0.01868
M7631,Unknown,38.87200093306444,-76.68042339141604,D24HourMean,Annually,Mean,0.0189
M7632,Unknown,38.872812633477245,-76.62304777472913,D24HourMean,Annually,Mean,0.01797
M7633,Unknown,38.873596158426324,-76.56566988467729,D24HourMean,Annually,Mean,0.01779
M7634,Unknown,38.874351504611354,-76.50828980147784,D24HourMean,Annually,Mean,0.0189
M7635,Unknown,38.8750786688505,-76.45090760536755,D24HourMean,Annually,Mean,0.01868
M7636,Unknown,38.875777648080394,-76.39352337660165,D24HourMean,Annually,Mean,0.01959
M7637,Unknown,38.87644843935624,-76.33613719545336,D24HourMean,Annually,Mean,0.02142
M7638,Unknown,38.87709103985179,-76.27874914221307,D24HourMean,Annually,Mean,0.02231
M7639,Unknown,38.87770544685941,-76.22135929718763,D24HourMean,Annually,Mean,0.02255
M7640,Unknown,38.87829165779015,-76.1639677406997,D24HourMean,Annually,Mean,0.02185
M7641,Unknown,38.878849670173686,-76.10657455308703,D24HourMean,Annually,Mean,0.02132
M7642,Unknown,38.87937948165842,-76.04917981470165,D24HourMean,Annually,Mean,0.02107
M7643,Unknown,38.9079732831852,-77.19806126046394,D24HourMean,Annually,Mean,0.0139
M7644,Unknown,38.90904007982878,-77.14067393541035,D24HourMean,Annually,Mean,0.01563
M7645,Unknown,38.91007869156286,-77.08328360878798,D24HourMean,Annually,Mean,0.01729
M7646,Unknown,38.911089114012135,-77.02589036080157,D24HourMean,Annually,Mean,0.018
M7647,Unknown,38.91207134291966,-76.96849427168151,D24HourMean,Annually,Mean,0.018
M7648,Unknown,38.913025374146855,-76.91109542168331,D24HourMean,Annually,Mean,0.01741
M7649,Unknown,38.91395120367363,-76.85369389108673,D24HourMean,Annually,Mean,0.01855
M7650,Unknown,38.91484882759836,-76.79628976019518,D24HourMean,Annually,Mean,0.0204
M7651,Unknown,38.91571824213798,-76.73888310933496,D24HourMean,Annually,Mean,0.02162
M7652,Unknown,38.916559443627975,-76.68147401885462,D24HourMean,Annually,Mean,0.02163
M7653,Unknown,38.917372428522526,-76.62406256912416,D24HourMean,Annually,Mean,0.02067
M7654,Unknown,38.918157193394435,-76.56664884053444,D24HourMean,Annually,Mean,0.02008
M7655,Unknown,38.918913734935245,-76.50923291349639,D24HourMean,Annually,Mean,0.02181
M7656,Unknown,38.91964204995526,-76.4518148684403,D24HourMean,Annually,Mean,0.0216
M7657,Unknown,38.920342135383535,-76.39439478581517,D24HourMean,Annually,Mean,0.02369
M7658,Unknown,38.92101398826803,-76.33697274608797,D24HourMean,Annually,Mean,0.02544
M7659,Unknown,38.92165760577553,-76.27954882974292,D24HourMean,Annually,Mean,0.02615
M7660,Unknown,38.92227298519172,-76.22212311728083,D24HourMean,Annually,Mean,0.02552
M7661,Unknown,38.922860123921225,-76.16469568921832,D24HourMean,Annually,Mean,0.02474
M7662,Unknown,38.923419019487646,-76.10726662608717,D24HourMean,Annually,Mean,0.02465
M7663,Unknown,38.92394966953356,-76.04983600843357,D24HourMean,Annually,Mean,0.02458
M7664,Unknown,38.952517848019625,-77.1994371478278,D24HourMean,Annually,Mean,0.01374
