MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M9301,Unknown,38.81921459731558,-77.19081283072043,D24HourMean,Annually,Mean,0.01913
M9302,Unknown,38.82026270576128,-77.13421438861683,D24HourMean,Annually,Mean,0.02972
M9303,Unknown,38.82128341700548,-77.0776130388501,D24HourMean,Annually,Mean,0.03806
M9304,Unknown,38.82227672686265,-77.0210088582813,D24HourMean,Annually,Mean,0.024
M9305,Unknown,38.82324263125923,-76.9644019237956,D24HourMean,Annually,Mean,0.01584
M9306,Unknown,38.82418112623372,-76.90779231230182,D24HourMean,Annually,Mean,0.01654
M9307,Unknown,38.82509220793668,-76.85118010073165,D24HourMean,Annually,Mean,0.02253
M9308,Unknown,38.825975872630785,-76.79456536603907,D24HourMean,Annually,Mean,0.02853
M9309,Unknown,38.82683211669088,-76.73794818519961,D24HourMean,Annually,Mean,0.04795
M9310,Unknown,38.827660936604,-76.68132863520982,D24HourMean,Annually,Mean,0.03216
M9311,Unknown,38.82846232896944,-76.62470679308645,D24HourMean,Annually,Mean,0.03653
M9312,Unknown,38.82923629049878,-76.56808273586596,D24HourMean,Annually,Mean,0.03694
M9313,Unknown,38.829982818015935,-76.51145654060373,D24HourMean,Annually,Mean,0.0304
M9314,Unknown,38.83070190845719,-76.45482828437349,D24HourMean,Annually,Mean,0.03522
M9315,Unknown,38.83139355887117,-76.398198044266607,D24HourMean,Annually,Mean,0.02658
M9316,Unknown,38.832057766419034,-76.34156589739146,D24HourMean,Annually,Mean,0.02049
M9317,Unknown,38.8326945283743,-76.28493192087278,D24HourMean,Annually,Mean,0.03167
M9318,Unknown,38.833303842123094,-76.22829619185093,D24HourMean,Annually,Mean,0.02692
M9319,Unknown,38.833885705163986,-76.17165878748136,D24HourMean,Annually,Mean,0.02629
M9320,Unknown,38.83444011510813,-76.11501978493384,D24HourMean,Annually,Mean,0.02642
M9321,Unknown,38.83496706967931,-76.05837926139186,D24HourMean,Annually,Mean,0.02826
M9322,Unknown,38.8633666308432,-77.19216776133261,D24HourMean,Annually,Mean,0.02341
M9323,Unknown,38.86441638340982,-77.13553438104569,D24HourMean,Annually,Mean,0.02277
M9324,Unknown,38.86543869584423,-77.07889808614341,D24HourMean,Annually,Mean,0.03757
M9325,Unknown,38.86643356395072,-77.02225895367,D24HourMean,Annually,Mean,0.04212
M9326,Unknown,38.867400983645766,-76.96561706069402,D24HourMean,Annually,Mean,0.02146
M9327,Unknown,38.86834095095818,-76.90897248430765,D24HourMean,Annually,Mean,0.01953
M9328,Unknown,38.86925346202913,-76.85232530162612,D24HourMean,Annually,Mean,0.02733
M9329,Unknown,38.870138513112146,-76.79567558978702,D24HourMean,Annually,Mean,0.0275
M9330,Unknown,38.870996100573194,-76.73902342594961,D24HourMean,Annually,Mean,0.05364
M9331,Unknown,38.87182622089076,-76.68236888729417,D24HourMean,Annually,Mean,0.04311
M9332,Unknown,38.87262887065582,-76.6257120510214,D24HourMean,Annually,Mean,0.04415
M9333,Unknown,38.873404046571906,-76.56905299435165,D24HourMean,Annually,Mean,0.04259
M9334,Unknown,38.87415174545517,-76.5123917945244,D24HourMean,Annually,Mean,0.03676
M9335,Unknown,38.874871964234394,-76.45572852879747,D24HourMean,Annually,Mean,0.03974
M9336,Unknown,38.87556469995103,-76.39906327444643,D24HourMean,Annually,Mean,0.0252
M9337,Unknown,38.87622994975924,-76.34239610876392,D24HourMean,Annually,Mean,0.03468
M9338,Unknown,38.876867710925936,-76.285727109059,D24HourMean,Annually,Mean,0.03109
M9339,Unknown,38.87747798083079,-76.22905635265647,D24HourMean,Annually,Mean,0.03377
M9340,Unknown,38.87806075696629,-76.17238391689621,D24HourMean,Annually,Mean,0.03071
M9341,Unknown,38.878616036937785,-76.11570987913252,D24HourMean,Annually,Mean,0.03366
M9342,Unknown,38.87914381846341,-76.05903431673353,D24HourMean,Annually,Mean,0.0259
M9343,Unknown,38.90751828973931,-77.19352566678995,D24HourMean,Annually,Mean,0.02293
M9344,Unknown,38.90856968843236,-77.13685727173268,D24HourMean,Annually,Mean,0.02754
M9345,Unknown,38.90959360401038,-77.08018595508301,D24HourMean,Annually,Mean,0.02737
M9346,Unknown,38.9105900322674,-77.02351179406898,D24HourMean,Annually,Mean,0.04759
M9347,Unknown,38.91155896910991,-76.96683486594313,D24HourMean,Annually,Mean,0.04618
M9348,Unknown,38.912500410557016,-76.91015524798175,D24HourMean,Annually,Mean,0.02287
M9349,Unknown,38.91341435274043,-76.8534730174842,D24HourMean,Annually,Mean,0.02326
M9350,Unknown,38.914300791904566,-76.79678825177236,D24HourMean,Annually,Mean,0.02738
M9351,Unknown,38.91515972440648,-76.74010102818983,D24HourMean,Annually,Mean,0.05677
M9352,Unknown,38.915991146716046,-76.68341142410135,D24HourMean,Annually,Mean,0.05814
M9353,Unknown,38.916795055415896,-76.62671951689214,D24HourMean,Annually,Mean,0.05404
M9354,Unknown,38.91757144720153,-76.57002538396719,D24HourMean,Annually,Mean,0.0501
M9355,Unknown,38.91832031888128,-76.51332910275065,D24HourMean,Annually,Mean,0.04544
M9356,Unknown,38.91904166737645,-76.45663075068514,D24HourMean,Annually,Mean,0.0421
M9357,Unknown,38.919735489721226,-76.39993040523106,D24HourMean,Annually,Mean,0.03024
M9358,Unknown,38.92040178306282,-76.343228143866,D24HourMean,Annually,Mean,0.04213
M9359,Unknown,38.92104054466145,-76.286524044084,D24HourMean,Annually,Mean,0.04209
M9360,Unknown,38.92165177189041,-76.22981818339494,D24HourMean,Annually,Mean,0.03563
M9361,Unknown,38.922235462236024,-76.17311063932381,D24HourMean,Annually,Mean,0.04132
M9362,Unknown,38.92279161329777,-76.11640148941012,D24HourMean,Annually,Mean,0.03072
M9363,Unknown,38.923320222788234,-76.05969081120719,D24HourMean,Annually,Mean,0.02798
M9364,Unknown,38.95166957378371,-77.19488655421308,D24HourMean,Annually,Mean,0.0225
M9365,Unknown,38.95272262061442,-77.13818306761577,D24HourMean,Annually,Mean,0.0272
M9366,Unknown,38.95374814129499,-77.081476652424,D24HourMean,Annually,Mean,0.03277
M9367,Unknown,38.95474613160913,-77.02476738605039,D24HourMean,Annually,Mean,0.03396
M9368,Unknown,38.955716587453345,-76.96805534593207,D24HourMean,Annually,Mean,0.06096
M9369,Unknown,38.95665950483701,-76.91134060953009,D24HourMean,Annually,Mean,0.04701
M9370,Unknown,38.957574879882365,-76.85462325432864,D24HourMean,Annually,Mean,0.02701
M9371,Unknown,38.95846270882461,-76.7979033578345,D24HourMean,Annually,Mean,0.04082
M9372,Unknown,38.95932298801195,-76.74118099757628,D24HourMean,Annually,Mean,0.05629
M9373,Unknown,38.96015571390558,-76.68445625110385,D24HourMean,Annually,Mean,0.07923
M9374,Unknown,38.960960883079785,-76.6277291959876,D24HourMean,Annually,Mean,0.06727
M9375,Unknown,38.96173849222196,-76.57099990981781,D24HourMean,Annually,Mean,0.06035
M9376,Unknown,38.96248853813266,-76.514268470204,D24HourMean,Annually,Mean,0.05772
M9377,Unknown,38.963211017725634,-76.45753495477419,D24HourMean,Annually,Mean,0.04101
M9378,Unknown,38.96390592802782,-76.40079944117436,D24HourMean,Annually,Mean,0.0543
M9379,Unknown,38.96457326617945,-76.3440620070676,D24HourMean,Annually,Mean,0.05083
M9380,Unknown,38.96521302943403,-76.28732273013368,D24HourMean,Annually,Mean,0.04132
M9381,Unknown,38.96582521515841,-76.23058168806813,D24HourMean,Annually,Mean,0.05134
M9382,Unknown,38.966409820832794,-76.1738389585818,D24HourMean,Annually,Mean,0.03675
M9383,Unknown,38.96696684405076,-76.11709461939999,D24HourMean,Annually,Mean,0.03631
M9384,Unknown,38.967496282519306,-76.06034874826197,D24HourMean,Annually,Mean,0.03556
M9385,Unknown,38.995820482756656,-77.19625043074815,D24HourMean,Annually,Mean,0.02298
M9386,Unknown,38.99687517974196,-77.13951177565764,D24HourMean,Annually,Mean,0.02839
M9387,Unknown,38.99790230748957,-77.08277018494563,D24HourMean,Annually,Mean,0.03253
M9388,Unknown,38.99890186177286,-77.02602573620987,D24HourMean,Annually,Mean,0.0392
M9389,Unknown,38.99987383847831,-76.96927850707281,D24HourMean,Annually,Mean,0.04293
M9390,Unknown,39.000818233605486,-76.91252857518087,D24HourMean,Annually,Mean,0.07954
M9391,Unknown,39.00173504326721,-76.85577601820373,D24HourMean,Annually,Mean,0.04115
M9392,Unknown,39.002624263689434,-76.79902091383374,D24HourMean,Annually,Mean,0.03618
M9393,Unknown,39.003485891211405,-76.74226333978521,D24HourMean,Annually,Mean,0.05296
M9394,Unknown,39.004319922285674,-76.68550337379375,D24HourMean,Annually,Mean,0.10628
M9395,Unknown,39.00512635347816,-76.62874109361564,D24HourMean,Annually,Mean,0.08573
M9396,Unknown,39.005905181468144,-76.57197657702707,D24HourMean,Annually,Mean,0.07311
M9397,Unknown,39.006656403048325,-76.5152099018236,D24HourMean,Annually,Mean,0.0694
M9398,Unknown,39.007380015124895,-76.45844114581934,D24HourMean,Annually,Mean,0.04788
M9399,Unknown,39.00807601471753,-76.4016703868464,D24HourMean,Annually,Mean,0.06051
M9400,Unknown,39.008744398959465,-76.34489770275421,D24HourMean,Annually,Mean,0.05482
M9401,Unknown,39.00938516509748,-76.28812317140878,D24HourMean,Annually,Mean,0.06552
M9402,Unknown,39.009998310491966,-76.23134687069211,D24HourMean,Annually,Mean,0.04448
M9403,Unknown,39.01058383261694,-76.1745688785014,D24HourMean,Annually,Mean,0.04754
M9404,Unknown,39.01114172906012,-76.11778927274857,D24HourMean,Annually,Mean,0.0439
M9405,Unknown,39.01167199752289,-76.06100813135939,D24HourMean,Annually,Mean,0.03452
M9406,Unknown,39.03997101643881,-77.1976173035668,D24HourMean,Annually,Mean,0.02608
M9407,Unknown,39.0410273656014,-77.14084340284597,D24HourMean,Annually,Mean,0.02711
M9408,Unknown,39.042056102386105,-77.0840665594514,D24HourMean,Annually,Mean,0.03397
M9409,Unknown,39.04305722255601,-77.02728685116669,D24HourMean,Annually,Mean,0.0391
M9410,Unknown,39.04403072198748,-76.97050435580026,D24HourMean,Annually,Mean,0.04714
M9411,Unknown,39.04497659667033,-76.91371915118454,D24HourMean,Annually,Mean,0.05612
M9412,Unknown,39.04589484270783,-76.85693131517537,D24HourMean,Annually,Mean,0.10277
M9413,Unknown,39.04678545631669,-76.80014092565138,D24HourMean,Annually,Mean,0.04503
M9414,Unknown,39.04764843382721,-76.74334806051317,D24HourMean,Annually,Mean,0.06281
M9415,Unknown,39.04848377168328,-76.68655279768282,D24HourMean,Annually,Mean,0.1348
M9416,Unknown,39.049291466442355,-76.62975521510312,D24HourMean,Annually,Mean,0.11248
M9417,Unknown,39.0500715147756,-76.57295539073685,D24HourMean,Annually,Mean,0.09666
M9418,Unknown,39.05082391346788,-76.51615340256625,D24HourMean,Annually,Mean,0.07404
M9419,Unknown,39.05154865941781,-76.45934932859221,D24HourMean,Annually,Mean,0.09086
M9420,Unknown,39.052245749637734,-76.40254324683372,D24HourMean,Annually,Mean,0.08109
M9421,Unknown,39.05291518125389,-76.34573523532704,D24HourMean,Annually,Mean,0.08629
M9422,Unknown,39.05355695150631,-76.28892537212523,D24HourMean,Annually,Mean,0.06143
M9423,Unknown,39.05417105774889,-76.23211373529732,D24HourMean,Annually,Mean,0.0629
M9424,Unknown,39.054757497449515,-76.17530040292766,D24HourMean,Annually,Mean,0.05204
M9425,Unknown,39.05531626818995,-76.11848545311531,D24HourMean,Annually,Mean,0.03701
M9426,Unknown,39.05584736766594,-76.06166896397329,D24HourMean,Annually,Mean,0.02575
M9427,Unknown,39.08412117461128,-77.19898717986642,D24HourMean,Annually,Mean,0.03232
M9428,Unknown,39.08517917797957,-77.14217795619342,D24HourMean,Annually,Mean,0.03721
M9429,Unknown,39.086209525777065,-77.08536578276917,D24HourMean,Annually,Mean,0.03707
M9430,Unknown,39.08721221375647,-77.02855073756382,D24HourMean,Annually,Mean,0.04047
M9431,Unknown,39.08818723778407,-76.97173289857234,D24HourMean,Annually,Mean,0.05436
M9432,Unknown,39.089134593839866,-76.91491234381392,D24HourMean,Annually,Mean,0.06192
M9433,Unknown,39.09005427801755,-76.85808915133123,D24HourMean,Annually,Mean,0.07685
M9434,Unknown,39.090946286524584,-76.80126339918974,D24HourMean,Annually,Mean,0.12044
M9435,Unknown,39.0918106156823,-76.74443516547714,D24HourMean,Annually,Mean,0.06272
M9436,Unknown,39.09264726192582,-76.68760452830256,D24HourMean,Annually,Mean,0.14844
M9437,Unknown,39.09345622180422,-76.63077156579595,D24HourMean,Annually,Mean,0.15337
M9438,Unknown,39.09423749198048,-76.57393635610744,D24HourMean,Annually,Mean,0.1324
M9439,Unknown,39.09499106923158,-76.51709897740655,D24HourMean,Annually,Mean,0.08577
M9440,Unknown,39.09571695044855,-76.46025950788164,D24HourMean,Annually,Mean,0.11321
M9441,Unknown,39.09641513263642,-76.40341802573919,D24HourMean,Annually,Mean,0.11876
