MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M9901,Unknown,38.81592526561877,-77.18806244367052,D24HourMean,Annually,Mean,0.17967
M9902,Unknown,38.816974926155616,-77.13130443029141,D24HourMean,Annually,Mean,0.18548
M9903,Unknown,38.81799703540828,-77.07454349693734,D24HourMean,Annually,Mean,0.15033
M9904,Unknown,38.81899158916176,-77.0177797211188,D24HourMean,Annually,Mean,0.09578
M9905,Unknown,38.81995858331424,-76.96101318037083,D24HourMean,Annually,Mean,0.09735
M9906,Unknown,38.82089801387724,-76.90424395225213,D24HourMean,Annually,Mean,0.12556
M9907,Unknown,38.82180987697562,-76.84747211434461,D24HourMean,Annually,Mean,0.15403
M9908,Unknown,38.822694168847626,-76.79069774425264,D24HourMean,Annually,Mean,0.15299
M9909,Unknown,38.82355088584493,-76.73392091960235,D24HourMean,Annually,Mean,0.13751
M9910,Unknown,38.82438002443269,-76.67714171804106,D24HourMean,Annually,Mean,0.10819
M9911,Unknown,38.82518158118961,-76.62036021723648,D24HourMean,Annually,Mean,0.13753
M9912,Unknown,38.82595555280791,-76.56357649487623,D24HourMean,Annually,Mean,0.11379
M9913,Unknown,38.82670193609344,-76.50679062866696,D24HourMean,Annually,Mean,0.11319
M9914,Unknown,38.827420727965695,-76.45000269633387,D24HourMean,Annually,Mean,0.12198
M9915,Unknown,38.82811192545782,-76.39321277561992,D24HourMean,Annually,Mean,0.139
M9916,Unknown,38.82877552571665,-76.33642094428521,D24HourMean,Annually,Mean,0.16409
M9917,Unknown,38.82941152600284,-76.27962728010631,D24HourMean,Annually,Mean,0.21634
M9918,Unknown,38.83001992369074,-76.22283186087559,D24HourMean,Annually,Mean,0.20801
M9919,Unknown,38.83060071626856,-76.16603476440054,D24HourMean,Annually,Mean,0.13798
M9920,Unknown,38.83115390133834,-76.1092360685031,D24HourMean,Annually,Mean,0.10885
M9921,Unknown,38.83167947661592,-76.05243585101903,D24HourMean,Annually,Mean,0.0884
M9922,Unknown,38.86053593885906,-77.18942958297558,D24HourMean,Annually,Mean,0.18554
M9923,Unknown,38.86158726310843,-77.13263617259446,D24HourMean,Annually,Mean,0.20458
M9924,Unknown,38.862610992451515,-77.07583983518467,D24HourMean,Annually,Mean,0.20886
M9925,Unknown,38.86360712266289,-77.01904064844338,D24HourMean,Annually,Mean,0.1592
M9926,Unknown,38.86457564963064,-76.96223869009236,D24HourMean,Annually,Mean,0.1039
M9927,Unknown,38.86551656935642,-76.90543403787726,D24HourMean,Annually,Mean,0.1254
M9928,Unknown,38.866429877955525,-76.8486267695669,D24HourMean,Annually,Mean,0.14154
M9929,Unknown,38.86731557165691,-76.79181696295278,D24HourMean,Annually,Mean,0.15602
M9930,Unknown,38.86817364680326,-76.73500469584816,D24HourMean,Annually,Mean,0.1609
M9931,Unknown,38.86900409985099,-76.67819004608765,D24HourMean,Annually,Mean,0.12999
M9932,Unknown,38.86980692737035,-76.6213730915263,D24HourMean,Annually,Mean,0.15629
M9933,Unknown,38.870582126045385,-76.56455391003912,D24HourMean,Annually,Mean,0.1128
M9934,Unknown,38.87132969267409,-76.50773257952035,D24HourMean,Annually,Mean,0.13174
M9935,Unknown,38.8720496241683,-76.45090917788272,D24HourMean,Annually,Mean,0.16378
M9936,Unknown,38.87274191755387,-76.39408378305687,D24HourMean,Annually,Mean,0.15448
M9937,Unknown,38.87340656997059,-76.33725647299067,D24HourMean,Annually,Mean,0.2228
M9938,Unknown,38.874043578672314,-76.28042732564849,D24HourMean,Annually,Mean,0.24465
M9939,Unknown,38.87465294102695,-76.22359641901059,D24HourMean,Annually,Mean,0.17328
M9940,Unknown,38.87523465451646,-76.16676383107239,D24HourMean,Annually,Mean,0.12931
M9941,Unknown,38.87578871673696,-76.10992963984386,D24HourMean,Annually,Mean,0.10123
M9942,Unknown,38.8763151253987,-76.05309392334883,D24HourMean,Annually,Mean,0.144
M9943,Unknown,38.90514622975771,-77.19079975510579,D24HourMean,Annually,Mean,0.17917
M9944,Unknown,38.90619921976991,-77.13397086932368,D24HourMean,Annually,Mean,0.20852
M9945,Unknown,38.90722457120019,-77.07713904943373,D24HourMean,Annually,Mean,0.2397
M9946,Unknown,38.9082222798127,-77.02030437332044,D24HourMean,Annually,Mean,0.23654
M9947,Unknown,38.909192341485316,-76.96346691889305,D24HourMean,Annually,Mean,0.15783
M9948,Unknown,38.91013475220988,-76.90662676408472,D24HourMean,Annually,Mean,0.12683
M9949,Unknown,38.911049508092056,-76.84978398685199,D24HourMean,Annually,Mean,0.15687
M9950,Unknown,38.91193660535149,-76.79293866517402,D24HourMean,Annually,Mean,0.20259
M9951,Unknown,38.91279604032185,-76.73609087705199,D24HourMean,Annually,Mean,0.19099
M9952,Unknown,38.91362780945077,-76.6792407005084,D24HourMean,Annually,Mean,0.15265
M9953,Unknown,38.91443190930003,-76.62238821358633,D24HourMean,Annually,Mean,0.18097
M9954,Unknown,38.915208336545504,-76.56553349434895,D24HourMean,Annually,Mean,0.13207
M9955,Unknown,38.915957087977255,-76.5086766208786,D24HourMean,Annually,Mean,0.15044
