MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M10001,Unknown,38.81592526561877,-77.18806244367052,D24HourMean,Annually,Mean,0.00789
M10002,Unknown,38.816974926155616,-77.13130443029141,D24HourMean,Annually,Mean,0.00907
M10003,Unknown,38.81799703540828,-77.07454349693734,D24HourMean,Annually,Mean,0.00993
M10004,Unknown,38.81899158916176,-77.0177797211188,D24HourMean,Annually,Mean,0.01003
M10005,Unknown,38.81995858331424,-76.96101318037083,D24HourMean,Annually,Mean,0.0092
M10006,Unknown,38.82089801387724,-76.90424395225213,D24HourMean,Annually,Mean,0.01024
M10007,Unknown,38.82180987697562,-76.84747211434461,D24HourMean,Annually,Mean,0.0114
M10008,Unknown,38.822694168847626,-76.79069774425264,D24HourMean,Annually,Mean,0.01183
M10009,Unknown,38.82355088584493,-76.73392091960235,D24HourMean,Annually,Mean,0.01119
M10010,Unknown,38.82438002443269,-76.67714171804106,D24HourMean,Annually,Mean,0.01151
M10011,Unknown,38.82518158118961,-76.62036021723648,D24HourMean,Annually,Mean,0.01269
M10012,Unknown,38.82595555280791,-76.56357649487623,D24HourMean,Annually,Mean,0.01304
M10013,Unknown,38.82670193609344,-76.50679062866696,D24HourMean,Annually,Mean,0.01229
M10014,Unknown,38.827420727965695,-76.45000269633387,D24HourMean,Annually,Mean,0.01193
M10015,Unknown,38.82811192545782,-76.39321277561992,D24HourMean,Annually,Mean,0.01213
M10016,Unknown,38.82877552571665,-76.33642094428521,D24HourMean,Annually,Mean,0.01303
M10017,Unknown,38.82941152600284,-76.27962728010631,D24HourMean,Annually,Mean,0.01396
M10018,Unknown,38.83001992369074,-76.22283186087559,D24HourMean,Annually,Mean,0.01383
M10019,Unknown,38.83060071626856,-76.16603476440054,D24HourMean,Annually,Mean,0.01305
M10020,Unknown,38.83115390133834,-76.1092360685031,D24HourMean,Annually,Mean,0.01276
M10021,Unknown,38.83167947661592,-76.05243585101903,D24HourMean,Annually,Mean,0.0126
M10022,Unknown,38.86053593885906,-77.18942958297558,D24HourMean,Annually,Mean,0.00793
M10023,Unknown,38.86158726310843,-77.13263617259446,D24HourMean,Annually,Mean,0.00889
M10024,Unknown,38.862610992451515,-77.07583983518467,D24HourMean,Annually,Mean,0.01041
M10025,Unknown,38.86360712266289,-77.01904064844338,D24HourMean,Annually,Mean,0.01156
M10026,Unknown,38.86457564963064,-76.96223869009236,D24HourMean,Annually,Mean,0.01032
M10027,Unknown,38.86551656935642,-76.90543403787726,D24HourMean,Annually,Mean,0.01082
M10028,Unknown,38.866429877955525,-76.8486267695669,D24HourMean,Annually,Mean,0.0122
M10029,Unknown,38.86731557165691,-76.79181696295278,D24HourMean,Annually,Mean,0.0135
M10030,Unknown,38.86817364680326,-76.73500469584816,D24HourMean,Annually,Mean,0.01265
M10031,Unknown,38.86900409985099,-76.67819004608765,D24HourMean,Annually,Mean,0.01335
M10032,Unknown,38.86980692737035,-76.6213730915263,D24HourMean,Annually,Mean,0.01423
M10033,Unknown,38.870582126045385,-76.56455391003912,D24HourMean,Annually,Mean,0.01405
M10034,Unknown,38.87132969267409,-76.50773257952035,D24HourMean,Annually,Mean,0.0138
M10035,Unknown,38.8720496241683,-76.45090917788272,D24HourMean,Annually,Mean,0.0134
M10036,Unknown,38.87274191755387,-76.39408378305687,D24HourMean,Annually,Mean,0.01411
M10037,Unknown,38.87340656997059,-76.33725647299067,D24HourMean,Annually,Mean,0.01543
M10038,Unknown,38.874043578672314,-76.28042732564849,D24HourMean,Annually,Mean,0.01581
M10039,Unknown,38.87465294102695,-76.22359641901059,D24HourMean,Annually,Mean,0.01502
M10040,Unknown,38.87523465451646,-76.16676383107239,D24HourMean,Annually,Mean,0.01468
M10041,Unknown,38.87578871673696,-76.10992963984386,D24HourMean,Annually,Mean,0.01459
M10042,Unknown,38.8763151253987,-76.05309392334883,D24HourMean,Annually,Mean,0.01434
M10043,Unknown,38.90514622975771,-77.19079975510579,D24HourMean,Annually,Mean,0.00845
M10044,Unknown,38.90619921976991,-77.13397086932368,D24HourMean,Annually,Mean,0.00889
M10045,Unknown,38.90722457120019,-77.07713904943373,D24HourMean,Annually,Mean,0.01044
M10046,Unknown,38.9082222798127,-77.02030437332044,D24HourMean,Annually,Mean,0.01209
M10047,Unknown,38.909192341485316,-76.96346691889305,D24HourMean,Annually,Mean,0.0128
M10048,Unknown,38.91013475220988,-76.90662676408472,D24HourMean,Annually,Mean,0.01239
M10049,Unknown,38.911049508092056,-76.84978398685199,D24HourMean,Annually,Mean,0.01332
M10050,Unknown,38.91193660535149,-76.79293866517402,D24HourMean,Annually,Mean,0.01519
M10051,Unknown,38.91279604032185,-76.73609087705199,D24HourMean,Annually,Mean,0.01471
M10052,Unknown,38.91362780945077,-76.6792407005084,D24HourMean,Annually,Mean,0.014880000000000001
M10053,Unknown,38.91443190930003,-76.62238821358633,D24HourMean,Annually,Mean,0.0164
M10054,Unknown,38.915208336545504,-76.56553349434895,D24HourMean,Annually,Mean,0.01589
M10055,Unknown,38.915957087977255,-76.5086766208786,D24HourMean,Annually,Mean,0.01569
M10056,Unknown,38.91667816049949,-76.45181767127636,D24HourMean,Annually,Mean,0.01553
M10057,Unknown,38.91737155113071,-76.39495672366118,D24HourMean,Annually,Mean,0.01692
M10058,Unknown,38.91803725700365,-76.33809385616934,D24HourMean,Annually,Mean,0.01815
M10059,Unknown,38.918675275365366,-76.28122914695372,D24HourMean,Annually,Mean,0.01744
M10060,Unknown,38.919285603577265,-76.22436267418314,D24HourMean,Annually,Mean,0.01693
M10061,Unknown,38.91986823911508,-76.16749451604164,D24HourMean,Annually,Mean,0.01683
M10062,Unknown,38.920423179569,-76.1106247507279,D24HourMean,Annually,Mean,0.01681
M10063,Unknown,38.92095042264359,-76.05375345645446,D24HourMean,Annually,Mean,0.0164
M10064,Unknown,38.949756138087864,-77.19217296739559,D24HourMean,Annually,Mean,0.00892
M10065,Unknown,38.9508107959191,-77.13530852762453,D24HourMean,Annually,Mean,0.00983
M10066,Unknown,38.95183777143909,-77.07844114664086,D24HourMean,Annually,Mean,0.01013
M10067,Unknown,38.95283706040148,-77.02157090251715,D24HourMean,Annually,Mean,0.01182
M10068,Unknown,38.953808658674035,-76.9646978733507,D24HourMean,Annually,Mean,0.01425
