MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M10801,Unknown,38.82004546110152,-77.18951401821826,D24HourMean,Annually,Mean,0.0066
M10802,Unknown,38.821094710284214,-77.13281897938072,D24HourMean,Annually,Mean,0.00627
M10803,Unknown,38.82211646846348,-77.07612102482639,D24HourMean,Annually,Mean,0.0071
M10804,Unknown,38.82311073143521,-77.01942023181158,D24HourMean,Annually,Mean,0.00758
M10805,Unknown,38.82407749510802,-76.96271667761697,D24HourMean,Annually,Mean,0.00704
M10806,Unknown,38.8250167555034,-76.90601043954696,D24HourMean,Annually,Mean,0.00904
M10807,Unknown,38.825928508755595,-76.84930159492897,D24HourMean,Annually,Mean,0.01242
M10808,Unknown,38.82681275111178,-76.79259022111283,D24HourMean,Annually,Mean,0.0089
M10809,Unknown,38.82766947893207,-76.7358763954701,D24HourMean,Annually,Mean,0.01078
M10810,Unknown,38.82849868868953,-76.67916019539338,D24HourMean,Annually,Mean,0.01093
M10811,Unknown,38.82930037697025,-76.62244169829572,D24HourMean,Annually,Mean,0.00978
M10812,Unknown,38.83007454047339,-76.56572098160986,D24HourMean,Annually,Mean,0.00901
M10813,Unknown,38.83082117601118,-76.50899812278762,D24HourMean,Annually,Mean,0.01029
M10814,Unknown,38.831540280509,-76.4522731992993,D24HourMean,Annually,Mean,0.00786
M10815,Unknown,38.8322318510054,-76.39554628863287,D24HourMean,Annually,Mean,0.00577
M10816,Unknown,38.832895884652146,-76.33881746829344,D24HourMean,Annually,Mean,0.00835
M10817,Unknown,38.83353237871422,-76.28208681580253,D24HourMean,Annually,Mean,0.00881
M10818,Unknown,38.83414133056988,-76.22535440869738,D24HourMean,Annually,Mean,0.00676
M10819,Unknown,38.834722737710685,-76.16862032453038,D24HourMean,Annually,Mean,0.00576
M10820,Unknown,38.83527659774155,-76.11188464086833,D24HourMean,Annually,Mean,0.00506
M10821,Unknown,38.83580290838069,-76.05514743529174,D24HourMean,Annually,Mean,0.00519
M10822,Unknown,38.86398248818751,-77.19086158352661,D24HourMean,Annually,Mean,0.0072
M10823,Unknown,38.86503337525008,-77.13413171639053,D24HourMean,Annually,Mean,0.00756
M10824,Unknown,38.866056728441684,-77.07739892660003,D24HourMean,Annually,Mean,0.00729
M10825,Unknown,38.86705254354798,-77.02066329159466,D24HourMean,Annually,Mean,0.00828
M10826,Unknown,38.86802081646765,-76.96392488883848,D24HourMean,Annually,Mean,0.00832
M10827,Unknown,38.86896154321248,-76.90718379581934,D24HourMean,Annually,Mean,0.00915
M10828,Unknown,38.869874719907344,-76.85044009004825,D24HourMean,Annually,Mean,0.0125
M10829,Unknown,38.870760342790284,-76.79369384905871,D24HourMean,Annually,Mean,0.01107
M10830,Unknown,38.871618408212555,-76.73694515040599,D24HourMean,Annually,Mean,0.01196
M10831,Unknown,38.87244891263865,-76.68019407166658,D24HourMean,Annually,Mean,0.01259
M10832,Unknown,38.87325185264636,-76.6234406904374,D24HourMean,Annually,Mean,0.01101
M10833,Unknown,38.874027224926806,-76.56668508433523,D24HourMean,Annually,Mean,0.01008
