MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M11801,Unknown,38.82315427023317,-77.18960926955751,D24HourMean,Annually,Mean,7.5e-4
M11802,Unknown,38.82419637608082,-77.1333091627584,D24HourMean,Annually,Mean,8.1e-4
M11803,Unknown,38.82521137197479,-77.07700617995366,D24HourMean,Annually,Mean,8.5e-4
M11804,Unknown,38.82619925379692,-77.02070039679899,D24HourMean,Annually,Mean,9.2e-4
M11805,Unknown,38.82716001753863,-76.96439188897372,D24HourMean,Annually,Mean,9.6e-4
M11806,Unknown,38.828093659301054,-76.90808073218032,D24HourMean,Annually,Mean,9.9e-4
M11807,Unknown,38.829000175295064,-76.85176700214365,D24HourMean,Annually,Mean,0.00113
M11808,Unknown,38.82987956184128,-76.79545077461037,D24HourMean,Annually,Mean,0.00129
M11809,Unknown,38.83073181537015,-76.73913212534833,D24HourMean,Annually,Mean,0.00136
M11810,Unknown,38.831556932422004,-76.68281113014588,D24HourMean,Annually,Mean,0.00129
M11811,Unknown,38.83235490964701,-76.62648786481122,D24HourMean,Annually,Mean,0.00124
M11812,Unknown,38.83312574380532,-76.57016240517183,D24HourMean,Annually,Mean,0.00126
M11813,Unknown,38.83386943176706,-76.5138348270738,D24HourMean,Annually,Mean,0.00124
M11814,Unknown,38.83458597051235,-76.4575052063811,D24HourMean,Annually,Mean,0.00113
M11815,Unknown,38.83527535713135,-76.40117361897511,D24HourMean,Annually,Mean,0.00122
M11816,Unknown,38.83593758882432,-76.34484014075386,D24HourMean,Annually,Mean,0.00125
M11817,Unknown,38.836572662901645,-76.28850484763137,D24HourMean,Annually,Mean,0.00125
M11818,Unknown,38.8371805767838,-76.23216781553711,D24HourMean,Annually,Mean,0.0013
M11819,Unknown,38.8377613280015,-76.17582912041529,D24HourMean,Annually,Mean,0.00133
M11820,Unknown,38.83831491419561,-76.11948883822417,D24HourMean,Annually,Mean,0.00126
M11821,Unknown,38.83884133311724,-76.06314704493555,D24HourMean,Annually,Mean,0.00118
M11822,Unknown,38.867194918155654,-77.19096022583925,D24HourMean,Annually,Mean,8.3e-4
M11823,Unknown,38.86823865453192,-77.13462544785395,D24HourMean,Annually,Mean,9e-4
M11824,Unknown,38.86925523858246,-77.07828778700312,D24HourMean,Annually,Mean,9.7e-4
M11825,Unknown,38.87024466617905,-77.02194731912236,D24HourMean,Annually,Mean,0.00104
M11826,Unknown,38.87120693330333,-76.96560412007105,D24HourMean,Annually,Mean,0.00111
M11827,Unknown,38.87214203604696,-76.9092582657317,D24HourMean,Annually,Mean,0.00115
M11828,Unknown,38.87304997061155,-76.85290983200942,D24HourMean,Annually,Mean,0.00127
M11829,Unknown,38.873930733308754,-76.79655889483115,D24HourMean,Annually,Mean,0.00148
M11830,Unknown,38.87478432056035,-76.7402055301451,D24HourMean,Annually,Mean,0.0016
M11831,Unknown,38.875610728898174,-76.68384981392012,D24HourMean,Annually,Mean,0.00155
M11832,Unknown,38.87640995496429,-76.62749182214495,D24HourMean,Annually,Mean,0.00147
M11833,Unknown,38.877181995510924,-76.5711316308277,D24HourMean,Annually,Mean,0.00149
