MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M12101,Unknown,38.82110659181572,-77.18822107463109,D24HourMean,Annually,Mean,6.1e-4
M12102,Unknown,38.82214798316781,-77.13192252901673,D24HourMean,Annually,Mean,6.8e-4
M12103,Unknown,38.8231622664608,-77.07562110949873,D24HourMean,Annually,Mean,7.1e-4
M12104,Unknown,38.824149437579536,-77.01931689172484,D24HourMean,Annually,Mean,7.2e-4
M12105,Unknown,38.82510949251852,-76.96300995136652,D24HourMean,Annually,Mean,6.5e-4
M12106,Unknown,38.82604242738193,-76.9067003641183,D24HourMean,Annually,Mean,6.8e-4
M12107,Unknown,38.826948238383594,-76.85038820569709,D24HourMean,Annually,Mean,7.3e-4
M12108,Unknown,38.827826921847176,-76.7940735518416,D24HourMean,Annually,Mean,7.3e-4
M12109,Unknown,38.82867847420611,-76.73775647831171,D24HourMean,Annually,Mean,8.4e-4
M12110,Unknown,38.82950289200368,-76.68143706088775,D24HourMean,Annually,Mean,0.00093000000000000005
M12111,Unknown,38.830300171893086,-76.6251153753699,D24HourMean,Annually,Mean,8.2e-4
M12112,Unknown,38.8310703106374,-76.5687914975776,D24HourMean,Annually,Mean,7.7e-4
M12113,Unknown,38.83181330510968,-76.51246550334888,D24HourMean,Annually,Mean,7.7e-4
M12114,Unknown,38.832529152293,-76.45613746853967,D24HourMean,Annually,Mean,8e-4
M12115,Unknown,38.83321784928045,-76.39980746902322,D24HourMean,Annually,Mean,8e-4
M12116,Unknown,38.8338793932752,-76.34347558068941,D24HourMean,Annually,Mean,8.2e-4
M12117,Unknown,38.8345137815905,-76.28714187944419,D24HourMean,Annually,Mean,8.5e-4
M12118,Unknown,38.83512101164976,-76.23080644120886,D24HourMean,Annually,Mean,9.2e-4
M12119,Unknown,38.83570108098653,-76.17446934191942,D24HourMean,Annually,Mean,9.7e-4
M12120,Unknown,38.83625398724456,-76.11813065752601,D24HourMean,Annually,Mean,9.7e-4
M12121,Unknown,38.836779728177824,-76.0617904639922,D24HourMean,Annually,Mean,9.5e-4
M12122,Unknown,38.86494000170427,-77.18956471494556,D24HourMean,Annually,Mean,6.4e-4
M12123,Unknown,38.86598301482064,-77.13323166490002,D24HourMean,Annually,Mean,7e-4
M12124,Unknown,38.86699887770756,-77.07689573412861,D24HourMean,Annually,Mean,7.6e-4
M12125,Unknown,38.867987586239934,-77.02055699845815,D24HourMean,Annually,Mean,8.3e-4
M12126,Unknown,38.868949136402485,-76.96421553373925,D24HourMean,Annually,Mean,7.5e-4
M12127,Unknown,38.86988352428996,-76.90787141584562,D24HourMean,Annually,Mean,7.3e-4
M12128,Unknown,38.870790746107026,-76.85152472067354,D24HourMean,Annually,Mean,8.1e-4
M12129,Unknown,38.87167079816841,-76.79517552414113,D24HourMean,Annually,Mean,8.4e-4
M12130,Unknown,38.8725236768989,-76.73882390218772,D24HourMean,Annually,Mean,8.8e-4
M12131,Unknown,38.87334937883339,-76.68246993077325,D24HourMean,Annually,Mean,0.00107
