MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M12201,Unknown,38.82113140543372,-77.18689649478962,D24HourMean,Annually,Mean,0.53312
M12202,Unknown,38.82216974148468,-77.13073038012763,D24HourMean,Annually,Mean,0.60778
M12203,Unknown,38.82318109683348,-77.07456140666729,D24HourMean,Annually,Mean,0.58748
M12204,Unknown,38.82416546739614,-77.01838964952401,D24HourMean,Annually,Mean,0.66618
M12205,Unknown,38.82512284919729,-76.96221518383665,D24HourMean,Annually,Mean,0.65685
M12206,Unknown,38.826053238370186,-76.9060380847669,D24HourMean,Annually,Mean,0.87236
M12207,Unknown,38.826956631156776,-76.84985842749865,D24HourMean,Annually,Mean,0.73229
M12208,Unknown,38.82783302390776,-76.79367628723733,D24HourMean,Annually,Mean,0.83717
M12209,Unknown,38.82868241308258,-76.73749173920936,D24HourMean,Annually,Mean,1.10464
M12210,Unknown,38.82950479524953,-76.68130485866138,D24HourMean,Annually,Mean,0.88471
M12211,Unknown,38.830300167085724,-76.62511572085977,D24HourMean,Annually,Mean,0.86222
M12212,Unknown,38.83106852537721,-76.56892440108993,D24HourMean,Annually,Mean,0.73793
M12213,Unknown,38.83180986701893,-76.51273097465565,D24HourMean,Annually,Mean,0.57647
M12214,Unknown,38.832524189014826,-76.45653551687852,D24HourMean,Annually,Mean,0.86732
M12215,Unknown,38.833211488477794,-76.40033810309724,D24HourMean,Annually,Mean,0.60986
M12216,Unknown,38.83387176262982,-76.34413880866704,D24HourMean,Annually,Mean,0.68112
M12217,Unknown,38.83450500880194,-76.28793770895902,D24HourMean,Annually,Mean,0.66437
M12218,Unknown,38.83511122443425,-76.2317348793595,D24HourMean,Annually,Mean,0.57789
M12219,Unknown,38.835690407076044,-76.17553039526942,D24HourMean,Annually,Mean,0.61398
M12220,Unknown,38.83624255438572,-76.11932433210369,D24HourMean,Annually,Mean,0.56356
M12221,Unknown,38.83676766413087,-76.06311676529052,D24HourMean,Annually,Mean,0.54405
M12222,Unknown,38.86506850126636,-77.18824250204345,D24HourMean,Annually,Mean,0.62448
M12223,Unknown,38.86610845815047,-77.13204188251507,D24HourMean,Annually,Mean,0.58877
M12224,Unknown,38.867121392260835,-77.0758383973859,D24HourMean,Annually,Mean,0.66487
M12225,Unknown,38.868107299503514,-77.01963212194956,D24HourMean,Annually,Mean,0.65463
M12226,Unknown,38.86906617589348,-76.9634231315232,D24HourMean,Annually,Mean,0.70199
M12227,Unknown,38.86999801755458,-76.9072115014469,D24HourMean,Annually,Mean,0.75712
M12228,Unknown,38.870902820719635,-76.85099730708302,D24HourMean,Annually,Mean,0.94729
M12229,Unknown,38.871780581730455,-76.7947806238156,D24HourMean,Annually,Mean,0.82565
M12230,Unknown,38.8726312970379,-76.73856152704967,D24HourMean,Annually,Mean,1.19044
M12231,Unknown,38.87345496320189,-76.68234009221065,D24HourMean,Annually,Mean,0.96483
M12232,Unknown,38.87425157689148,-76.62611639474378,D24HourMean,Annually,Mean,0.93351
M12233,Unknown,38.87502113488488,-76.5698905101133,D24HourMean,Annually,Mean,0.79866
M12234,Unknown,38.875763634069486,-76.51366251380203,D24HourMean,Annually,Mean,0.74583
M12235,Unknown,38.87647907144194,-76.45743248131062,D24HourMean,Annually,Mean,0.88193
M12236,Unknown,38.87716744410814,-76.40120048815692,D24HourMean,Annually,Mean,0.76844
M12237,Unknown,38.877828749283296,-76.34496660987534,D24HourMean,Annually,Mean,0.72105
M12238,Unknown,38.878462984291936,-76.28873092201627,D24HourMean,Annually,Mean,0.66266
M12239,Unknown,38.87907014656798,-76.23249350014537,D24HourMean,Annually,Mean,0.65993
M12240,Unknown,38.879650233654694,-76.17625441984298,D24HourMean,Annually,Mean,0.61237
M12241,Unknown,38.88020324320482,-76.12001375670344,D24HourMean,Annually,Mean,0.59277
M12242,Unknown,38.880729172980494,-76.06377158633454,D24HourMean,Annually,Mean,0.64199
M12243,Unknown,38.90900522624088,-77.1895914501716,D24HourMean,Annually,Mean,0.62577
M12244,Unknown,38.91004680592578,-77.13335625050729,D24HourMean,Annually,Mean,0.69441
M12245,Unknown,38.91106132071446,-77.07711817841559,D24HourMean,Annually,Mean,0.65611
M12246,Unknown,38.912048766503034,-77.02087730936893,D24HourMean,Annually,Mean,0.74596
M12247,Unknown,38.91300913929676,-76.9646337188634,D24HourMean,Annually,Mean,0.77921
M12248,Unknown,38.91394243521008,-76.90838748241808,D24HourMean,Annually,Mean,0.76617
M12249,Unknown,38.91484865046664,-76.85213867557445,D24HourMean,Annually,Mean,1.06625
M12250,Unknown,38.915727781399355,-76.79588737389577,D24HourMean,Annually,Mean,0.9055
M12251,Unknown,38.91657982445044,-76.73963365296636,D24HourMean,Annually,Mean,1.18973
M12252,Unknown,38.91740477617145,-76.68337758839102,D24HourMean,Annually,Mean,1.0436
M12253,Unknown,38.91820263322334,-76.62711925579443,D24HourMean,Annually,Mean,1.01774
M12254,Unknown,38.91897339237646,-76.57085873082043,D24HourMean,Annually,Mean,0.94947
M12255,Unknown,38.919717050510656,-76.51459608913143,D24HourMean,Annually,Mean,0.95063
M12256,Unknown,38.92043360461524,-76.4583314064078,D24HourMean,Annually,Mean,0.79388
M12257,Unknown,38.92112305178909,-76.40206475834712,D24HourMean,Annually,Mean,0.85807
M12258,Unknown,38.92178538924061,-76.3457962206637,D24HourMean,Annually,Mean,0.80686
M12259,Unknown,38.92242061428782,-76.28952586908781,D24HourMean,Annually,Mean,0.73493
M12260,Unknown,38.9230287243584,-76.23325377936509,D24HourMean,Annually,Mean,0.69097
M12261,Unknown,38.923609716989645,-76.17698002725591,D24HourMean,Annually,Mean,0.66165
M12262,Unknown,38.92416358982856,-76.12070468853473,D24HourMean,Annually,Mean,0.72114
M12263,Unknown,38.924690340631855,-76.06442783898946,D24HourMean,Annually,Mean,0.58688
M12264,Unknown,38.95294158014072,-77.19094334617944,D24HourMean,Annually,Mean,0.52114
M12265,Unknown,38.95398478459959,-77.13467349093095,D24HourMean,Annually,Mean,0.68415
