MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M12601,Unknown,38.82322872087817,-77.1856351847826,D24HourMean,Annually,Mean,0.00987
M12602,Unknown,38.82427132925972,-77.12920236903699,D24HourMean,Annually,Mean,0.01051
M12603,Unknown,38.82528669962806,-77.07276666927648,D24HourMean,Annually,Mean,0.01238
M12604,Unknown,38.826274827844045,-77.01632816169392,D24HourMean,Annually,Mean,0.01188
M12605,Unknown,38.827235709879176,-76.9598869225061,D24HourMean,Annually,Mean,0.0099
M12606,Unknown,38.82816934181572,-76.90344302795297,D24HourMean,Annually,Mean,0.01095
M12607,Unknown,38.82907571984668,-76.84699655429714,D24HourMean,Annually,Mean,0.01151
M12608,Unknown,38.82995484027589,-76.79054757782313,D24HourMean,Annually,Mean,0.01122
M12609,Unknown,38.83080669951804,-76.73409617483678,D24HourMean,Annually,Mean,0.01291
M12610,Unknown,38.83163129409872,-76.67764242166459,D24HourMean,Annually,Mean,0.01504
M12611,Unknown,38.83242862065444,-76.62118639465305,D24HourMean,Annually,Mean,0.01551
M12612,Unknown,38.833198675932714,-76.56472817016802,D24HourMean,Annually,Mean,0.01449
M12613,Unknown,38.83394145679206,-76.50826782459409,D24HourMean,Annually,Mean,0.0105
M12614,Unknown,38.834656960202075,-76.45180543433389,D24HourMean,Annually,Mean,0.01109
M12615,Unknown,38.8353451832434,-76.39534107580751,D24HourMean,Annually,Mean,0.00842
M12616,Unknown,38.83600612310782,-76.33887482545174,D24HourMean,Annually,Mean,0.00948
M12617,Unknown,38.836639777098284,-76.28240675971956,D24HourMean,Annually,Mean,0.01182
M12618,Unknown,38.837246142628935,-76.22593695507938,D24HourMean,Annually,Mean,0.01885
M12619,Unknown,38.83782521722511,-76.16946548801444,D24HourMean,Annually,Mean,0.01443
M12620,Unknown,38.83837699852341,-76.11299243502214,D24HourMean,Annually,Mean,0.00954
M12621,Unknown,38.83890148427172,-76.0565178726134,D24HourMean,Annually,Mean,0.01081
M12622,Unknown,38.86701041193341,-77.18697575250543,D24HourMean,Annually,Mean,0.01152
M12623,Unknown,38.868054642031076,-77.1305083881391,D24HourMean,Annually,Mean,0.01149
M12624,Unknown,38.86907159179362,-77.07403813291938,D24HourMean,Annually,Mean,0.01202
M12625,Unknown,38.87006125707188,-77.01756506321925,D24HourMean,Annually,Mean,0.01395
M12626,Unknown,38.8710236338276,-76.96108925543568,D24HourMean,Annually,Mean,0.01262
M12627,Unknown,38.87195871813353,-76.90461078598896,D24HourMean,Annually,Mean,0.01165
M12628,Unknown,38.87286650617349,-76.84812973132212,D24HourMean,Annually,Mean,0.01225
M12629,Unknown,38.87374699424232,-76.79164616790015,D24HourMean,Annually,Mean,0.01308
M12630,Unknown,38.874600178746036,-76.73516017220953,D24HourMean,Annually,Mean,0.0127
M12631,Unknown,38.8754260562018,-76.67867182075742,D24HourMean,Annually,Mean,0.01577
M12632,Unknown,38.87622462323801,-76.62218119007107,D24HourMean,Annually,Mean,0.01735
M12633,Unknown,38.87699587659423,-76.56568835669721,D24HourMean,Annually,Mean,0.01596
M12634,Unknown,38.877739813121416,-76.50919339720133,D24HourMean,Annually,Mean,0.01153
M12635,Unknown,38.878456429781785,-76.4526963881671,D24HourMean,Annually,Mean,0.01224
M12636,Unknown,38.87914572364891,-76.39619740619564,D24HourMean,Annually,Mean,0.00918
M12637,Unknown,38.879807691907786,-76.33969652790493,D24HourMean,Annually,Mean,0.01061
M12638,Unknown,38.8804423318548,-76.28319382992915,D24HourMean,Annually,Mean,0.01956
M12639,Unknown,38.88104964089784,-76.22668938891798,D24HourMean,Annually,Mean,0.01884
M12640,Unknown,38.88162961655624,-76.170183281536,D24HourMean,Annually,Mean,0.0107
M12641,Unknown,38.88218225646086,-76.11367558446203,D24HourMean,Annually,Mean,0.01243
M12642,Unknown,38.882707558354134,-76.05716637438846,D24HourMean,Annually,Mean,0.0146
M12643,Unknown,38.91079173478697,-77.18831923887312,D24HourMean,Annually,Mean,0.01522
M12644,Unknown,38.9118375885626,-77.13181725078715,D24HourMean,Annually,Mean,0.01356
M12645,Unknown,38.91285611963025,-77.07531236498505,D24HourMean,Annually,Mean,0.01356
M12646,Unknown,38.91384732383064,-77.01880465802057,D24HourMean,Annually,Mean,0.01425
M12647,Unknown,38.91481119711577,-76.96229420647151,D24HourMean,Annually,Mean,0.01576
M12648,Unknown,38.91574773554886,-76.90578108693917,D24HourMean,Annually,Mean,0.01381
M12649,Unknown,38.916656935304445,-76.84926537604757,D24HourMean,Annually,Mean,0.01402
M12650,Unknown,38.917538792668445,-76.7927471504429,D24HourMean,Annually,Mean,0.01572
M12651,Unknown,38.91839330403812,-76.73622648679283,D24HourMean,Annually,Mean,0.0136
M12652,Unknown,38.9192204659222,-76.67970346178586,D24HourMean,Annually,Mean,0.01628
M12653,Unknown,38.92002027494088,-76.62317815213065,D24HourMean,Annually,Mean,0.01954
M12654,Unknown,38.92079272782587,-76.56665063455542,D24HourMean,Annually,Mean,0.01753
M12655,Unknown,38.921537821420436,-76.5101209858072,D24HourMean,Annually,Mean,0.01422
M12656,Unknown,38.92225555267946,-76.45358928265132,D24HourMean,Annually,Mean,0.01248
M12657,Unknown,38.92294591866941,-76.39705560187063,D24HourMean,Annually,Mean,0.01203
M12658,Unknown,38.92360891656845,-76.34052002026489,D24HourMean,Annually,Mean,0.01854
M12659,Unknown,38.92424454366642,-76.28398261465014,D24HourMean,Annually,Mean,0.02427
M12660,Unknown,38.92485279736489,-76.22744346185799,D24HourMean,Annually,Mean,0.01216
M12661,Unknown,38.925433675177196,-76.17090263873499,D24HourMean,Annually,Mean,0.0145
M12662,Unknown,38.92598717472845,-76.11436022214201,D24HourMean,Annually,Mean,0.01724
M12663,Unknown,38.92651329375561,-76.05781628895355,D24HourMean,Annually,Mean,0.01623
M12664,Unknown,38.95457268922474,-77.18966565081381,D24HourMean,Annually,Mean,0.01844
M12665,Unknown,38.955620168645744,-77.13312896373154,D24HourMean,Annually,Mean,0.01885
M12666,Unknown,38.95664028293472,-77.07658937204609,D24HourMean,Annually,Mean,0.01637
M12667,Unknown,38.95763302792237,-77.02004695249259,D24HourMean,Annually,Mean,0.01598
M12668,Unknown,38.958598399550816,-76.96350178183035,D24HourMean,Annually,Mean,0.0172
M12669,Unknown,38.959536393873776,-76.90695393684224,D24HourMean,Annually,Mean,0.01741
M12670,Unknown,38.96044700705648,-76.850403494334,D24HourMean,Annually,Mean,0.01541
M12671,Unknown,38.96133023537583,-76.79385053113359,D24HourMean,Annually,Mean,0.01567
M12672,Unknown,38.96218607522038,-76.73729512409055,D24HourMean,Annually,Mean,0.01557
M12673,Unknown,38.96301452309035,-76.68073735007533,D24HourMean,Annually,Mean,0.01941
M12674,Unknown,38.963815575597756,-76.62417728597867,D24HourMean,Annually,Mean,0.02236
M12675,Unknown,38.964589229466405,-76.5676150087109,D24HourMean,Annually,Mean,0.01933
M12676,Unknown,38.965335481531866,-76.51105059520131,D24HourMean,Annually,Mean,0.0177
M12677,Unknown,38.966054328741635,-76.45448412239745,D24HourMean,Annually,Mean,0.01311
M12678,Unknown,38.966745768155086,-76.39791566726457,D24HourMean,Annually,Mean,0.01559
M12679,Unknown,38.96740979694349,-76.34134530678485,D24HourMean,Annually,Mean,0.02985
M12680,Unknown,38.96804641239016,-76.2847731179568,D24HourMean,Annually,Mean,0.01476
M12681,Unknown,38.968655611890334,-76.22819917779464,D24HourMean,Annually,Mean,0.01714
M12682,Unknown,38.969237392951314,-76.17162356332757,D24HourMean,Annually,Mean,0.02057
M12683,Unknown,38.969791753192474,-76.1150463515991,D24HourMean,Annually,Mean,0.01711
M12684,Unknown,38.970318690345216,-76.0584676196665,D24HourMean,Annually,Mean,0.01359
M12685,Unknown,38.99835327503297,-77.19101499528017,D24HourMean,Annually,Mean,0.01439
M12686,Unknown,38.99940238207228,-77.13444353374665,D24HourMean,Annually,Mean,0.02035
M12687,Unknown,39.000424081504285,-77.07786916069844,D24HourMean,Annually,Mean,0.0227
M12688,Unknown,39.001418369149526,-77.02129195305274,D24HourMean,Annually,Mean,0.02071
M12689,Unknown,39.002385240940335,-76.96471198775096,D24HourMean,Annually,Mean,0.01949
M12690,Unknown,39.00332469292082,-76.90812934175824,D24HourMean,Annually,Mean,0.02082
M12691,Unknown,39.004236721246926,-76.85154409206264,D24HourMean,Annually,Mean,0.01907
M12692,Unknown,39.005121322186525,-76.79495631567455,D24HourMean,Annually,Mean,0.01906
M12693,Unknown,39.00597849211937,-76.73836608962603,D24HourMean,Annually,Mean,0.02103
M12694,Unknown,39.00680822753722,-76.68177349097014,D24HourMean,Annually,Mean,0.02326
M12695,Unknown,39.00761052504387,-76.62517859678032,D24HourMean,Annually,Mean,0.02595
M12696,Unknown,39.00838538135514,-76.56858148414965,D24HourMean,Annually,Mean,0.0208
M12697,Unknown,39.00913279329896,-76.51198223019028,D24HourMean,Annually,Mean,0.02077
M12698,Unknown,39.00985275781539,-76.45538091203274,D24HourMean,Annually,Mean,0.01622
M12699,Unknown,39.010545271956644,-76.39877760682522,D24HourMean,Annually,Mean,0.03301
M12700,Unknown,39.011210332887195,-76.34217239173303,D24HourMean,Annually,Mean,0.0218
M12701,Unknown,39.011847937883694,-76.28556534393782,D24HourMean,Annually,Mean,0.0208
M12702,Unknown,39.012458084335066,-76.22895654063701,D24HourMean,Annually,Mean,0.02466
M12703,Unknown,39.01304076974259,-76.1723460590431,D24HourMean,Annually,Mean,0.01745
M12704,Unknown,39.01359599171982,-76.1157339763829,D24HourMean,Annually,Mean,0.0165
M12705,Unknown,39.014123747992684,-76.05912036989712,D24HourMean,Annually,Mean,0.01189
M12706,Unknown,39.042133491998406,-77.19236727924957,D24HourMean,Annually,Mean,0.01551
M12707,Unknown,39.043184228634516,-77.13576096763086,D24HourMean,Annually,Mean,0.01393
M12708,Unknown,39.044207515136605,-77.07915173756145,D24HourMean,Annually,Mean,0.02079
M12709,Unknown,39.04520334731509,-77.02253966614118,D24HourMean,Annually,Mean,0.02755
M12710,Unknown,39.04617172109241,-76.96592483049429,D24HourMean,Annually,Mean,0.02678
M12711,Unknown,39.04711263250307,-76.90930730776876,D24HourMean,Annually,Mean,0.02456
M12712,Unknown,39.04802607769373,-76.85268717513563,D24HourMean,Annually,Mean,0.02544
M12713,Unknown,39.04891205292312,-76.79606450978841,D24HourMean,Annually,Mean,0.02189
