MonitorName,MonitorDescription,Latitude,Longitude,Metric,SeasonalMetric,Statistic,Values
M12701,Unknown,38.82322872087817,-77.1856351847826,D24HourMean,Annually,Mean,8.8e-4
M12702,Unknown,38.82427132925972,-77.12920236903699,D24HourMean,Annually,Mean,0.001
M12703,Unknown,38.82528669962806,-77.07276666927648,D24HourMean,Annually,Mean,0.00103
M12704,Unknown,38.826274827844045,-77.01632816169392,D24HourMean,Annually,Mean,0.00101
M12705,Unknown,38.827235709879176,-76.9598869225061,D24HourMean,Annually,Mean,9.4e-4
M12706,Unknown,38.82816934181572,-76.90344302795297,D24HourMean,Annually,Mean,9.9e-4
M12707,Unknown,38.82907571984668,-76.84699655429714,D24HourMean,Annually,Mean,0.00106
M12708,Unknown,38.82995484027589,-76.79054757782313,D24HourMean,Annually,Mean,0.00107
M12709,Unknown,38.83080669951804,-76.73409617483678,D24HourMean,Annually,Mean,0.00122
M12710,Unknown,38.83163129409872,-76.67764242166459,D24HourMean,Annually,Mean,0.00134
M12711,Unknown,38.83242862065444,-76.62118639465305,D24HourMean,Annually,Mean,0.00118
M12712,Unknown,38.833198675932714,-76.56472817016802,D24HourMean,Annually,Mean,0.00113
M12713,Unknown,38.83394145679206,-76.50826782459409,D24HourMean,Annually,Mean,0.00112
M12714,Unknown,38.834656960202075,-76.45180543433389,D24HourMean,Annually,Mean,0.00116
M12715,Unknown,38.8353451832434,-76.39534107580751,D24HourMean,Annually,Mean,0.00115
M12716,Unknown,38.83600612310782,-76.33887482545174,D24HourMean,Annually,Mean,0.0012
M12717,Unknown,38.836639777098284,-76.28240675971956,D24HourMean,Annually,Mean,0.00124
M12718,Unknown,38.837246142628935,-76.22593695507938,D24HourMean,Annually,Mean,0.00135
M12719,Unknown,38.83782521722511,-76.16946548801444,D24HourMean,Annually,Mean,0.0014
M12720,Unknown,38.83837699852341,-76.11299243502214,D24HourMean,Annually,Mean,0.00141
M12721,Unknown,38.83890148427172,-76.0565178726134,D24HourMean,Annually,Mean,0.00137
M12722,Unknown,38.86701041193341,-77.18697575250543,D24HourMean,Annually,Mean,9.2e-4
M12723,Unknown,38.868054642031076,-77.1305083881391,D24HourMean,Annually,Mean,0.00101
M12724,Unknown,38.86907159179362,-77.07403813291938,D24HourMean,Annually,Mean,0.0011
M12725,Unknown,38.87006125707188,-77.01756506321925,D24HourMean,Annually,Mean,0.0012
M12726,Unknown,38.8710236338276,-76.96108925543568,D24HourMean,Annually,Mean,0.0011
M12727,Unknown,38.87195871813353,-76.90461078598896,D24HourMean,Annually,Mean,0.00106
M12728,Unknown,38.87286650617349,-76.84812973132212,D24HourMean,Annually,Mean,0.00117
M12729,Unknown,38.87374699424232,-76.79164616790015,D24HourMean,Annually,Mean,0.0012
M12730,Unknown,38.874600178746036,-76.73516017220953,D24HourMean,Annually,Mean,0.0013
M12731,Unknown,38.8754260562018,-76.67867182075742,D24HourMean,Annually,Mean,0.00155
M12732,Unknown,38.87622462323801,-76.62218119007107,D24HourMean,Annually,Mean,0.00132
M12733,Unknown,38.87699587659423,-76.56568835669721,D24HourMean,Annually,Mean,0.00125
M12734,Unknown,38.877739813121416,-76.50919339720133,D24HourMean,Annually,Mean,0.00128
M12735,Unknown,38.878456429781785,-76.4526963881671,D24HourMean,Annually,Mean,0.00131
M12736,Unknown,38.87914572364891,-76.39619740619564,D24HourMean,Annually,Mean,0.00132
M12737,Unknown,38.879807691907786,-76.33969652790493,D24HourMean,Annually,Mean,0.00138
M12738,Unknown,38.8804423318548,-76.28319382992915,D24HourMean,Annually,Mean,0.00149
M12739,Unknown,38.88104964089784,-76.22668938891798,D24HourMean,Annually,Mean,0.00159
M12740,Unknown,38.88162961655624,-76.170183281536,D24HourMean,Annually,Mean,0.0016
M12741,Unknown,38.88218225646086,-76.11367558446203,D24HourMean,Annually,Mean,0.00158
M12742,Unknown,38.882707558354134,-76.05716637438846,D24HourMean,Annually,Mean,0.00154
M12743,Unknown,38.91079173478697,-77.18831923887312,D24HourMean,Annually,Mean,9.4e-4
M12744,Unknown,38.9118375885626,-77.13181725078715,D24HourMean,Annually,Mean,0.00103
M12745,Unknown,38.91285611963025,-77.07531236498505,D24HourMean,Annually,Mean,0.00116
M12746,Unknown,38.91384732383064,-77.01880465802057,D24HourMean,Annually,Mean,0.00129
M12747,Unknown,38.91481119711577,-76.96229420647151,D24HourMean,Annually,Mean,0.00133
M12748,Unknown,38.91574773554886,-76.90578108693917,D24HourMean,Annually,Mean,0.00126
M12749,Unknown,38.916656935304445,-76.84926537604757,D24HourMean,Annually,Mean,0.00127
M12750,Unknown,38.917538792668445,-76.7927471504429,D24HourMean,Annually,Mean,0.00137
M12751,Unknown,38.91839330403812,-76.73622648679283,D24HourMean,Annually,Mean,0.0014
M12752,Unknown,38.9192204659222,-76.67970346178586,D24HourMean,Annually,Mean,0.00176
M12753,Unknown,38.92002027494088,-76.62317815213065,D24HourMean,Annually,Mean,0.0015
M12754,Unknown,38.92079272782587,-76.56665063455542,D24HourMean,Annually,Mean,0.00138
M12755,Unknown,38.921537821420436,-76.5101209858072,D24HourMean,Annually,Mean,0.00148
M12756,Unknown,38.92225555267946,-76.45358928265132,D24HourMean,Annually,Mean,0.0015
M12757,Unknown,38.92294591866941,-76.39705560187063,D24HourMean,Annually,Mean,0.00156
M12758,Unknown,38.92360891656845,-76.34052002026489,D24HourMean,Annually,Mean,0.00166
M12759,Unknown,38.92424454366642,-76.28398261465014,D24HourMean,Annually,Mean,0.00182
M12760,Unknown,38.92485279736489,-76.22744346185799,D24HourMean,Annually,Mean,0.00184
M12761,Unknown,38.925433675177196,-76.17090263873499,D24HourMean,Annually,Mean,0.00183
M12762,Unknown,38.92598717472845,-76.11436022214201,D24HourMean,Annually,Mean,0.00178
M12763,Unknown,38.92651329375561,-76.05781628895355,D24HourMean,Annually,Mean,0.00171
M12764,Unknown,38.95457268922474,-77.18966565081381,D24HourMean,Annually,Mean,0.00102
M12765,Unknown,38.955620168645744,-77.13312896373154,D24HourMean,Annually,Mean,0.00114
M12766,Unknown,38.95664028293472,-77.07658937204609,D24HourMean,Annually,Mean,0.00117
M12767,Unknown,38.95763302792237,-77.02004695249259,D24HourMean,Annually,Mean,0.00132
M12768,Unknown,38.958598399550816,-76.96350178183035,D24HourMean,Annually,Mean,0.0015
M12769,Unknown,38.959536393873776,-76.90695393684224,D24HourMean,Annually,Mean,0.00147
M12770,Unknown,38.96044700705648,-76.850403494334,D24HourMean,Annually,Mean,0.0014
M12771,Unknown,38.96133023537583,-76.79385053113359,D24HourMean,Annually,Mean,0.00152
M12772,Unknown,38.96218607522038,-76.73729512409055,D24HourMean,Annually,Mean,0.00155
M12773,Unknown,38.96301452309035,-76.68073735007533,D24HourMean,Annually,Mean,0.00195
M12774,Unknown,38.963815575597756,-76.62417728597867,D24HourMean,Annually,Mean,0.00175
M12775,Unknown,38.964589229466405,-76.5676150087109,D24HourMean,Annually,Mean,0.00161
M12776,Unknown,38.965335481531866,-76.51105059520131,D24HourMean,Annually,Mean,0.00173
M12777,Unknown,38.966054328741635,-76.45448412239745,D24HourMean,Annually,Mean,0.00176
M12778,Unknown,38.966745768155086,-76.39791566726457,D24HourMean,Annually,Mean,0.00187
M12779,Unknown,38.96740979694349,-76.34134530678485,D24HourMean,Annually,Mean,0.00209
M12780,Unknown,38.96804641239016,-76.2847731179568,D24HourMean,Annually,Mean,0.00215
M12781,Unknown,38.968655611890334,-76.22819917779464,D24HourMean,Annually,Mean,0.00214
M12782,Unknown,38.969237392951314,-76.17162356332757,D24HourMean,Annually,Mean,0.0021
M12783,Unknown,38.969791753192474,-76.1150463515991,D24HourMean,Annually,Mean,0.00197
M12784,Unknown,38.970318690345216,-76.0584676196665,D24HourMean,Annually,Mean,0.00181
M12785,Unknown,38.99835327503297,-77.19101499528017,D24HourMean,Annually,Mean,0.00113
M12786,Unknown,38.99940238207228,-77.13444353374665,D24HourMean,Annually,Mean,0.00119
M12787,Unknown,39.000424081504285,-77.07786916069844,D24HourMean,Annually,Mean,0.00124
M12788,Unknown,39.001418369149526,-77.02129195305274,D24HourMean,Annually,Mean,0.00137
M12789,Unknown,39.002385240940335,-76.96471198775096,D24HourMean,Annually,Mean,0.00156
M12790,Unknown,39.00332469292082,-76.90812934175824,D24HourMean,Annually,Mean,0.00176
