"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","510","0035","68104","2","39.232778","-76.579722","WGS84","Ambient Max Temperature","24 HOUR","","2000","Degrees Centigrade","No Events","133","100",".",".","56","61","0","Certification not required","0","0","","20.663158","9.306665",".","-1.7","","","36.4","2000-06-11 00:00","35","2000-06-02 00:00","34.4","2000-05-06 00:00","34.2","2000-05-09 00:00","21.8","28.6","32.4","33.9","34.4","35","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","68108","2","39.232778","-76.579722","WGS84","Average Ambient Pressure","24 HOUR","","2000","Millimeters (mercury)","No Events","133","100",".",".","56","61","0","Certification not required","0","0","","766.270677","7.631799",".","744","","","785","2000-12-23 00:00","783","2000-12-15 00:00","782","2000-02-21 00:00","782","2000-02-23 00:00","766","771","777","780","782","783","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","85101","1","39.232778","-76.579722","WGS84","PM10 - LC","24 HOUR","","2000","Micrograms/cubic meter (LC)","No Events","45","98",".",".","45","46","0","Certification not required","0","0","","34.933333","15.962171",".","12","","","89","2000-06-11 00:00","61","2000-04-30 00:00","60","2000-05-12 00:00","55","2000-09-15 00:00","35","45","52","60","89","89","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","43208","1","39.232778","-76.579722","WGS84","Freon 114","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.04","0.012756",".","0.02","","","0.12","2000-08-28 00:00","0.06","2000-10-09 00:00","0.06","2000-11-08 00:00","0.04","2000-01-01 00:00","0.04","0.04","0.04","0.06","0.06","0.12","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","43803","1","39.232778","-76.579722","WGS84","Chloroform","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.055833","0.055793",".","0.02","","","0.41","2000-11-08 00:00","0.17","2000-10-27 00:00","0.14","2000-02-24 00:00","0.13","2000-08-28 00:00","0.04","0.06","0.1","0.14","0.17","0.41","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","43813","1","39.232778","-76.579722","WGS84","1,1-Dichloroethane","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.000333","0.002582",".","0","","","0.02","2000-07-29 00:00","0","2000-01-01 00:00","0","2000-01-07 00:00","0","2000-01-13 00:00","0","0","0","0","0","0.02","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","43818","1","39.232778","-76.579722","WGS84","1,1,2,2-Tetrachloroethane","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.003333","0.020884",".","0","","","0.16","2000-10-21 00:00","0.02","2000-10-27 00:00","0.02","2000-11-08 00:00","0","2000-01-01 00:00","0","0","0","0.02","0.02","0.16","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","43819","1","39.232778","-76.579722","WGS84","Bromomethane","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.028333","0.07687",".","0.01","","","0.58","2000-02-24 00:00","0.2","2000-02-18 00:00","0.07","2000-03-07 00:00","0.04","2000-03-01 00:00","0.01","0.02","0.03","0.07","0.2","0.58","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","43820","1","39.232778","-76.579722","WGS84","1,1,2-Trichloroethane","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.002","0.006051",".","0","","","0.02","2000-03-01 00:00","0.02","2000-03-07 00:00","0.02","2000-06-29 00:00","0.02","2000-08-28 00:00","0","0","0.02","0.02","0.02","0.02","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0035","43824","1","39.232778","-76.579722","WGS84","Trichloroethylene","24 HOUR","","2000","Parts per billion Carbon","No Events","60","98",".",".","60","61","0","Certification not required","0","0","","0.075667","0.07103",".","0.02","","","0.4","2000-03-01 00:00","0.34","2000-10-27 00:00","0.26","2000-02-24 00:00","0.24","2000-11-08 00:00","0.06","0.08","0.12","0.26","0.34","0.4","1","","Maryland","Baltimore (City)","Baltimore","FMC-Fairfield","FMC Corporation ,1701 E Patapsco Avenue","Baltimore-Columbia-Towson, MD","AQS Data Mart"
