"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","003","1003","81102","2","39.169533","-76.627933","WGS84","PM10 Total 0-10um STP","1 HOUR","","2003","Micrograms/cubic meter (25 C)","No Events","3826","44",".",".","159","365","0","Uncertified (past due)","0","0","","16.180084","8.970437",".","0","","","86","2003-10-09 09:00","73","2003-10-09 10:00","67","2003-10-10 08:00","65","2003-07-05 02:00","15","21","28","33","40","44","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","81102","2","39.169533","-76.627933","WGS84","PM10 Total 0-10um STP","24-HR BLK AVG","PM10 24-hour 2006","2003","Micrograms/cubic meter (25 C)","No Events","159","44","0","0","159","365","0","Uncertified (past due)","0","0","","15.742138","6.365665","15.5820262483994","5","","","38","2003-10-10 00:00","35","2003-10-09 00:00","33","2003-07-05 00:00","31","2003-08-14 00:00","15","20","24","27","31","35","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68107","1","39.169533","-76.627933","WGS84","Sample Max Baro Pressure","24 HOUR","","2003","Millimeters (mercury)","No Events","117","100",".",".","61","61","0","Certification not required","0","0","","771.282051","7.515325",".","755","","","790","2003-12-05 00:00","787","2003-12-08 00:00","786","2003-01-27 00:00","786","2003-10-03 00:00","771","777","781","785","786","787","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68108","1","39.169533","-76.627933","WGS84","Average Ambient Pressure","24 HOUR","","2003","Millimeters (mercury)","No Events","117","100",".",".","61","61","0","Certification not required","0","0","","764.854701","6.511614",".","750","","","780","2003-01-27 00:00","778","2003-02-26 00:00","777","2003-01-30 00:00","776","2003-01-12 00:00","764","770","774","776","777","778","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68109","1","39.169533","-76.627933","WGS84","Elapsed Sample Time","24 HOUR","","2003","Minutes","No Events","117","100",".",".","61","61","0","Certification not required","0","0","","1437.760684","9.959097",".","1381","","","1440","2003-01-03 00:00","1440","2003-01-06 00:00","1440","2003-01-09 00:00","1440","2003-01-12 00:00","1440","1440","1440","1440","1440","1440","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","81102","1","39.169533","-76.627933","WGS84","PM10 Total 0-10um STP","24 HOUR","PM10 24-hour 2006","2003","Micrograms/cubic meter (25 C)","No Events","24","39","0","0","24","61","0","Certified","0","0","","20.875","8.522668","21.1642857142857","5","","","42","2003-04-03 00:00","37","2003-04-15 00:00","32","2003-02-20 00:00","28","2003-05-15 00:00","20","25","32","37","42","42","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","88101","1","39.169533","-76.627933","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2003","Micrograms/cubic meter (LC)","No Events","117","97","4","4","117","121","0","Certified","0","0","","14.775214","9.189902","14.7885591133004","1.9","","","61.4","2003-06-26 00:00","39.3","2003-07-05 00:00","39.2","2003-01-30 00:00","38.2","2003-08-22 00:00","12.7","17.7","27.2","32.5","39.2","39.3","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","88101","1","39.169533","-76.627933","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2003","Micrograms/cubic meter (LC)","No Events","117","97",".",".","117","121","0","Certified","0","0","","14.775214","9.189902","14.7885591133004","1.9","","","61.4","2003-06-26 00:00","39.3","2003-07-05 00:00","39.2","2003-01-30 00:00","38.2","2003-08-22 00:00","12.7","17.7","27.2","32.5","39.2","39.3","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68101","1","39.169533","-76.627933","WGS84","Sample Flow Rate- CV","24 HOUR","","2003","Percent","No Events","117","100",".",".","61","61","0","Certification not required","0","0","","0.171795","0.145535",".","0.1","","","1","2003-01-18 00:00","0.8","2003-01-27 00:00","0.7","2003-01-24 00:00","0.6","2003-02-14 00:00","0.1","0.2","0.2","0.5","0.7","0.8","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","1003","68102","1","39.169533","-76.627933","WGS84","Sample Volume","24 HOUR","","2003","Cubic meter","No Events","117","100",".",".","61","61","0","Certification not required","0","0","","23.973504","0.123451",".","23.3","","","24","2003-01-03 00:00","24","2003-01-06 00:00","24","2003-01-09 00:00","24","2003-01-12 00:00","24","24","24","24","24","24","1","","Maryland","Anne Arundel","Glen Burnie","GLEN BURNIE","ANNE ARUNDEL CO. PUBLIC WORKS BLDG. 7409 BALTIMORE ANNAPOLIS BLVD.","Baltimore-Columbia-Towson, MD","AQS Data Mart"
