"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","510","0040","43828","1","39.297733","-76.604603","WGS84","Bromodichloromethane","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.003036","0.005366",".","0","","","0.02","2006-02-16 00:00","0.02","2006-10-14 00:00","0.01","2006-01-11 00:00","0.01","2006-01-29 00:00","0","0.01","0.01","0.01","0.02","0.02","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43232","1","39.297733","-76.604603","WGS84","n-Heptane","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.8225","0.592956",".","0.21","","","2.94","2006-02-16 00:00","2.38","2006-01-29 00:00","2.31","2006-02-22 00:00","2.1","2006-12-13 00:00","0.7","0.91","1.68","2.31","2.38","2.94","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43560","1","39.297733","-76.604603","WGS84","Methyl isobutyl ketone","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.276429","0.308005",".","0","","","1.38","2006-12-13 00:00","0.96","2006-11-01 00:00","0.9","2006-02-16 00:00","0.84","2006-01-11 00:00","0.18","0.48","0.78","0.9","0.96","1.38","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43832","1","39.297733","-76.604603","WGS84","Dibromochloromethane","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0","0",".","0","","","0","2006-01-05 00:00","0","2006-01-11 00:00","0","2006-01-17 00:00","0","2006-01-23 00:00","0","0","0","0","0","0","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","45202","1","39.297733","-76.604603","WGS84","Toluene","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","5.54875","3.574688",".","0.98","","","17.64","2006-02-16 00:00","14.14","2006-01-29 00:00","13.16","2006-12-13 00:00","12.81","2006-10-14 00:00","4.62","7.14","11.06","13.16","14.14","17.64","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","88502","3","39.297733","-76.604603","WGS84","Acceptable PM2.5 AQI & Speciation Mass","1 HOUR","","2006","Micrograms/cubic meter (LC)","No Events","8473","97",".",".","351","365","0","Certification not required","0","0","","14.669539","8.433785",".","-0.3","","","66.7","2006-07-18 14:00","63.2","2006-07-18 13:00","62.8","2006-07-18 17:00","61.5","2006-07-18 15:00","12.4","18.9","26.5","31.4","37.3","42.1","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","88502","3","39.297733","-76.604603","WGS84","Acceptable PM2.5 AQI & Speciation Mass","24-HR BLK AVG","","2006","Micrograms/cubic meter (LC)","No Events","351","96",".",".","351","365","0","Certification not required","0","0","","14.622792","6.924519",".","4.5","","","43.6","2006-08-02 00:00","39.7","2006-08-01 00:00","36.1","2006-07-18 00:00","35.7","2006-09-08 00:00","12.9","18.7","24.2","27.3","32.5","35.7","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43207","1","39.297733","-76.604603","WGS84","Freon 113","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.156071","0.013971",".","0.12","","","0.18","2006-04-29 00:00","0.18","2006-05-11 00:00","0.18","2006-07-04 00:00","0.18","2006-07-28 00:00","0.16","0.16","0.18","0.18","0.18","0.18","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43218","1","39.297733","-76.604603","WGS84","1,3-Butadiene","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.443571","0.351477",".","0.08","","","1.6","2006-02-16 00:00","1.48","2006-01-29 00:00","1.44","2006-12-13 00:00","1.12","2006-11-07 00:00","0.32","0.56","0.96","1.44","1.48","1.6","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43801","1","39.297733","-76.604603","WGS84","Chloromethane","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.57125","0.054174",".","0.5","","","0.74","2006-07-28 00:00","0.73","2006-07-04 00:00","0.7","2006-06-22 00:00","0.67","2006-01-29 00:00","0.56","0.6","0.64","0.7","0.73","0.74","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43803","1","39.297733","-76.604603","WGS84","Chloroform","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.039286","0.018572",".","0.02","","","0.09","2006-09-08 00:00","0.09","2006-10-08 00:00","0.09","2006-10-14 00:00","0.08","2006-10-02 00:00","0.03","0.05","0.06","0.09","0.09","0.09","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43811","1","39.297733","-76.604603","WGS84","Trichlorofluoromethane","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.28","0.031795",".","0.23","","","0.38","2006-08-15 00:00","0.37","2006-09-08 00:00","0.34","2006-03-30 00:00","0.34","2006-07-28 00:00","0.27","0.3","0.32","0.34","0.37","0.38","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43814","1","39.297733","-76.604603","WGS84","Methyl chloroform","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.033929","0.012012",".","0.02","","","0.08","2006-02-28 00:00","0.06","2006-03-18 00:00","0.04","2006-01-11 00:00","0.04","2006-01-29 00:00","0.04","0.04","0.04","0.04","0.06","0.08","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43817","1","39.297733","-76.604603","WGS84","Tetrachloroethylene","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.107857","0.104355",".","0.02","","","0.56","2006-02-16 00:00","0.46","2006-09-08 00:00","0.34","2006-12-13 00:00","0.28","2006-10-14 00:00","0.08","0.12","0.24","0.34","0.46","0.56","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43823","1","39.297733","-76.604603","WGS84","Dichlorodifluoromethane","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.5075","0.027253",".","0.45","","","0.59","2006-09-08 00:00","0.55","2006-09-02 00:00","0.55","2006-11-25 00:00","0.54","2006-07-28 00:00","0.51","0.52","0.54","0.55","0.55","0.59","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","45109","1","39.297733","-76.604603","WGS84","m/p Xylene","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","2.791429","2.16453",".","0.32","","","8.88","2006-02-16 00:00","8.32","2006-01-11 00:00","7.92","2006-12-13 00:00","7.04","2006-11-07 00:00","2","3.12","6.72","7.92","8.32","8.88","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","45201","1","39.297733","-76.604603","WGS84","Benzene","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","3.071786","6.897238",".","0.48","","","52.68","2006-05-11 00:00","7.38","2006-02-16 00:00","6.18","2006-12-13 00:00","5.94","2006-01-29 00:00","1.68","2.82","4.14","6.18","7.38","52.68","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","45203","1","39.297733","-76.604603","WGS84","Ethylbenzene","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","1.072857","0.764108",".","0.16","","","3.2","2006-02-16 00:00","2.88","2006-12-13 00:00","2.8","2006-01-11 00:00","2.56","2006-01-29 00:00","0.8","1.28","2.48","2.8","2.88","3.2","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","45204","1","39.297733","-76.604603","WGS84","o-Xylene","24 HOUR","","2006","Parts per billion Carbon","No Events","56","92",".",".","56","61","0","Certification not required","0","0","","0.997143","0.717647",".","0.16","","","3.12","2006-02-16 00:00","2.72","2006-12-13 00:00","2.56","2006-11-07 00:00","2.4","2006-01-29 00:00","0.72","1.2","2.32","2.56","2.72","3.12","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
