"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","003","2002","68109","2","39.1589106657134","-76.5110252153926","NAD83","Elapsed Sample Time","24 HOUR","","2003","Minutes","No Events","55","90",".",".","55","61","0","Certification not required","0","0","","1438.709091","6.789624",".","1399","","","1440","2003-01-03 00:00","1440","2003-01-15 00:00","1440","2003-01-21 00:00","1440","2003-01-27 00:00","1440","1440","1440","1440","1440","1440","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","42401","1","39.1589106657134","-76.5110252153926","NAD83","Sulfur dioxide","1 HOUR","SO2 1-hour 2010","2003","Parts per billion","No Events","4296","49","1",".","180","365","0","Uncertified (past due)","0","0","","20.116667","18.965795",".","0","","","125","2003-03-09 19:00","75","2003-01-24 02:00","74","2003-01-29 13:00","73","2003-03-30 21:00","14","30","46","62","73","75","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","42401","1","39.1589106657134","-76.5110252153926","NAD83","Sulfur dioxide","3-HR BLK AVG","SO2 3-hour 1971","2003","Parts per billion","No Events","1420","49",".","0","180","365","0","Uncertified (past due)","0","0","","6.462958","8.271403",".","0","","","103.6","2003-03-09 20:00","69.3","2003-01-24 02:00","58.3","2003-01-24 05:00","56.6","2003-03-30 23:00","4","9","16","22","30.6","36.6","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","61101","1","39.1589106657134","-76.5110252153926","NAD83","Wind Speed - Scalar","1 HOUR","","2003","Knots","No Events","6196","71",".",".","257","365","0","Certification not required","0","0","","4.51551","2.982612",".","0.2","","","23.5","2003-09-18 16:00","22.6","2003-09-18 17:00","21.2","2003-09-18 18:00","20.6","2003-09-18 19:00","4","6.3","8.7","10.1","11.7","12.9","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","68101","1","39.1589106657134","-76.5110252153926","NAD83","Sample Flow Rate- CV","24 HOUR","","2003","Percent","No Events","111","100",".",".","59","61","0","Certification not required","0","0","","0.132432","0.04892",".","0.1","","","0.3","2003-10-24 00:00","0.2","2003-01-27 00:00","0.2","2003-05-30 00:00","0.2","2003-06-11 00:00","0.1","0.2","0.2","0.2","0.2","0.2","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","68101","2","39.1589106657134","-76.5110252153926","NAD83","Sample Flow Rate- CV","24 HOUR","","2003","Percent","No Events","55","90",".",".","55","61","0","Certification not required","0","0","","0.214545","0.044797",".","0.2","","","0.4","2003-01-15 00:00","0.4","2003-01-27 00:00","0.3","2003-01-21 00:00","0.3","2003-02-26 00:00","0.2","0.2","0.3","0.3","0.4","0.4","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","68102","1","39.1589106657134","-76.5110252153926","NAD83","Sample Volume","24 HOUR","","2003","Cubic meter","No Events","111","100",".",".","59","61","0","Certification not required","0","0","","23.98018","0.098921",".","23.4","","","24","2003-01-03 00:00","24","2003-01-06 00:00","24","2003-01-12 00:00","24","2003-01-15 00:00","24","24","24","24","24","24","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","68102","2","39.1589106657134","-76.5110252153926","NAD83","Sample Volume","24 HOUR","","2003","Cubic meter","No Events","55","90",".",".","55","61","0","Certification not required","0","0","","23.978182","0.114973",".","23.3","","","24","2003-01-03 00:00","24","2003-01-15 00:00","24","2003-01-21 00:00","24","2003-01-27 00:00","24","24","24","24","24","24","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","68103","1","39.1589106657134","-76.5110252153926","NAD83","Ambient Min Temperature","24 HOUR","","2003","Degrees Centigrade","No Events","111","100",".",".","59","61","0","Certification not required","0","0","","7.662162","9.965696",".","-14.2","","","23.7","2003-08-13 00:00","23.2","2003-08-04 00:00","22.7","2003-07-08 00:00","22.6","2003-08-01 00:00","7.2","16.9","20.8","22.1","22.7","23.2","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","003","2002","68103","2","39.1589106657134","-76.5110252153926","NAD83","Ambient Min Temperature","24 HOUR","","2003","Degrees Centigrade","No Events","55","90",".",".","55","61","0","Certification not required","0","0","","8.178182","9.199732",".","-10.2","","","23.3","2003-08-13 00:00","22.6","2003-06-26 00:00","22.6","2003-08-01 00:00","22.5","2003-07-08 00:00","7.2","15.5","20.4","22.6","22.6","23.3","1","","Maryland","Anne Arundel","Riviera Beach","","8515 JENKINS RD   RIVIERA BEACH   MD","Baltimore-Columbia-Towson, MD","AQS Data Mart"
