"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","510","0049","68101","1","39.261667","-76.6375","WGS84","Sample Flow Rate- CV","24 HOUR","","2000","Percent","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","0.121538","0.045043",".","0.1","","","0.3","2000-05-03 00:00","0.2","2000-03-19 00:00","0.2","2000-03-22 00:00","0.2","2000-06-05 00:00","0.1","0.1","0.2","0.2","0.2","0.3","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","68102","1","39.261667","-76.6375","WGS84","Sample Volume","24 HOUR","","2000","Cubic meter","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","23.981538","0.113044",".","23.1","","","24","2000-03-16 00:00","24","2000-03-19 00:00","24","2000-03-22 00:00","24","2000-04-09 00:00","24","24","24","24","24","24","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","68103","1","39.261667","-76.6375","WGS84","Ambient Min Temperature","24 HOUR","","2000","Degrees Centigrade","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","10.829231","8.949646",".","-12.2","","","22.8","2000-06-17 00:00","22.5","2000-08-31 00:00","22.2","2000-08-07 00:00","21.9","2000-05-09 00:00","12","18.5","21","21.9","22.5","22.8","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","68104","1","39.261667","-76.6375","WGS84","Ambient Max Temperature","24 HOUR","","2000","Degrees Centigrade","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","21.821538","9.899787",".","-2.9","","","35.7","2000-04-15 00:00","35.3","2000-03-22 00:00","33.7","2000-05-06 00:00","33.6","2000-05-09 00:00","23.7","28.8","32.5","33.6","35.3","35.7","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","68105","1","39.261667","-76.6375","WGS84","Average Ambient Temperature","24 HOUR","","2000","Degrees Centigrade","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","15.809231","9.211232",".","-7.6","","","27.4","2000-05-09 00:00","27.1","2000-04-15 00:00","27.1","2000-05-06 00:00","26.7","2000-08-10 00:00","17.6","23.5","26","26.7","27.1","27.4","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","68106","1","39.261667","-76.6375","WGS84","Sample Min Baro Pressure","24 HOUR","","2000","Millimeters (mercury)","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","756.615385","5.92846",".","746","","","772","2000-12-23 00:00","769","2000-09-06 00:00","769","2000-12-26 00:00","768","2000-03-19 00:00","756","761","765","768","769","772","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","68107","1","39.261667","-76.6375","WGS84","Sample Max Baro Pressure","24 HOUR","","2000","Millimeters (mercury)","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","766.569231","5.973821",".","755","","","783","2000-12-26 00:00","782","2000-12-23 00:00","781","2000-05-21 00:00","779","2000-03-19 00:00","765","769","775","779","782","783","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","68108","1","39.261667","-76.6375","WGS84","Average Ambient Pressure","24 HOUR","","2000","Millimeters (mercury)","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","761.184615","5.817249",".","750","","","777","2000-12-23 00:00","775","2000-12-26 00:00","773","2000-03-19 00:00","773","2000-09-06 00:00","761","764","770","773","775","777","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","68109","1","39.261667","-76.6375","WGS84","Elapsed Sample Time","24 HOUR","","2000","Minutes","No Events","65","100",".",".","38","61","0","Certification not required","0","0","","1389.246154","8.831815",".","1382","","","1438","2000-11-17 00:00","1438","2000-11-20 00:00","1388","2000-03-16 00:00","1388","2000-03-19 00:00","1388","1388","1388","1388","1438","1438","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","88101","1","39.261667","-76.6375","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 24-hour 2012","2000","Micrograms/cubic meter (LC)","No Events","65","53","0","0","65","122","0","Uncertified (past due)","0","0","","15.870769","7.565149","15.0906474358974","3.8","","","34.7","2000-12-11 00:00","34.2","2000-11-08 00:00","30.3","2000-05-06 00:00","28.1","2000-05-09 00:00","15","20.8","26.9","28.1","34.2","34.7","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0049","88101","1","39.261667","-76.6375","WGS84","PM2.5 - Local Conditions","24 HOUR","PM25 Annual 2012","2000","Micrograms/cubic meter (LC)","No Events","65","53",".",".","65","122","0","Uncertified (past due)","0","0","","15.870769","7.565149","15.0906474358974","3.8","","","34.7","2000-12-11 00:00","34.2","2000-11-08 00:00","30.3","2000-05-06 00:00","28.1","2000-05-09 00:00","15","20.8","26.9","28.1","34.2","34.7","1","","Maryland","Baltimore (City)","Baltimore","WESTPORT LAT/LONG POINT IS OF SAMPLING INLET","WESTPORT ELEMENTARY SCHOOL","Baltimore-Columbia-Towson, MD","AQS Data Mart"
