"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Year","Units of Measure","Exceptional Data Type","Observation Count","Observation Percent","Primary Exceedance Count","Secdary Exceedance Count","Valid Day Count","Required Day Count","Exceptional Data Count","Certification Indicator","Null Data Count","Half MDL Sub Count","Nonregulatory Arithmetic Mean","Arithmetic Mean","Arithmetic Standard Dev","Weighted Arithmetic Mean","Minimum Value","Nonreg First Maximum Value","Nonreg First Maximum DateTime","First Maximum Value","First Maximum DateTime","Second Maximum Value","Second Maximum DateTime","Third Maximum Value","Third Maximum DateTime","Fourth Maximum Value","Fourth Maximum DateTime","50th Perecentile","75th Perecentile","90th Perecentile","95th Perecentile","98th Perecentile","99th Perecentile","Method Count","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"24","510","0040","43232","1","39.297733","-76.604603","WGS84","n-Heptane","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.34","0.248522",".","0","","","1.33","2014-06-04 00:00","0.98","2014-01-11 00:00","0.84","2014-06-16 00:00","0.77","2014-11-25 00:00","0.28","0.42","0.56","0.84","0.98","1.33","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43551","1","39.297733","-76.604603","WGS84","Acetone","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","9.795273","4.526768",".","3.72","","","21.84","2014-06-04 00:00","19.2","2014-06-10 00:00","18.3","2014-07-28 00:00","18","2014-08-21 00:00","9.27","12","16.86","18.3","19.2","21.84","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43231","1","39.297733","-76.604603","WGS84","n-Hexane","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.403636","0.346925",".","0","","","1.6","2014-01-11 00:00","1.4","2014-06-16 00:00","1.1","2014-08-27 00:00","0.8","2014-01-17 00:00","0.4","0.6","0.8","1.1","1.4","1.6","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43372","1","39.297733","-76.604603","WGS84","Methyl tert-butyl ether","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0","0",".","0","","","0","2014-01-05 00:00","0","2014-01-11 00:00","0","2014-01-17 00:00","0","2014-01-23 00:00","0","0","0","0","0","0","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43505","1","39.297733","-76.604603","WGS84","Acrolein - Unverified","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.525455","0.524658",".","0","","","3.2","2014-11-13 00:00","1.4","2014-09-08 00:00","1.4","2014-10-02 00:00","1.2","2014-09-20 00:00","0.5","0.7","1.1","1.4","1.4","3.2","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","46401","1","39.297733","-76.604603","WGS84","Furan, tetrahydro-","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.037455","0.058507",".","0","","","0.2","2014-08-27 00:00","0.16","2014-06-16 00:00","0.16","2014-11-25 00:00","0.12","2014-01-11 00:00","0","0.1","0.12","0.16","0.16","0.2","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43248","1","39.297733","-76.604603","WGS84","Cyclohexane","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.193455","0.16609",".","0","","","0.66","2014-09-08 00:00","0.6","2014-10-14 00:00","0.6","2014-12-13 00:00","0.54","2014-05-11 00:00","0.1","0.18","0.54","0.6","0.6","0.66","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","45202","1","39.297733","-76.604603","WGS84","Toluene","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","1.632727","0.925174",".","0.4","","","5.5","2014-01-11 00:00","3.9","2014-06-16 00:00","3.2","2014-08-27 00:00","2.9","2014-01-05 00:00","1.4","2.1","2.9","3.2","3.9","5.5","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","88101","3","39.297733","-76.604603","WGS84","PM2.5 - Local Conditions","1 HOUR","","2014","Micrograms/cubic meter (LC)","No Events","8399","96",".",".","357","365","0","Certified - QA issues identified","361","0","","11.211692","6.421134",".","-3","","","70","2014-03-12 19:00","58","2014-11-11 14:00","57","2014-08-10 14:00","51","2014-02-01 00:00","10","14","20","23","28","32","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","88101","3","39.297733","-76.604603","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 24-hour 2012","2014","Micrograms/cubic meter (LC)","No Events","348","95","0","0","348","365","0","Certified - QA issues identified","0","0","","11.167816","4.974963","11.1280386391391","3","","","32.9","2014-02-02 00:00","30.5","2014-02-09 00:00","29.9","2014-02-01 00:00","29.1","2014-03-02 00:00","10","13.7","18.2","20.3","23.4","29.1","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","88101","3","39.297733","-76.604603","WGS84","PM2.5 - Local Conditions","24-HR BLK AVG","PM25 Annual 2012","2014","Micrograms/cubic meter (LC)","No Events","348","95",".",".","348","365","0","Certified - QA issues identified","0","0","","11.167816","4.974963","11.1280386391391","3","","","32.9","2014-02-02 00:00","30.5","2014-02-09 00:00","29.9","2014-02-01 00:00","29.1","2014-03-02 00:00","10","13.7","18.2","20.3","23.4","29.1","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43207","1","39.297733","-76.604603","WGS84","Freon 113","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.155636","0.029487",".","0.1","","","0.32","2014-06-04 00:00","0.18","2014-03-12 00:00","0.18","2014-03-18 00:00","0.18","2014-03-24 00:00","0.16","0.16","0.18","0.18","0.18","0.32","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42601","2","39.297733","-76.604603","WGS84","Nitric oxide (NO)","1 HOUR","","2014","Parts per billion","No Events","8215","94",".",".","340","365","0","Certification not required","545","0","","9.743932","16.816139",".","0","","","194.6","2014-02-01 00:00","191.2","2014-02-02 09:00","189.3","2014-01-31 23:00","179.1","2014-11-10 07:00","4.3","9.4","22.4","39.1","70.4","90.1","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42101","1","39.297733","-76.604603","WGS84","Carbon monoxide","1 HOUR","CO 1-hour 1971","2014","Parts per million","No Events","8533","97","0","0","358","365","0","Certified","227","0","","0.259873","0.156871",".","0","","","1.7","2014-02-01 00:00","1.6","2014-01-31 23:00","1.4","2014-02-01 01:00","1.3","2014-02-14 19:00","0.2","0.3","0.4","0.5","0.8","0.9","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42101","1","39.297733","-76.604603","WGS84","Carbon monoxide","8-HR RUN AVG END HOUR","CO 8-hour 1971","2014","Parts per million","No Events","8555","98","0","0","358","365","0","Certified","0","0","","0.264629","0.134062",".","0.1","","","1.3","2014-02-01 03:00","1.2","2014-02-01 01:00","1.2","2014-02-01 02:00","1.2","2014-02-01 04:00","0.2","0.3","0.4","0.5","0.7","0.8","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42602","1","39.297733","-76.604603","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 Annual 1971","2014","Parts per billion","No Events","8215","94",".",".","340","365","0","Certified","545","0","","15.588655","9.780601",".","1","","","61.6","2014-02-14 20:00","60.6","2014-02-14 19:00","60.1","2014-02-18 18:00","59.2","2014-02-18 19:00","13.1","20.7","29.8","35.4","41.6","45.6","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42602","1","39.297733","-76.604603","WGS84","Nitrogen dioxide (NO2)","1 HOUR","NO2 1-hour 2010","2014","Parts per billion","No Events","8215","94","0",".","340","365","0","Certified","545","0","","28.910882","10.510839",".","8.2","","","61.6","2014-02-14 20:00","60.1","2014-02-18 18:00","57.8","2014-02-20 08:00","53.9","2014-02-02 09:00","28.7","36","44","47.8","51.8","53.9","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","42603","1","39.297733","-76.604603","WGS84","Oxides of nitrogen (NOx)","1 HOUR","","2014","Parts per billion","No Events","8215","94",".",".","340","365","0","Certification not required","545","0","","25.382958","24.402906",".","1.2","","","245.1","2014-02-02 09:00","244.8","2014-02-01 00:00","240.3","2014-01-31 23:00","228","2014-02-01 01:00","17.7","29.9","51.3","73.4","109.1","129.2","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43803","1","39.297733","-76.604603","WGS84","Chloroform","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.014545","0.035581",".","0","","","0.1","2014-05-29 00:00","0.1","2014-06-04 00:00","0.1","2014-06-16 00:00","0.1","2014-08-09 00:00","0","0","0.1","0.1","0.1","0.1","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43208","1","39.297733","-76.604603","WGS84","Freon 114","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.041818","0.049781",".","0","","","0.1","2014-05-11 00:00","0.1","2014-05-17 00:00","0.1","2014-05-23 00:00","0.1","2014-05-29 00:00","0","0.1","0.1","0.1","0.1","0.1","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43801","1","39.297733","-76.604603","WGS84","Chloromethane","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.629091","0.103051",".","0.4","","","0.9","2014-06-04 00:00","0.8","2014-03-18 00:00","0.8","2014-03-30 00:00","0.8","2014-09-02 00:00","0.6","0.7","0.7","0.8","0.8","0.9","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43802","1","39.297733","-76.604603","WGS84","Dichloromethane","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.221818","0.068559",".","0.1","","","0.4","2014-08-27 00:00","0.3","2014-01-11 00:00","0.3","2014-03-12 00:00","0.3","2014-04-11 00:00","0.2","0.3","0.3","0.3","0.3","0.4","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43815","1","39.297733","-76.604603","WGS84","Ethylene dichloride","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.021818","0.078625",".","0","","","0.4","2014-12-07 00:00","0.3","2014-12-13 00:00","0.3","2014-12-19 00:00","0.1","2014-07-04 00:00","0","0","0","0.3","0.3","0.4","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43817","1","39.297733","-76.604603","WGS84","Tetrachloroethylene","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.067273","0.098234",".","0","","","0.6","2014-01-11 00:00","0.2","2014-03-12 00:00","0.2","2014-04-29 00:00","0.2","2014-06-04 00:00","0","0.1","0.2","0.2","0.2","0.6","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43218","1","39.297733","-76.604603","WGS84","1,3-Butadiene","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.112727","0.121799",".","0","","","0.4","2014-01-17 00:00","0.4","2014-02-22 00:00","0.4","2014-06-16 00:00","0.4","2014-09-02 00:00","0.1","0.2","0.3","0.4","0.4","0.4","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
"24","510","0040","43814","1","39.297733","-76.604603","WGS84","Methyl chloroform","24 HOUR","","2014","Parts per billion Carbon","No Events","55","90",".",".","55","61","0","Certification not required","5","0","","0.007273","0.026208",".","0","","","0.1","2014-06-04 00:00","0.1","2014-07-04 00:00","0.1","2014-08-21 00:00","0.1","2014-11-07 00:00","0","0","0","0.1","0.1","0.1","1","","Maryland","Baltimore (City)","Baltimore","Oldtown","Oldtown Fire Station, 1100 Hillen Street","Baltimore-Columbia-Towson, MD","AQS Data Mart"
